Id,Player,Nationality,Position,Game,Games Starts,Assists,Goals,season,Link,Player_id,Club,Minutes,Minutes 90s,Yellow Card,Red Card,Club_Id,Nationality_Id,Player_Id_DB,club
,﻿López Rekarte,es ESP,DF,37,37,6.0,0.0,2002-2003,/en/players/346b3104/Lopez-Rekarte,346b3104,Real-Sociedad,"3,330",37.0,8.0,0.0,38,1.0,191,Real-Sociedad
,Sander Westerveld,nl NED,GK,37,37,0.0,0.0,2002-2003,/en/players/dc8d38a2/Sander-Westerveld,dc8d38a2,Real-Sociedad,"3,330",37.0,1.0,0.0,38,11.0,192,Real-Sociedad
,Valeri Karpin,ru RUS,MF,36,36,3.0,8.0,2002-2003,/en/players/c88a6bc0/Valeri-Karpin,c88a6bc0,Real-Sociedad,"3,182",35.4,5.0,0.0,38,23.0,193,Real-Sociedad
,Igor Jauregi,es ESP,"DF,MF",36,36,0.0,1.0,2002-2003,/en/players/1f011af5/Igor-Jauregi,1f011af5,Real-Sociedad,"3,147",35.0,8.0,1.0,38,1.0,194,Real-Sociedad
,Darko Kovačević,rs SRB,FW,36,36,4.0,20.0,2002-2003,/en/players/12c6ec44/Darko-Kovacevic,12c6ec44,Real-Sociedad,"3,034",33.7,6.0,1.0,38,28.0,195,Real-Sociedad
,Nihat Kahveci,tr TUR,FW,35,35,5.0,23.0,2002-2003,/en/players/41e774bd/Nihat-Kahveci,41e774bd,Real-Sociedad,"2,998",33.3,5.0,1.0,38,15.0,196,Real-Sociedad
,Xabi Alonso,es ESP,MF,33,33,2.0,3.0,2002-2003,/en/players/dc001a06/Xabi-Alonso,dc001a06,Real-Sociedad,"2,769",30.8,8.0,0.0,38,1.0,79,Real-Sociedad
,Agustín Aranzábal,es ESP,DF,32,32,3.0,0.0,2002-2003,/en/players/ee65d657/Agustin-Aranzabal,65d657,Real-Sociedad,"2,879",32.0,5.0,0.0,38,1.0,197,Real-Sociedad
,Mikel Aranburu,es ESP,MF,34,27,1.0,2.0,2002-2003,/en/players/9452d85a/Mikel-Aranburu,9452d85a,Real-Sociedad,"2,483",27.6,7.0,0.0,38,1.0,198,Real-Sociedad
,Javier de Pedro,es ESP,MF,29,26,15.0,6.0,2002-2003,/en/players/0023e354/Javier-de-Pedro,0023e354,Real-Sociedad,"2,058",22.9,2.0,0.0,38,1.0,199,Real-Sociedad
