2010-2011,Recreativo
Player,Nationality,Position,Game,Games Starts,Assists,Goals,Minutes,Minutes 90s,Yellow Card,Red Card,Link,Player_id,Player_name
﻿Fabricio,es ESP,GK,40,40,0,0,"3,600",40.0,4,0,/en/players/af245161/Fabricio,f245161,Fabricio
Jesús Vázquez,es ESP,MF,38,38,3,5,"3,402",37.8,15,0,/en/players/96b3239f/Jesus-Vazquez,96b3239f,Jesus-Vazquez
Raúl Cámara,es ESP,DF,34,34,1,0,"2,953",32.8,12,0,/en/players/585753d9/Raul-Camara,585753d9,Raul-Cam
Aitor Tornavaca,es ESP,MF,37,32,1,2,"2,905",32.3,9,0,/en/players/4bdcc842/Aitor-Tornavaca,4bdcc842,Aitor-Tornavac
Rafita,es ESP,DF,34,31,6,2,"2,705",30.1,8,1,/en/players/631f177b/Rafita,631f177b,Rafit
José Mora,ec ECU,FW,32,29,0,2,"2,646",29.4,10,0,/en/players/0eff5cf7/Jose-Mora,0eff5cf7,Jose-Mo
Manolo Martínez,es ESP,"DF,MF",32,29,0,1,"2,446",27.2,14,1,/en/players/7b9876e4/Manolo-Martinez,7b9876e4,Manolo-Martinez
Jordi Matamala,es ESP,MF,31,26,0,0,"2,336",26.0,14,0,/en/players/b064ff85/Jordi-Matamala,b064ff85,Jordi-Matam
Pablo Sánchez,es ESP,"FW,MF",29,22,5,5,"1,807",20.1,6,0,/en/players/8c3fe4bb/Pablo-Sanchez,8c3fe4bb,Pablo-Sanchez
Daniel Martín,es ESP,FW,31,22,1,4,"1,805",20.1,2,1,/en/players/c8d2987f/Daniel-Martin,c8d2987f,Daniel-Marti
Andrés Lamas,uy URU,DF,24,20,0,4,"1,816",20.2,8,1,/en/players/4b204e6d/Andres-Lamas,4b204e6d,Andres-Lam
Juan Villar,es ESP,"FW,MF",30,20,1,5,"1,754",19.5,11,2,/en/players/c33ee247/Juan-Villar,c33ee247,Juan-Vi
Aarón Ñíguez,es ESP,"FW,MF",28,19,2,5,"1,782",19.8,5,1,/en/players/5d720396/Aaron-Niguez,5d720396,Aaron-Niguez
David Córcoles,es ESP,DF,22,18,0,0,"1,630",18.1,4,0,/en/players/929ea912/David-Corcoles,929ea912,David-Corco
Asen,es ESP,FW,19,17,0,2,"1,357",15.1,2,0,/en/players/5725f8c6/Asen,5725f8c6,A
Fidel,es ESP,MF,24,13,2,1,"1,258",14.0,6,0,/en/players/eb82b6f1/Fidel,b82b6f1,Fid
Emilio Sánchez,es ESP,MF,29,11,4,2,"1,350",15.0,3,0,/en/players/58b5df2f/Emilio-Sanchez,58b5df2f,Emilio-Sanchez
Leandro Cabrera,uy URU,DF,11,9,0,0,779,8.7,1,0,/en/players/69cbc8b6/Leandro-Cabrera,69cbc8b6,Leandro-Cab
Kepa Blanco,es ESP,FW,19,8,1,2,819,9.1,3,0,/en/players/e021d831/Kepa-Blanco,021d831,Kepa-Blanco
Javier Acuña,py PAR,FW,12,8,0,1,750,8.3,1,1,/en/players/993ff7aa/Javier-Acuna,993ff7aa,Javier-Acu
Álex Quillo,es ESP,MF,13,5,1,0,493,5.5,4,0,/en/players/3110aa90/Alex-Quillo,3110aa90,Alex-Quillo
Pablo Gallardo,es ESP,DF,4,4,0,0,307,3.4,3,1,/en/players/64e102be/Pablo-Gallardo,64e102be,Pablo-Gallardo
Bernardo Domínguez,es ESP,GK,2,2,0,0,180,2.0,0,0,/en/players/15394beb/Bernardo-Dominguez,15394beb,Bernardo-Dominguez
Poli,es ESP,DF,2,2,0,0,157,1.7,1,0,/en/players/1e21189f/Poli,1e21189f,Poli
Juan Aranda,es ESP,DF,2,2,0,0,154,1.7,0,0,/en/players/3e816ae9/Juan-Aranda,3e816ae9,Juan-Arand
Lopez Kike,,,1,1,0,0,57,0.6,0,0,No detected,,
Kike Tortosa,es ESP,FW,4,0,0,0,91,1.0,0,0,/en/players/a65cc307/Kike-Tortosa,65cc307,Kike-Torto
Borja Granero,es ESP,"DF,MF",2,0,0,0,61,0.7,0,0,/en/players/e080b1c1/Borja-Granero,080b1c1,Borja-Granero
Miguelito,es ESP,MF,1,0,0,0,12,0.1,0,0,/en/players/e185200a/Miguelito,185200a,Miguelito
