Id,Player,Nationality,Position,Game,Games Starts,Assists,Goals,season,Link,Player_id,Club,Minutes,Minutes 90s,Yellow Card,Red Card,Club_Id,Nationality_Id,Player_Id_DB,club
,﻿Raúl Molina,es ESP,FW,35,34,3.0,10.0,2002-2003,/en/players/91419d20/Raul-Molina,91419d20,Recreativo,"2,716",30.2,4.0,1.0,54,1.0,3022,Recreativo
,Loren,es ESP,DF,32,32,1.0,2.0,2002-2003,/en/players/a9e310fa/Loren,9e310fa,Recreativo,"2,759",30.7,12.0,1.0,54,1.0,3131,Recreativo
,Javi García,es ESP,DF,32,32,0.0,1.0,2002-2003,/en/players/25831f0b/Javi-Garcia,25831f0b,Recreativo,"2,631",29.2,4.0,0.0,54,1.0,3132,Recreativo
,Diego Camacho,es ESP,MF,31,31,1.0,0.0,2002-2003,/en/players/ba4b3cf3/Diego-Camacho,ba4b3cf3,Recreativo,"2,712",30.1,8.0,0.0,54,1.0,2554,Recreativo
,Miguel Ángel Espínola,es ESP,DF,31,28,1.0,1.0,2002-2003,/en/players/b054680e/Miguel-Angel-Espinola,b054680e,Recreativo,"2,592",28.8,6.0,0.0,54,1.0,3133,Recreativo
,Emilio Viqueira,es ESP,MF,32,26,3.0,3.0,2002-2003,/en/players/5c0b59d4/Emilio-Viqueira,5c0b59d4,Recreativo,"2,351",26.1,5.0,0.0,54,1.0,3134,Recreativo
,José Antonio Luque,es ESP,GK,26,26,0.0,0.0,2002-2003,/en/players/a77694a1/Jose-Antonio-Luque,77694a1,Recreativo,"2,338",26.0,0.0,1.0,54,1.0,3135,Recreativo
,Ignacio Benítez,es ESP,MF,32,26,1.0,2.0,2002-2003,/en/players/cfb8b7fc/Ignacio-Benitez,cfb8b7fc,Recreativo,"2,203",24.5,2.0,0.0,54,1.0,3136,Recreativo
,Iker Begoña,es ESP,"DF,MF",29,25,2.0,0.0,2002-2003,/en/players/e32aa932/Iker-Begona,32aa932,Recreativo,"2,361",26.2,4.0,1.0,54,1.0,3137,Recreativo
,Óscar Arpón,es ESP,MF,32,24,3.0,0.0,2002-2003,/en/players/705d238d/Oscar-Arpon,705d238d,Recreativo,"1,827",20.3,2.0,0.0,54,1.0,3138,Recreativo
,Mariano Pernía,es ESP,DF,19,19,2.0,2.0,2002-2003,/en/players/5f28a2f7/Mariano-Pernia,5f28a2f7,Recreativo,"1,710",19.0,6.0,0.0,54,1.0,2168,Recreativo
,Mario Bermejo,es ESP,FW,28,16,1.0,0.0,2002-2003,/en/players/c8dcfee8/Mario-Bermejo,c8dcfee8,Recreativo,"1,447",16.1,6.0,0.0,54,1.0,746,Recreativo
,Alex Pereira,ve VEN,DF,15,15,,0.0,2002-2003,/en/players/b9588381/Alex-Pereira,b9588381,Recreativo,"1,277",14.2,5.0,0.0,54,53.0,3139,Recreativo
,Juan Merino,es ESP,DF,16,15,0.0,0.0,2002-2003,/en/players/b83aaa39/Juan-Merino,b83aaa39,Recreativo,"1,268",14.1,3.0,0.0,54,1.0,3140,Recreativo
,David Cubillo,es ESP,MF,24,13,3.0,2.0,2002-2003,/en/players/d8d2e883/David-Cubillo,d8d2e883,Recreativo,"1,188",13.2,4.0,0.0,54,1.0,3141,Recreativo
,César Quesada,es ESP,GK,11,11,0.0,0.0,2002-2003,/en/players/c4d547a6/Cesar-Quesada,c4d547a6,Recreativo,954,10.6,0.0,1.0,54,1.0,3142,Recreativo
,Xisco,es ESP,"FW,MF",23,7,1.0,6.0,2002-2003,/en/players/efaaae13/Xisco,faaae13,Recreativo,"1,180",13.1,5.0,1.0,54,1.0,887,Recreativo
,José Galán,es ESP,DF,9,7,0.0,0.0,2002-2003,/en/players/7b140e43/Jose-Galan,7b140e43,Recreativo,578,6.4,1.0,1.0,54,1.0,3143,Recreativo
,Kaiku,es ESP,FW,8,6,0.0,0.0,2002-2003,/en/players/d30ab207/Kaiku,d30ab207,Recreativo,541,6.0,0.0,0.0,54,1.0,3144,Recreativo
,José Mari,es ESP,MF,10,6,,0.0,2002-2003,/en/players/2944a11c/Jose-Mari,2944a11c,Recreativo,529,5.9,3.0,0.0,54,1.0,90035,Recreativo
,Yago Yao,gq EQG,DF,7,6,0.0,0.0,2002-2003,/en/players/a25c8b6c/Yago-Yao,25c8b6c,Recreativo,521,5.8,3.0,0.0,54,10.0,660,Recreativo
,Sergio Tejero García,es ESP,DF,4,4,0.0,0.0,2002-2003,/en/players/1c94ccac/Sergio-Tejero-Garcia,1c94ccac,Recreativo,297,3.3,1.0,0.0,54,1.0,3145,Recreativo
,Quique Romero,es ESP,FW,22,3,0.0,3.0,2002-2003,/en/players/48e16f25/Quique-Romero,48e16f25,Recreativo,686,7.6,3.0,0.0,54,1.0,3146,Recreativo
,David Gallego,es ESP,MF,10,3,0.0,0.0,2002-2003,/en/players/10468915/David-Gallego,10468915,Recreativo,357,4.0,1.0,0.0,54,1.0,3147,Recreativo
,Joãozinho Neto,br BRA,FW,7,1,1.0,2.0,2002-2003,/en/players/744824d9/Joaozinho-Neto,744824d9,Recreativo,196,2.2,0.0,0.0,54,2.0,3148,Recreativo
,Manuel Almunia,es ESP,GK,2,1,0.0,0.0,2002-2003,/en/players/9f6b2f8c/Manuel-Almunia,9f6b2f8c,Recreativo,126,1.4,0.0,0.0,54,1.0,3149,Recreativo
,Nelson Zelaya,py PAR,DF,1,1,0.0,0.0,2002-2003,/en/players/31560fa5/Nelson-Zelaya,31560fa5,Recreativo,50,0.6,0.0,1.0,54,43.0,3150,Recreativo
,Dani Güiza,es ESP,FW,4,0,1.0,0.0,2002-2003,/en/players/d863ea53/Dani-Guiza,d863ea53,Recreativo,93,1.0,1.0,0.0,54,1.0,1603,Recreativo
,﻿Mariano Pernía,es ESP,DF,40,40,1.0,1.0,2003-2004,/en/players/5f28a2f7/Mariano-Pernia,5f28a2f7,Recreativo,"3,600",40.0,11.0,0.0,54,1.0,2168,Recreativo
,Iker Begoña,es ESP,"DF,MF",38,38,2.0,3.0,2003-2004,/en/players/e32aa932/Iker-Begona,32aa932,Recreativo,"3,348",37.2,10.0,2.0,54,1.0,3137,Recreativo
,Loren,es ESP,DF,38,37,0.0,1.0,2003-2004,/en/players/a9e310fa/Loren,9e310fa,Recreativo,"3,336",37.1,9.0,1.0,54,1.0,3131,Recreativo
,Miguel Albiol,es ESP,MF,37,31,1.0,0.0,2003-2004,/en/players/ca8aa471/Miguel-Albiol,ca8aa471,Recreativo,"2,893",32.1,5.0,0.0,54,1.0,883,Recreativo
,Ikechukwu Uche,ng NGA,FW,35,31,3.0,11.0,2003-2004,/en/players/ba7c6d25/Ikechukwu-Uche,ba7c6d25,Recreativo,"2,723",30.3,4.0,0.0,54,52.0,2414,Recreativo
,Diego Camacho,es ESP,MF,31,31,0.0,3.0,2003-2004,/en/players/ba4b3cf3/Diego-Camacho,ba4b3cf3,Recreativo,"2,588",28.8,9.0,2.0,54,1.0,2554,Recreativo
,Ignacio Benítez,es ESP,MF,35,30,5.0,1.0,2003-2004,/en/players/cfb8b7fc/Ignacio-Benitez,cfb8b7fc,Recreativo,"2,475",27.5,1.0,0.0,54,1.0,3136,Recreativo
,Toño,es ESP,GK,28,28,0.0,0.0,2003-2004,/en/players/2ed4ea81/Tono,2ed4ea81,Recreativo,"2,520",28.0,5.0,0.0,54,1.0,2857,Recreativo
,Emilio Viqueira,es ESP,MF,32,28,8.0,2.0,2003-2004,/en/players/5c0b59d4/Emilio-Viqueira,5c0b59d4,Recreativo,"2,364",26.3,1.0,0.0,54,1.0,3134,Recreativo
,Juan Merino,es ESP,DF,28,26,0.0,0.0,2003-2004,/en/players/b83aaa39/Juan-Merino,b83aaa39,Recreativo,"2,241",24.9,5.0,1.0,54,1.0,3140,Recreativo
,Mariano Toedtli,ar ARG,FW,35,22,1.0,9.0,2003-2004,/en/players/dc1fd8a8/Mariano-Toedtli,dc1fd8a8,Recreativo,"2,135",23.7,3.0,1.0,54,5.0,1785,Recreativo
,Alex Pereira,ve VEN,DF,22,20,0.0,0.0,2003-2004,/en/players/b9588381/Alex-Pereira,b9588381,Recreativo,"1,727",19.2,7.0,0.0,54,53.0,3139,Recreativo
,José Antonio Luque,es ESP,GK,14,14,0.0,0.0,2003-2004,/en/players/a77694a1/Jose-Antonio-Luque,77694a1,Recreativo,"1,260",14.0,3.0,0.0,54,1.0,3135,Recreativo
,Raúl Molina,es ESP,FW,19,14,2.0,5.0,2003-2004,/en/players/91419d20/Raul-Molina,91419d20,Recreativo,"1,217",13.5,5.0,0.0,54,1.0,3022,Recreativo
,Javi García,es ESP,DF,18,14,0.0,0.0,2003-2004,/en/players/25831f0b/Javi-Garcia,25831f0b,Recreativo,"1,025",11.4,0.0,0.0,54,1.0,3132,Recreativo
,Ximo Enguix,es ESP,MF,24,12,1.0,0.0,2003-2004,/en/players/cfadea36/Ximo-Enguix,cfadea36,Recreativo,"1,171",13.0,2.0,1.0,54,1.0,879,Recreativo
,Óscar Arpón,es ESP,MF,29,11,3.0,1.0,2003-2004,/en/players/705d238d/Oscar-Arpon,705d238d,Recreativo,"1,169",13.0,5.0,0.0,54,1.0,3138,Recreativo
,Antonio Moreno Fernández,es ESP,"FW,MF",20,10,0.0,2.0,2003-2004,/en/players/47ba6c6d/Antonio-Moreno-Fernandez,47ba6c6d,Recreativo,966,10.7,6.0,0.0,54,1.0,3151,Recreativo
,José Galán,es ESP,DF,16,9,0.0,1.0,2003-2004,/en/players/7b140e43/Jose-Galan,7b140e43,Recreativo,929,10.3,3.0,0.0,54,1.0,3143,Recreativo
,David Arteaga,es ESP,MF,14,7,2.0,0.0,2003-2004,/en/players/86d9a411/David-Arteaga,86d9a411,Recreativo,686,7.6,2.0,0.0,54,1.0,1795,Recreativo
