2005-2006,Reggina
Player,Nationality,Position,Game,Games Starts,Assists,Goals,Minutes,Minutes 90s,Yellow Card,Red Card,Link,Player_id,Player_name
﻿Giandomenico Mesto,it ITA,"DF,MF",35,35,6,0,"3,091",34.3,4,2,/en/players/6447938e/Giandomenico-Mesto,6447938e,Giandomenico-Mesto
Gaetano De Rosa,it ITA,DF,35,35,0,3,"2,983",33.1,7,0,/en/players/3022964d/Gaetano-De-Rosa,3022964d,Gaetano-De-Ro
Francesco Cozza,it ITA,MF,33,33,4,9,"2,669",29.7,9,0,/en/players/f8ea6e80/Francesco-Cozza,f8ea6e80,Francesco-Cozz
Francesco Modesto,it ITA,"DF,MF",37,32,2,0,"2,857",31.7,2,0,/en/players/9dd47fba/Francesco-Modesto,9dd47fba,Francesco-Modesto
Alessandro Lucarelli,it ITA,DF,33,32,1,2,"2,848",31.6,8,0,/en/players/25f438ad/Alessandro-Lucarelli,25f438ad,Alessandro-Lucarelli
Luca Vigiani,it ITA,MF,36,30,5,0,"2,561",28.5,7,0,/en/players/bdb0a338/Luca-Vigiani,bdb0a338,Luca-Vigiani
Ivan Franceschini,it ITA,DF,30,29,0,1,"2,485",27.6,9,2,/en/players/0fcf94d6/Ivan-Franceschini,0fcf94d6,Ivan-Franceschini
Carlos Paredes,py PAR,MF,28,28,1,5,"2,334",25.9,3,2,/en/players/30af1e95/Carlos-Paredes,30af1e95,Carlos-Pared
Giacomo Tedesco,it ITA,MF,26,26,3,2,"2,277",25.3,12,2,/en/players/f3ae87af/Giacomo-Tedesco,f3ae87af,Giacomo-Tedesco
Nicola Amoruso,it ITA,FW,29,24,3,11,"2,214",24.6,3,0,/en/players/a65205a4/Nicola-Amoruso,65205a4,Nicola-Amoruso
Ivan Pelizzoli,it ITA,GK,20,20,0,0,"1,759",19.5,1,0,/en/players/f1679973/Ivan-Pelizzoli,f1679973,Ivan-Pelizzoli
Maurizio Lanzaro,it ITA,DF,21,18,0,0,"1,683",18.7,2,0,/en/players/52eacf54/Maurizio-Lanzaro,52eacf54,Maurizio-Lanzaro
Davide Biondini,it ITA,MF,28,18,2,0,"1,672",18.6,7,1,/en/players/b4c3070a/Davide-Biondini,b4c3070a,Davide-Biondini
Nicola Pavarini,it ITA,GK,19,18,0,0,"1,554",17.3,1,0,/en/players/3a1f9d2d/Nicola-Pavarini,3a1f9d2d,Nicola-Pavarini
Filippo Carobbio,it ITA,MF,21,7,0,0,791,8.8,1,0,/en/players/fab0b677/Filippo-Carobbio,fab0b677,Filippo-Carobbio
Juriy Cannarsa,it ITA,DF,7,7,0,0,556,6.2,3,0,/en/players/95aa77d7/Juriy-Cannarsa,95aa77d7,Juriy-C
Simone Cavalli,it ITA,FW,13,6,0,2,700,7.8,0,0,/en/players/f7cf57b7/Simone-Cavalli,f7cf57b7,Simone-Cavalli
Simone Missiroli,it ITA,MF,25,5,0,2,699,7.8,2,0,/en/players/331c0a43/Simone-Missiroli,331c0a43,Simone-Missiroli
Antonio Giosa,it ITA,DF,6,3,0,0,399,4.4,2,0,/en/players/d21fc4ae/Antonio-Giosa,d21fc4ae,Antonio-Gio
Rolando Bianchi,it ITA,FW,9,3,0,1,323,3.6,1,0,/en/players/11fcbfe7/Rolando-Bianchi,11fcbfe7,Rolando-Bianchi
Luca Rigoni,it ITA,MF,4,3,0,0,182,2.0,1,0,/en/players/4dba2a97/Luca-Rigoni,4dba2a97,Luca-Rigoni
Lampros Choutos,gr GRE,"FW,MF",9,2,0,0,225,2.5,0,0,/en/players/0a296ab6/Lampros-Choutos,0a296ab6,Lampros-Chouto
Ivan Castiglia,it ITA,MF,3,1,0,0,132,1.5,1,0,/en/players/7b13808f/Ivan-Castiglia,7b13808f,Ivan-Castigli
Iacopo Balestri,it ITA,DF,1,1,0,0,90,1.0,0,0,/en/players/4ad656c1/Iacopo-Balestri,4ad656c1,Iacopo-Balestri
Alessandro Zoppetti,it ITA,DF,1,1,0,0,70,0.8,0,0,/en/players/58df0e57/Alessandro-Zoppetti,58df0e57,Alessandro-Zoppetti
Antonino Saviano,it ITA,GK,2,0,0,0,107,1.2,0,0,/en/players/91f5aac3/Antonino-Saviano,91f5aac3,Antonino-Saviano
Fabio Ceravolo,it ITA,FW,6,0,0,0,61,0.7,0,0,/en/players/4cc93246/Fabio-Ceravolo,4cc93246,Fabio-Ceravolo
Antonino Barillà,it ITA,"DF,MF",1,0,,0,28,0.3,0,0,/en/players/a64cbd35/Antonino-Barilla,64cbd35,Antonino-Bari
Bruno Lança Andrade,br BRA,MF,1,0,,0,16,0.2,0,0,/en/players/fc47fb26/Bruno-Lanca-Andrade,fc47fb26,Bruno-Lanca-Andrad
Gaetano Ungaro,it ITA,DF,1,0,,0,14,0.2,0,0,/en/players/88344251/Gaetano-Ungaro,88344251,Gaetano-Ungaro
