,Player,Link,Player_name(param),Player_id(param)
0,﻿Carlos Paredes,/en/players/30af1e95/Carlos-Paredes,Carlos-Paredes,30af1e95
1,Shunsuke Nakamura,/en/players/72987abc/Shunsuke-Nakamura,Shunsuke-Nakamura,72987abc
2,David Di Michele,/en/players/e0edcd05/David-Di-Michele,David-Di-Michele,e0edcd05
3,Jorge Francisco Vargas,/en/players/08863412/Jorge-Francisco-Vargas,Jorge-Francisco-Vargas,08863412
4,Ivan Franceschini,/en/players/0fcf94d6/Ivan-Franceschini,Ivan-Franceschini,0fcf94d6
5,Francesco Cozza,/en/players/f8ea6e80/Francesco-Cozza,Francesco-Cozza,f8ea6e80
6,Martin Jiránek,/en/players/eb005dc3/Martin-Jiranek,Martin-Jiranek,eb005dc3
7,Gianluca Falsini,/en/players/940691eb/Gianluca-Falsini,Gianluca-Falsini,940691eb
8,Mozart,/en/players/9fa8813f/Mozart,Mozart,9fa8813f
9,Emanuele Belardi,/en/players/788d51fa/Emanuele-Belardi,Emanuele-Belardi,788d51fa
10,Aimo Diana,/en/players/d2c9e8e2/Aimo-Diana,Aimo-Diana,d2c9e8e2
11,Emiliano Bonazzoli,/en/players/8389aafc/Emiliano-Bonazzoli,Emiliano-Bonazzoli,8389aafc
12,Giovanni Morabito,/en/players/00ee3062/Giovanni-Morabito,Giovanni-Morabito,00ee3062
13,Luca Castellazzi,/en/players/36281ecb/Luca-Castellazzi,Luca-Castellazzi,36281ecb
14,Alessandro Pierini,/en/players/a8e313f0/Alessandro-Pierini,Alessandro-Pierini,a8e313f0
15,José Mamede,/en/players/7473f8c1/Jose-Mamede,Jose-Mamede,7473f8c1
16,Gianluca Savoldi,/en/players/6b4cbc17/Gianluca-Savoldi,Gianluca-Savoldi,6b4cbc17
17,Bruno Cirillo,/en/players/94ffc023/Bruno-Cirillo,Bruno-Cirillo,94ffc023
18,Stefano Torrisi,/en/players/e2db6b45/Stefano-Torrisi,Stefano-Torrisi,e2db6b45
19,Massimo Rastelli,/en/players/1add3162/Massimo-Rastelli,Massimo-Rastelli,1add3162
20,Julio César de León,/en/players/72409f3e/Julio-Cesar-de-Leon,Julio-Cesar-de-Leon,72409f3e
21,Giandomenico Mesto,/en/players/6447938e/Giandomenico-Mesto,Giandomenico-Mesto,6447938e
22,Erjon Bogdani,/en/players/b7b545b5/Erjon-Bogdani,Erjon-Bogdani,b7b545b5
23,Ricardo Verón,/en/players/8270d155/Ricardo-Veron,Ricardo-Veron,8270d155
24,﻿Emanuele Belardi,/en/players/788d51fa/Emanuele-Belardi,Emanuele-Belardi,788d51fa
25,Davide Baiocco,/en/players/98a44c3c/Davide-Baiocco,Davide-Baiocco,98a44c3c
26,Andrea Sottil,/en/players/05d16399/Andrea-Sottil,Andrea-Sottil,05d16399
27,Giacomo Tedesco,/en/players/f3ae87af/Giacomo-Tedesco,Giacomo-Tedesco,f3ae87af
28,Gianluca Comotto,/en/players/d7a5f9ce/Gianluca-Comotto,Gianluca-Comotto,d7a5f9ce
29,Carlos Paredes,/en/players/30af1e95/Carlos-Paredes,Carlos-Paredes,30af1e95
30,Roberto Stellone,/en/players/72f23b97/Roberto-Stellone,Roberto-Stellone,72f23b97
31,Gonzalo Martínez,/en/players/66b813e6/Gonzalo-Martinez,Gonzalo-Martinez,66b813e6
32,Stefano Dall'Acqua,/en/players/a4cf0b28/Stefano-DallAcqua,Stefano-DallAcqua,a4cf0b28
33,Simone Giacchetta,/en/players/33eb00de/Simone-Giacchetta,Simone-Giacchetta,33eb00de
34,Ferdinando Coppola,/en/players/7feaf90b/Ferdinando-Coppola,Ferdinando-Coppola,7feaf90b
35,﻿Iacopo Balestri,/en/players/4ad656c1/Iacopo-Balestri,Iacopo-Balestri,4ad656c1
36,Gaetano De Rosa,/en/players/3022964d/Gaetano-De-Rosa,Gaetano-De-Rosa,3022964d
37,Juriy Cannarsa,/en/players/95aa77d7/Juriy-Cannarsa,Juriy-Cannarsa,95aa77d7
38,Giuseppe Colucci,/en/players/e41ba477/Giuseppe-Colucci,Giuseppe-Colucci,e41ba477
39,Marco Zamboni,/en/players/b055e962/Marco-Zamboni,Marco-Zamboni,b055e962
40,Nicola Pavarini,/en/players/3a1f9d2d/Nicola-Pavarini,Nicola-Pavarini,3a1f9d2d
41,Salvatore Soviero,/en/players/7c0940a5/Salvatore-Soviero,Salvatore-Soviero,7c0940a5
42,Ricardo Esteves,/en/players/7db2e9db/Ricardo-Esteves,Ricardo-Esteves,7db2e9db
43,Marco Borriello,/en/players/a889ffc7/Marco-Borriello,Marco-Borriello,a889ffc7
