2019-2020,Reims
Player,Nationality,Position,Game,Games Starts,Assists,Goals,Minutes,Minutes 90s,Yellow Card,Red Card,Link,Player_id,Player_name
﻿Yunis Abdelhamid,ma MAR,DF,28,28,0,3,"2,520",28.0,0,0,/en/players/32c2d95f/Yunis-Abdelhamid,32c2d95f,Yunis-Abdelhamid
Axel Disasi,fr FRA,DF,27,27,0,1,"2,430",27.0,3,0,/en/players/ad82197c/Axel-Disasi,d82197c,Axel-Disasi
Thomas Foket,be BEL,DF,27,27,1,0,"2,430",27.0,3,0,/en/players/90eb507d/Thomas-Foket,90eb507d,Thomas-Foket
Predrag Rajković,rs SRB,GK,27,27,0,0,"2,430",27.0,1,0,/en/players/58ad9383/Predrag-Rajkovic,58ad9383,Predrag-Rajkovic
Xavier Chavalerin,fr FRA,MF,24,24,3,1,"2,147",23.9,6,0,/en/players/279ddf6a/Xavier-Chavalerin,279ddf6a,Xavier-Chavaleri
Moussa Doumbia,ml MLI,"MF,FW",26,22,1,2,"1,718",19.1,8,1,/en/players/6481421d/Moussa-Doumbia,6481421d,Moussa-Doumbi
Boulaye Dia,sn SEN,FW,24,21,1,7,"1,812",20.1,0,0,/en/players/244bc2c8/Boulaye-Dia,244bc2c8,Boulaye-Di
Alaixys Romao,tg TOG,MF,22,21,0,0,"1,781",19.8,11,2,/en/players/0aa874f4/Alaixys-Romao,0aa874f4,Alaixys-Romao
Hassane Kamara,ci CIV,"DF,MF",23,18,0,2,"1,709",19.0,5,0,/en/players/19a12bed/Hassane-Kamara,19a12bed,Hassane-Kam
Remi Oudin,fr FRA,"MF,FW",18,16,2,3,"1,397",15.5,1,0,/en/players/ea02beaf/Remi-Oudin,02beaf,Remi-Oudi
Ghislain Konan,ci CIV,DF,16,15,1,0,"1,333",14.8,2,1,/en/players/6b2c894b/Ghislain-Konan,6b2c894b,Ghislain-Ko
Mathieu Cafaro,fr FRA,MF,13,12,2,1,924,10.3,3,1,/en/players/2a657da0/Mathieu-Cafaro,2a657da0,Mathieu-Cafaro
Tristan Dingomé,cm CMR,MF,15,12,1,0,892,9.9,1,0,/en/players/92b56413/Tristan-Dingome,92b56413,Tristan-Dingom
Marshall Munetsi,zw ZIM,MF,17,8,2,0,838,9.3,3,0,/en/players/2acf0cd7/Marshall-Munetsi,2acf0cd7,Marshall-Munetsi
Moreto Cassamã,gw GNB,MF,7,7,1,1,592,6.6,3,0,/en/players/f54d2149/Moreto-Cassama,f54d2149,Moreto-Cassam
Anastasios Donis,gr GRE,"FW,MF",15,6,0,0,609,6.8,1,0,/en/players/0f26fd24/Anastasios-Donis,0f26fd24,Anastasios-Doni
El Bilal Touré,ml MLI,FW,7,6,0,3,453,5.0,2,0,/en/players/47c609d5/El-Bilal-Toure,47c609d5,El-Bilal-Tou
Dereck Kutesa,ch SUI,"MF,FW",14,4,0,1,528,5.9,0,0,/en/players/1b6862e8/Dereck-Kutesa,1b6862e8,Dereck-Kut
Nathanael Mbuku,fr FRA,"MF,FW",11,3,0,0,395,4.4,0,0,/en/players/46750e9c/Nathanael-Mbuku,46750e9c,Nathanael-Mbuku
Suk Hyun-jun,kr KOR,"FW,MF",13,1,1,1,262,2.9,3,0,/en/players/7ffaf233/Suk-Hyun-jun,7ffaf233,Suk-Hyun-ju
Nicolas Lemaître,fr FRA,GK,1,1,0,0,90,1.0,0,0,/en/players/586ef3a3/Nicolas-Lemaitre,586ef3a3,Nicolas-Lemait
Dario Maresic,at AUT,DF,1,1,0,0,90,1.0,0,0,/en/players/5d93ccee/Dario-Maresic,5d93ccee,Dario-Maresic
Kaj Sierhuis,nl NED,FW,1,1,0,0,12,0.1,0,0,/en/players/9c2b1f11/Kaj-Sierhuis,9c2b1f11,Kaj-Sierhui
Timothée Nkada,fr FRA,"FW,MF",8,0,0,0,148,1.6,1,0,/en/players/80d1adb3/Timothee-Nkada,80d1adb3,Timothee-Nkad
Sambou Sissoko,fr FRA,MF,3,0,0,0,32,0.4,0,0,/en/players/e4bb1f08/Sambou-Sissoko,4bb1f08,Sambou-Sissoko
Arber Zeneli,xk KVX,MF,1,0,0,0,6,0.1,0,0,/en/players/095e4199/Arber-Zeneli,095e4199,Arber-Zeneli
Logan Costa,cv CPV,DF,0,0,,,,,,,/en/players/bfb2056e/Logan-Costa,bfb2056e,Logan-Cost
Yehvann Diouf,fr FRA,GK,0,0,,,,,,,/en/players/eedea60b/Yehvann-Diouf,dea60b,Yehvann-Diouf
Nolan Mbemba,cg CGO,MF,0,0,,,,,,,/en/players/6c9642ae/Nolan-Mbemba,6c9642ae,Nolan-Mbemb
Moïse Sakava,cm CMR,MF,0,0,,,,,,,/en/players/329e7a13/Moise-Sakava,329e7a13,Moise-Sakav
