2002-2003,Rennes
Player,Nationality,Position,Game,Games Starts,Assists,Goals,Minutes,Minutes 90s,Yellow Card,Red Card,Link,Player_id,Player_name
﻿Dominique Arribagé,fr FRA,DF,37,37,1,5,"3,322",36.9,4,0,/en/players/244738ef/Dominique-Arribage,244738ef,Dominique-Arribag
Petr Čech,cz CZE,GK,36,36,0,0,"3,240",36.0,0,0,/en/players/71672fa0/Petr-Cech,71672fa0,Petr-Cech
Julien Escudé,fr FRA,DF,30,30,1,0,"2,645",29.4,5,0,/en/players/6aa5bd41/Julien-Escude,6aa5bd41,Julien-Escud
Frédéric Piquionne,fr FRA,FW,31,28,1,10,"2,426",27.0,8,0,/en/players/62f579c5/Frederic-Piquionne,62f579c5,Frederic-Piquio
Olivier Sorlin,fr FRA,MF,32,25,1,0,"2,222",24.7,4,0,/en/players/935faf11/Olivier-Sorlin,935faf11,Olivier-Sorli
Olivier Monterrubio,fr FRA,MF,36,21,4,6,"1,953",21.7,4,0,/en/players/65918f95/Olivier-Monterrubio,65918f95,Olivier-Monterrubio
Anthony Réveillère,fr FRA,DF,20,20,1,1,"1,789",19.9,3,0,/en/players/8ad24039/Anthony-Reveillere,8ad24039,Anthony-Revei
Philippe Delaye,fr FRA,MF,23,20,2,3,"1,646",18.3,5,1,/en/players/0bc96090/Philippe-Delaye,0bc96090,Philippe-D
Lamine Diatta,sn SEN,DF,20,19,1,0,"1,702",18.9,6,0,/en/players/403ff2c2/Lamine-Diatta,403ff2c2,Lamine-Diatt
Arnaud Le Lan,fr FRA,DF,22,18,0,0,"1,652",18.4,1,0,/en/players/d93d51c4/Arnaud-Le-Lan,d93d51c4,Arnaud-Le-L
Olivier Echouafni,fr FRA,MF,19,17,2,1,"1,511",16.8,4,1,/en/players/b8c67e6e/Olivier-Echouafni,b8c67e6e,Olivier-Echouafni
Étienne Didot,fr FRA,MF,20,17,1,0,"1,457",16.2,3,0,/en/players/d2aa8ac0/Etienne-Didot,d2aa8ac0,Etienne-Didot
Grégory Bourillon,fr FRA,"DF,MF",18,16,0,0,"1,472",16.4,1,1,/en/players/0e59a941/Gregory-Bourillon,0e59a941,Gregory-Bourillo
Cyril Jeunechamp,fr FRA,"DF,MF",14,13,,1,"1,126",12.5,3,1,/en/players/0738014e/Cyril-Jeunechamp,0738014e,Cyril-Jeunecham
François Grenet,fr FRA,DF,13,13,0,0,"1,085",12.1,2,1,/en/players/171ac2af/Francois-Grenet,171ac2af,Francois-Grenet
Laurent Batlles,fr FRA,MF,14,12,2,0,"1,054",11.7,6,1,/en/players/3cd2fd3b/Laurent-Batlles,3cd2fd3b,Laurent-Bat
Toifilou Maoulida,fr FRA,FW,26,11,0,3,"1,133",12.6,3,1,/en/players/9d0e2252/Toifilou-Maoulida,9d0e2252,Toifilou-Maoulid
Makhtar N'Diaye,sn SEN,MF,19,10,3,1,"1,075",11.9,2,0,/en/players/ef003b17/Makhtar-NDiaye,f003b17,Makhtar-NDi
Frédéric Jay,fr FRA,DF,12,10,0,0,908,10.1,2,0,/en/players/cae49f46/Frederic-Jay,cae49f46,Frederic-J
Andrés Fleurquin,uy URU,MF,13,9,0,0,831,9.2,6,0,/en/players/bf3705e6/Andres-Fleurquin,bf3705e6,Andres-Fleurqui
Jacques Faty,sn SEN,DF,9,8,0,0,690,7.7,2,0,/en/players/c0ff01ff/Jacques-Faty,c0ff01ff,Jacques-Fat
Georgi Ivanov,bg BUL,FW,11,6,1,0,514,5.7,1,0,/en/players/248ccb48/Georgi-Ivanov,248ccb48,Georgi-Ivanov
Alexander Frei,ch SUI,FW,13,5,1,1,430,4.8,1,0,/en/players/ca05e048/Alexander-Frei,ca05e048,Alexander-Frei
Cyril Yapi,fr FRA,MF,5,4,0,0,391,4.3,0,0,/en/players/9e65e0ae/Cyril-Yapi,9e65e0ae,Cyril-Yapi
Gabriel Loeschbor,ar ARG,DF,4,4,0,0,360,4.0,2,1,/en/players/9702bece/Gabriel-Loeschbor,9702bece,Gabriel-Loeschbo
Sébastien Puygrenier,fr FRA,DF,5,3,0,0,273,3.0,0,0,/en/players/13b1fd46/Sebastien-Puygrenier,13b1fd46,Sebastien-Puygreni
Stéphane N'Guéma,ga GAB,FW,5,2,0,0,203,2.3,1,0,/en/players/52992fdb/Stephane-NGuema,52992fdb,Stephane-NGuem
Éric Durand,fr FRA,GK,2,2,0,0,180,2.0,0,0,/en/players/13dc0d21/Eric-Durand,13dc0d21,Eric-Durand
Michaël Citony,,MF,2,1,0,0,96,1.1,0,0,/en/players/c15c48bf/Michael-Citony,c15c48bf,Michael-Cito
Jimmy Briand,fr FRA,"FW,MF",1,0,0,0,23,0.3,0,0,/en/players/f83c8d6c/Jimmy-Briand,f83c8d6c,Jimmy-Briand
