Unnamed: 0,Player,Link,Player_id,Player_name,Nationality,Position,club
0,﻿Dominique Arribagé,/en/players/244738ef/Dominique-Arribage,244738ef,Dominique-Arribag,fr FRA,DF,Rennes
1,Petr Čech,/en/players/71672fa0/Petr-Cech,71672fa0,Petr-Cech,cz CZE,GK,Rennes
2,Julien Escudé,/en/players/6aa5bd41/Julien-Escude,6aa5bd41,Julien-Escud,fr FRA,DF,Rennes
3,Frédéric Piquionne,/en/players/62f579c5/Frederic-Piquionne,62f579c5,Frederic-Piquio,fr FRA,FW,Rennes
4,Olivier Sorlin,/en/players/935faf11/Olivier-Sorlin,935faf11,Olivier-Sorli,fr FRA,MF,Rennes
5,Olivier Monterrubio,/en/players/65918f95/Olivier-Monterrubio,65918f95,Olivier-Monterrubio,fr FRA,MF,Rennes
6,Anthony Réveillère,/en/players/8ad24039/Anthony-Reveillere,8ad24039,Anthony-Revei,fr FRA,DF,Rennes
7,Philippe Delaye,/en/players/0bc96090/Philippe-Delaye,0bc96090,Philippe-D,fr FRA,MF,Rennes
8,Lamine Diatta,/en/players/403ff2c2/Lamine-Diatta,403ff2c2,Lamine-Diatt,sn SEN,DF,Rennes
9,Arnaud Le Lan,/en/players/d93d51c4/Arnaud-Le-Lan,d93d51c4,Arnaud-Le-L,fr FRA,DF,Rennes
10,Olivier Echouafni,/en/players/b8c67e6e/Olivier-Echouafni,b8c67e6e,Olivier-Echouafni,fr FRA,MF,Rennes
11,Étienne Didot,/en/players/d2aa8ac0/Etienne-Didot,d2aa8ac0,Etienne-Didot,fr FRA,MF,Rennes
12,Grégory Bourillon,/en/players/0e59a941/Gregory-Bourillon,0e59a941,Gregory-Bourillo,fr FRA,"DF,MF",Rennes
13,Cyril Jeunechamp,/en/players/0738014e/Cyril-Jeunechamp,0738014e,Cyril-Jeunecham,fr FRA,"DF,MF",Rennes
14,François Grenet,/en/players/171ac2af/Francois-Grenet,171ac2af,Francois-Grenet,fr FRA,DF,Rennes
15,Laurent Batlles,/en/players/3cd2fd3b/Laurent-Batlles,3cd2fd3b,Laurent-Bat,fr FRA,MF,Rennes
16,Toifilou Maoulida,/en/players/9d0e2252/Toifilou-Maoulida,9d0e2252,Toifilou-Maoulid,fr FRA,FW,Rennes
17,Makhtar N'Diaye,/en/players/ef003b17/Makhtar-NDiaye,f003b17,Makhtar-NDi,sn SEN,MF,Rennes
18,Frédéric Jay,/en/players/cae49f46/Frederic-Jay,cae49f46,Frederic-J,fr FRA,DF,Rennes
19,Andrés Fleurquin,/en/players/bf3705e6/Andres-Fleurquin,bf3705e6,Andres-Fleurqui,uy URU,MF,Rennes
20,Jacques Faty,/en/players/c0ff01ff/Jacques-Faty,c0ff01ff,Jacques-Fat,sn SEN,DF,Rennes
21,Georgi Ivanov,/en/players/248ccb48/Georgi-Ivanov,248ccb48,Georgi-Ivanov,bg BUL,FW,Rennes
22,Alexander Frei,/en/players/ca05e048/Alexander-Frei,ca05e048,Alexander-Frei,ch SUI,FW,Rennes
23,Cyril Yapi,/en/players/9e65e0ae/Cyril-Yapi,9e65e0ae,Cyril-Yapi,fr FRA,MF,Rennes
24,Gabriel Loeschbor,/en/players/9702bece/Gabriel-Loeschbor,9702bece,Gabriel-Loeschbo,ar ARG,DF,Rennes
25,Sébastien Puygrenier,/en/players/13b1fd46/Sebastien-Puygrenier,13b1fd46,Sebastien-Puygreni,fr FRA,DF,Rennes
26,Stéphane N'Guéma,/en/players/52992fdb/Stephane-NGuema,52992fdb,Stephane-NGuem,ga GAB,FW,Rennes
27,Éric Durand,/en/players/13dc0d21/Eric-Durand,13dc0d21,Eric-Durand,fr FRA,GK,Rennes
29,Jimmy Briand,/en/players/f83c8d6c/Jimmy-Briand,f83c8d6c,Jimmy-Briand,fr FRA,"FW,MF",Rennes
30,Cédric Barbosa,/en/players/21378be8/Cedric-Barbosa,21378be8,Cedric-Barbo,fr FRA,MF,Rennes
31,Abdeslam Ouaddou,/en/players/02bb0e65/Abdeslam-Ouaddou,02bb0e65,Abdeslam-Ouaddou,ma MAR,"DF,MF",Rennes
32,Kim Källström,/en/players/c9880157/Kim-Kallstrom,c9880157,Kim-Kallstrom,se SWE,MF,Rennes
33,Lucas Severino,/en/players/f69f7286/Lucas-Severino,f69f7286,Lucas-Severino,br BRA,FW,Rennes
34,Tony Vairelles,/en/players/18a2396a/Tony-Vairelles,18a2396a,Tony-Vai,fr FRA,"DF,FW",Rennes
35,Florent Chaigneau,/en/players/e3a4b82d/Florent-Chaigneau,3a4b82d,Florent-Chaigneau,fr FRA,GK,Rennes
36,Grégory Vignal,/en/players/5027d998/Gregory-Vignal,5027d998,Gregory-Vig,fr FRA,DF,Rennes
37,Arnold Mvuemba,/en/players/50fd977e/Arnold-Mvuemba,50fd977e,Arnold-Mvuemb,cd COD,"FW,MF",Rennes
38,Yoann Gourcuff,/en/players/3acddfdd/Yoann-Gourcuff,3acddfdd,Yoann-Gourcuff,fr FRA,MF,Rennes
39,Grégory Tanagro,/en/players/a3c322d7/Gregory-Tanagro,3c322d7,Gregory-Tanagro,fr FRA,DF,Rennes
40,Jonathan Bru,/en/players/9297b753/Jonathan-Bru,9297b753,Jonathan-Bru,mu MRI,MF,Rennes
41,Simon Pouplin,/en/players/e76c18e4/Simon-Pouplin,76c18e4,Simon-Poupli,fr FRA,GK,Rennes
43,Adaílton,/en/players/af077ebd/Adailton,f077ebd,Adailto,br BRA,DF,Rennes
44,Jean-Joël Perrier-Doumbé,/en/players/90352958/Jean-Joel-Perrier-Doumbe,90352958,Jean-Joel-Perrier-Doumb,cm CMR,DF,Rennes
45,Dudu Cearense,/en/players/f7f68380/Dudu-Cearense,f7f68380,Dudu-C,br BRA,MF,Rennes
46,Ivica Mornar,/en/players/69355205/Ivica-Mornar,69355205,Ivica-Mo,hr CRO,"FW,MF",Rennes
47,Moussa Sow,/en/players/663fc476/Moussa-Sow,663fc476,Moussa-Sow,sn SEN,"FW,MF",Rennes
48,Stéphane Mbia,/en/players/c39d9657/Stephane-Mbia,c39d9657,Stephane-Mbi,cm CMR,"DF,MF",Rennes
49,John Utaka,/en/players/8f0d78f4/John-Utaka,8f0d78f4,John-Utak,ng NGA,"FW,MF",Rennes
50,Erik Edman,/en/players/cf98b935/Erik-Edman,cf98b935,Erik-Edm,se SWE,DF,Rennes
51,Youssouf Hadji,/en/players/6ae62163/Youssouf-Hadji,6ae62163,Youssouf-Hadji,ma MAR,"FW,MF",Rennes
52,John Mensah,/en/players/142ed694/John-Mensah,142ed694,John-Mensah,gh GHA,DF,Rennes
53,Alain Rochat,/en/players/330c9b09/Alain-Rochat,330c9b09,Alain-Rochat,ch SUI,"DF,MF",Rennes
54,Bruno Cheyrou,/en/players/9655ab80/Bruno-Cheyrou,9655ab80,Bruno-Cheyrou,fr FRA,MF,Rennes
55,Mario Melchiot,/en/players/1f5e2ed9/Mario-Melchiot,1f5e2ed9,Mario-Melchiot,nl NED,DF,Rennes
56,Olivier Thomert,/en/players/acda6c9d/Olivier-Thomert,cda6c9d,Olivier-Thomert,mq MTQ,"FW,MF",Rennes
57,Daniel Moreira,/en/players/ac788626/Daniel-Moreira,c788626,Daniel-Morei,fr FRA,FW,Rennes
58,Romain Danzé,/en/players/a5876fca/Romain-Danze,5876fca,Romain-Danz,fr FRA,"DF,MF",Rennes
59,Sylvain Marveaux,/en/players/4ef705ab/Sylvain-Marveaux,4ef705ab,Sylvain-Marveaux,fr FRA,"FW,MF",Rennes
60,Guillaume Borne,/en/players/b7beff63/Guillaume-Borne,b7beff63,Guillaume-Bo,fr FRA,DF,Rennes
61,Jirès Kembo Ekoko,/en/players/3f88e2f2/Jires-Kembo-Ekoko,3f88e2f2,Jires-Kembo-Ekoko,fr FRA,FW,Rennes
62,Kévin Bru,/en/players/2a709dc0/Kevin-Bru,2a709dc0,Kevin-Bru,mu MRI,MF,Rennes
63,Julián Estéban,/en/players/f1ea55f4/Julian-Esteban,f1ea55f4,Julian-Esteb,ch SUI,FW,Rennes
64,Papakouli Diop,/en/players/7329018e/Papakouli-Diop,7329018e,Papakouli-Dio,sn SEN,MF,Rennes
65,Petter Hansson,/en/players/c5520936/Petter-Hansson,c5520936,Petter-Hansso,se SWE,DF,Rennes
66,Jérôme Leroy,/en/players/a6607cb6/Jerome-Leroy,6607cb6,Jerome-Lero,fr FRA,MF,Rennes
67,Rod Fanni,/en/players/28c4631c/Rod-Fanni,28c4631c,Rod-Fanni,fr FRA,DF,Rennes
68,Mickaël Pagis,/en/players/e9381879/Mickael-Pagis,9381879,Mickael-Pagi,fr FRA,FW,Rennes
69,Patrice Luzi,/en/players/b6132aa2/Patrice-Luzi,b6132aa2,Patrice-Luzi,fr FRA,GK,Rennes
70,Fabien Lemoine,/en/players/54d51e22/Fabien-Lemoine,54d51e22,Fabien-Lemoi,fr FRA,MF,Rennes
71,Sylvain Wiltord,/en/players/cdccf255/Sylvain-Wiltord,cdccf255,Sylvain-Wiltord,fr FRA,"FW,MF",Rennes
72,Djimi Traoré,/en/players/b8c992d8/Djimi-Traore,b8c992d8,Djimi-Trao,ml MLI,DF,Rennes
73,Elderson Echiéjilé,/en/players/f95570f9/Elderson-Echiejile,f95570f9,Elderson-Echieji,ng NGA,DF,Rennes
74,Bira Dembélé,/en/players/35e73d23/Bira-Dembele,35e73d23,Bira-Demb,fr FRA,DF,Rennes
75,Lhadji Badiane,/en/players/db763b1a/Lhadji-Badiane,db763b1a,Lhadji-Badi,sn SEN,FW,Rennes
76,Emerson Sheik,/en/players/f22c0b3b/Emerson-Sheik,f22c0b3b,Emerson-Sheik,qa QAT,FW,Rennes
77,﻿Carlos Bocanegra,/en/players/c76a89aa/Carlos-Bocanegra,c76a89aa,Carlos-Bocaneg,us USA,DF,Rennes
