2021-2022,Roma
Player,Nationality,Position,Game,Games Starts,Assists,Goals,Minutes,Minutes 90s,Yellow Card,Red Card,Link,Player_id,Player_name
﻿Rui Patrício,pt POR,GK,38,38,0,0,"3,420",38.0,2,0,/en/players/79b0d6a0/Rui-Patricio,79b0d6a0,Rui-Patricio
Tammy Abraham,eng ENG,FW,37,36,4,17,"3,084",34.3,9,0,/en/players/f586779e/Tammy-Abraham,f586779e,Tammy-Abraham
Gianluca Mancini,it ITA,DF,33,33,0,0,"2,878",32.0,16,1,/en/players/5aa53281/Gianluca-Mancini,5aa53281,Gianluca-Mancini
Roger Ibanez,br BRA,DF,34,32,0,3,"2,889",32.1,9,0,/en/players/82efe6fa/Roger-Ibanez,82efe6fa,Roger-Ibanez
Rick Karsdorp,nl NED,"DF,FW",36,32,2,0,"2,883",32.0,9,1,/en/players/9f84febe/Rick-Karsdorp,9f84febe,Rick-Karsdo
Bryan Cristante,it ITA,MF,34,29,0,2,"2,678",29.8,9,0,/en/players/16657b95/Bryan-Cristante,16657b95,Bryan-Cristant
Henrikh Mkhitaryan,am ARM,MF,31,29,6,5,"2,495",27.7,4,1,/en/players/dd0daf32/Henrikh-Mkhitaryan,dd0daf32,Henrikh-Mkhit
Lorenzo Pellegrini,it ITA,MF,28,27,3,9,"2,289",25.4,8,1,/en/players/4a5a45c7/Lorenzo-Pellegrini,4a5a45c7,Lorenzo-Pellegrini
Jordan Veretout,fr FRA,MF,36,26,8,4,"2,319",25.8,6,0,/en/players/4a56052c/Jordan-Veretout,4a56052c,Jordan-Veretout
Chris Smalling,eng ENG,DF,27,23,0,3,"2,091",23.2,0,0,/en/players/b6964eb6/Chris-Smalling,b6964eb6,Chris-Smalling
Nicolò Zaniolo,it ITA,"FW,MF",28,23,1,2,"1,971",21.9,12,2,/en/players/9907b1c8/Nicolo-Zaniolo,9907b1c8,Nicolo-Zaniolo
Matías Viña,uy URU,"DF,FW",26,18,1,0,"1,565",17.4,2,0,/en/players/08eb3b58/Matias-Vina,08eb3b58,Matias-Vi
Marash Kumbulla,al ALB,DF,17,13,0,0,"1,025",11.4,6,0,/en/players/a40819d9/Marash-Kumbulla,40819d9,Marash-Kumbu
Sérgio Oliveira,pt POR,MF,14,13,0,2,892,9.9,5,0,/en/players/947e036f/Sergio-Oliveira,947e036f,Sergio-Olivei
Nicola Zalewski,pl POL,DF,16,9,0,0,793,8.8,1,0,/en/players/45191c29/Nicola-Zalewski,45191c29,Nicola-Zalewski
Stephan El Shaarawy,it ITA,"MF,FW",27,8,0,3,"1,055",11.7,1,0,/en/players/d3aaad90/Stephan-El-Shaarawy,d3aaad90,Stephan-El-Shaaraw
Ainsley Maitland-Niles,eng ENG,DF,8,7,0,0,487,5.4,0,0,/en/players/e3a5814e/Ainsley-Maitland-Niles,3a5814e,Ainsley-Maitland-Ni
Felix Afena-Gyan,gh GHA,"FW,MF",17,6,0,2,668,7.4,5,1,/en/players/0154d290/Felix-Afena-Gyan,0154d290,Felix-Afena-G
Eldor Shomurodov,uz UZB,"FW,MF",28,5,4,3,784,8.7,2,0,/en/players/57469b2d/Eldor-Shomurodov,57469b2d,Eldor-Shomurodov
Carles Pérez,es ESP,"MF,DF",19,3,1,1,554,6.2,2,0,/en/players/a8f21b9f/Carles-Perez,8f21b9f,Carles-Perez
Riccardo Calafiori,it ITA,DF,6,2,1,0,174,1.9,2,0,/en/players/aded8e6f/Riccardo-Calafiori,ded8e6f,Riccardo-Calafiori
Amadou Diawara,gn GUI,MF,4,2,0,0,170,1.9,0,0,/en/players/bf309d24/Amadou-Diawara,bf309d24,Amadou-Diaw
Leonardo Spinazzola,it ITA,DF,3,2,0,0,127,1.4,1,0,/en/players/3626daea/Leonardo-Spinazzola,3626daea,Leonardo-Spinazzo
Borja Mayoral,es ESP,"FW,DF",5,1,0,0,96,1.1,0,0,/en/players/64e8ed6d/Borja-Mayoral,64e8ed6d,Borja-Mayo
Ebrima Darboe,gm GAM,MF,1,1,0,0,63,0.7,0,0,/en/players/cf043a33/Ebrima-Darboe,cf043a33,Ebrima-Darbo
Edoardo Bove,it ITA,"MF,DF",11,0,0,1,68,0.8,0,0,/en/players/ae94a6c5/Edoardo-Bove,94a6c5,Edoardo-Bov
Cristian Volpato,it ITA,"FW,MF",3,0,0,1,38,0.4,0,0,/en/players/72f87f25/Cristian-Volpato,72f87f25,Cristian-Volpato
