2021-2022,SPAL
Player,Nationality,Position,Game,Games Starts,Assists,Goals,Minutes,Minutes 90s,Yellow Card,Red Card,Link,Player_id,Player_name
﻿Marco Mancosu,it ITA,MF,34,33,2,6,"2,906",32.3,5,0,/en/players/2c3a6c21/Marco-Mancosu,2c3a6c21,Marco-Mancosu
Lorenzo Dickmann,it ITA,DF,32,32,3,3,"2,705",30.1,6,1,/en/players/12851227/Lorenzo-Dickmann,12851227,Lorenzo-Dickm
Elio Capradossi,it ITA,DF,32,31,0,2,"2,844",31.6,4,0,/en/players/174944a3/Elio-Capradossi,174944a3,Elio-Capradossi
Francesco Vicari,it ITA,DF,28,27,0,0,"2,226",24.7,3,1,/en/players/de045b15/Francesco-Vicari,de045b15,Francesco-Vicari
Salvatore Esposito,it ITA,MF,35,26,3,3,"2,356",26.2,6,0,/en/players/5cf5c9ad/Salvatore-Esposito,5cf5c9ad,Salvatore-Esposito
Lorenzo Colombo,it ITA,FW,34,26,0,6,"2,075",23.1,9,1,/en/players/04df29a5/Lorenzo-Colombo,04df29a5,Lorenzo-Colombo
Raffaele Celia,it ITA,DF,27,22,0,0,"1,985",22.1,9,0,/en/players/0f434751/Raffaele-Celia,0f434751,Raffaele-Celi
Federico Viviani,it ITA,MF,21,21,3,4,"1,703",18.9,6,1,/en/players/2258c078/Federico-Viviani,2258c078,Federico-Viviani
Demba Thiam,sn SEN,GK,19,18,0,0,"1,665",18.5,1,0,/en/players/0f47717b/Demba-Thiam,0f47717b,Demba-Thiam
Alessandro Tripaldelli,it ITA,DF,19,16,0,0,"1,381",15.3,5,0,/en/players/4571fa88/Alessandro-Tripaldelli,4571fa88,Alessandro-Tripaldelli
Niccolò Zanellato,it ITA,MF,17,16,2,0,"1,375",15.3,3,0,/en/players/741e058f/Niccolo-Zanellato,741e058f,Niccolo-Zanellato
Jacopo Da Riva,it ITA,MF,25,14,2,2,"1,340",14.9,5,0,/en/players/9591723b/Jacopo-Da-Riva,9591723b,Jacopo-Da-Riv
Federico Melchiorri,it ITA,FW,27,12,2,5,"1,242",13.8,0,0,/en/players/87e5d68c/Federico-Melchiorri,87e5d68c,Federico-Melchiorri
Luca Vido,it ITA,FW,16,12,3,3,919,10.2,2,0,/en/players/eb0d77a4/Luca-Vido,b0d77a4,Luca-Vido
Biagio Meccariello,it ITA,DF,15,11,0,0,"1,142",12.7,5,0,/en/players/1eeeff8a/Biagio-Meccariello,1eeeff8a,Biagio-Meccariello
Luca Mora,it ITA,MF,25,11,5,0,"1,059",11.8,6,0,/en/players/42fff925/Luca-Mora,42fff925,Luca-Mo
Enrico Alfonso,it ITA,GK,11,11,0,0,990,11.0,0,0,/en/players/95adf1e1/Enrico-Alfonso,95adf1e1,Enrico-Alfonso
Demba Seck,sn SEN,"MF,FW",18,11,2,1,949,10.5,2,0,/en/players/16463a79/Demba-Seck,16463a79,Demba-Seck
Marco Pinato,it ITA,MF,15,11,1,1,940,10.4,3,0,/en/players/9deed39b/Marco-Pinato,9deed39b,Marco-Pinato
Giovanni Crociata,it ITA,"MF,FW",24,9,1,0,919,10.2,4,0,/en/players/8c964914/Giovanni-Crociata,8c964914,Giovanni-Crociat
Emmanuel Latte Lath,ci CIV,"FW,MF",18,9,0,3,817,9.1,3,0,/en/players/1c9cfad4/Emmanuel-Latte-Lath,1c9cfad4,Emmanuel-Latte-Lath
Mattia Finotto,it ITA,FW,11,7,0,3,608,6.8,1,0,/en/players/a96a244b/Mattia-Finotto,96a244b,Mattia-Finotto
Patryk Peda,pl POL,DF,13,6,0,0,637,7.1,2,0,/en/players/885c76c4/Patryk-Peda,885c76c4,Patryk-Ped
Andrea Seculin,it ITA,GK,6,6,0,0,495,5.5,0,0,/en/players/c4f573f4/Andrea-Seculin,c4f573f4,Andrea-Seculi
