Id,Player,Nationality,Position,Game,Games Starts,Assists,Goals,season,Link,Player_id,Club,Minutes,Minutes 90s,Yellow Card,Red Card,Club_Id,Nationality_Id,Player_Id_DB,club
,﻿Paolo Branduani,it ITA,GK,1,1,0.0,0.0,2015-2016,/en/players/0f917b09/Paolo-Branduani,0f917b09,SPAL,90.0,1.0,0.0,0.0,201,9.0,21441,SPAL
,Michele Castagnetti,it ITA,MF,1,1,0.0,0.0,2015-2016,/en/players/ad92526f/Michele-Castagnetti,d92526f,SPAL,90.0,1.0,1.0,0.0,201,9.0,21400,SPAL
,Pietro Ceccaroni,it ITA,DF,1,1,0.0,0.0,2015-2016,/en/players/4d1efb48/Pietro-Ceccaroni,4d1efb48,SPAL,90.0,1.0,0.0,0.0,201,9.0,23895,SPAL
,Federico Gentile,it ITA,MF,1,1,0.0,0.0,2015-2016,/en/players/1f6ccc20/Federico-Gentile,1f6ccc20,SPAL,90.0,1.0,0.0,0.0,201,9.0,22297,SPAL
,Nicolas Giani,it ITA,DF,1,1,0.0,0.0,2015-2016,/en/players/68eee4f9/Nicolas-Giani,68eee4f9,SPAL,90.0,1.0,0.0,0.0,201,9.0,23896,SPAL
,Manuel Lazzari,it ITA,"DF,MF",1,1,0.0,0.0,2015-2016,/en/players/02caf6e0/Manuel-Lazzari,02caf6e0,SPAL,90.0,1.0,0.0,0.0,201,9.0,19980,SPAL
,Luca Mora,it ITA,MF,1,1,0.0,1.0,2015-2016,/en/players/42fff925/Luca-Mora,42fff925,SPAL,90.0,1.0,0.0,0.0,201,9.0,23897,SPAL
,Tommaso Silvestri,it ITA,DF,1,1,0.0,0.0,2015-2016,/en/players/4fcf21ee/Tommaso-Silvestri,4fcf21ee,SPAL,90.0,1.0,0.0,0.0,201,9.0,23057,SPAL
,Davide Di Quinzio,it ITA,MF,1,1,0.0,0.0,2015-2016,/en/players/2d77e535/Davide-Di-Quinzio,2d77e535,SPAL,89.0,1.0,0.0,0.0,201,9.0,21891,SPAL
,Marco Cellini,it ITA,FW,1,1,0.0,0.0,2015-2016,/en/players/2ec0ba76/Marco-Cellini,2ec0ba76,SPAL,80.0,0.9,0.0,0.0,201,9.0,21244,SPAL
,Gianmarco Zigoni,it ITA,FW,1,1,0.0,0.0,2015-2016,/en/players/a37ed655/Gianmarco-Zigoni,37ed655,SPAL,59.0,0.7,1.0,0.0,201,9.0,19794,SPAL
,Mattia Finotto,it ITA,FW,1,0,0.0,0.0,2015-2016,/en/players/a96a244b/Mattia-Finotto,96a244b,SPAL,31.0,0.3,0.0,0.0,201,9.0,23899,SPAL
,Jacopo Ferri,it ITA,MF,1,0,0.0,0.0,2015-2016,/en/players/a622de01/Jacopo-Ferri,622de01,SPAL,10.0,0.1,0.0,0.0,201,9.0,21798,SPAL
,Alessandro Bellemo,it ITA,MF,1,0,0.0,0.0,2015-2016,/en/players/fb8b8534/Alessandro-Bellemo,fb8b8534,SPAL,1.0,0.0,0.0,0.0,201,9.0,21912,SPAL
,Andrea Beghetto,it ITA,"DF,MF",0,0,,,2015-2016,/en/players/438dfc6a/Andrea-Beghetto,438dfc6a,SPAL,,,,,201,9.0,21007,SPAL
,Nikita Contini Baranovsky,it ITA,GK,0,0,,,2015-2016,/en/players/e95069bb/Nikita-Contini-Baranovsky,95069bb,SPAL,,,,,201,9.0,23110,SPAL
,Domenico Germinale,it ITA,FW,0,0,,,2015-2016,/en/players/20887cc5/Domenico-Germinale,20887cc5,SPAL,,,,,201,9.0,19651,SPAL
,﻿Manuel Lazzari,it ITA,"DF,MF",39,38,6.0,0.0,2016-2017,/en/players/02caf6e0/Manuel-Lazzari,02caf6e0,SPAL,"3,328",37.0,10.0,0.0,201,9.0,19980,SPAL
,Mirco Antenucci,it ITA,FW,37,35,7.0,18.0,2016-2017,/en/players/43a2e16c/Mirco-Antenucci,43a2e16c,SPAL,"3,081",34.2,2.0,0.0,201,9.0,8035,SPAL
,Pasquale Schiattarella,it ITA,MF,36,35,8.0,3.0,2016-2017,/en/players/bd84fc61/Pasquale-Schiattarella,bd84fc61,SPAL,"3,040",33.8,12.0,0.0,201,9.0,20208,SPAL
,Luca Mora,it ITA,MF,35,32,2.0,7.0,2016-2017,/en/players/42fff925/Luca-Mora,42fff925,SPAL,"2,732",30.4,14.0,2.0,201,9.0,23897,SPAL
,Francesco Vicari,it ITA,DF,34,31,1.0,1.0,2016-2017,/en/players/de045b15/Francesco-Vicari,de045b15,SPAL,"2,776",30.8,4.0,1.0,201,9.0,23371,SPAL
