2009-2010,Saint-Etienne
Player,Nationality,Position,Game,Games Starts,Assists,Goals,Minutes,Minutes 90s,Yellow Card,Red Card,Link,Player_id,Player_name
﻿Jérémie Janot,fr FRA,GK,38,38,0,0,"3,420",38.0,1,0,/en/players/20881853/Jeremie-Janot,20881853,Jeremie-Janot
Blaise Matuidi,fr FRA,MF,36,35,1,1,"3,038",33.8,5,0,/en/players/c0cddebe/Blaise-Matuidi,c0cddebe,Blaise-Matuidi
Guirane N'Daw,sn SEN,"DF,MF",34,29,1,0,"2,736",30.4,6,0,/en/players/cc61ee7a/Guirane-NDaw,cc61ee7a,Guirane-NDaw
Gelson Fernandes,ch SUI,MF,33,29,0,0,"2,598",28.9,2,0,/en/players/8e58987d/Gelson-Fernandes,8e58987d,Gelson-Fernand
Yohan Benalouane,tn TUN,DF,29,27,0,1,"2,465",27.4,8,1,/en/players/8309b068/Yohan-Benalouane,8309b068,Yohan-Benalou
Gonzalo Bergessio,ar ARG,FW,31,26,2,5,"2,304",25.6,7,0,/en/players/da001952/Gonzalo-Bergessio,da001952,Gonzalo-Bergessio
Dimitri Payet,fr FRA,"FW,MF",35,25,6,2,"2,438",27.1,3,0,/en/players/58ae47b2/Dimitri-Payet,58ae47b2,Dimitri-Payet
Mouhamadou Dabo,fr FRA,DF,25,23,0,0,"1,906",21.2,3,0,/en/players/78853b7b/Mouhamadou-Dabo,78853b7b,Mouhamadou-Dabo
Cédric Varrault,fr FRA,DF,23,23,0,1,"1,792",19.9,2,0,/en/players/8cb8dc58/Cedric-Varrault,8cb8dc58,Cedric-Varrault
Emmanuel Rivière,fr FRA,FW,30,19,4,8,"1,733",19.3,0,0,/en/players/2bae5658/Emmanuel-Riviere,2bae5658,Emmanuel-Rivi
Pape Diakhaté,sn SEN,DF,18,18,0,1,"1,620",18.0,6,0,/en/players/84340e6d/Pape-Diakhate,84340e6d,Pape-Diakhat
Bakary Sako,ml MLI,MF,30,17,2,1,"1,728",19.2,1,0,/en/players/381d7d54/Bakary-Sako,381d7d54,Bakary-Sako
Christophe Landrin,fr FRA,MF,18,15,1,1,"1,378",15.3,3,0,/en/players/06fdad54/Christophe-Landrin,06fdad54,Christophe-Landri
Loïc Perrin,fr FRA,"DF,MF",18,15,0,2,"1,306",14.5,4,0,/en/players/6b200d45/Loic-Perrin,6b200d45,Loic-Perri
Kevin Mirallas,be BEL,"FW,MF",23,14,0,0,"1,229",13.7,0,1,/en/players/aa51343f/Kevin-Mirallas,51343f,Kevin-Mi
Boubacar Sanogo,ci CIV,FW,17,14,2,1,"1,150",12.8,1,0,/en/players/db512619/Boubacar-Sanogo,db512619,Boubacar-Sanogo
Ilan,br BRA,FW,12,9,0,2,708,7.9,0,0,/en/players/f0a36f0c/Ilan,f0a36f0c,I
Yoann Andreu,fr FRA,DF,12,8,0,0,743,8.3,3,1,/en/players/872cd68c/Yoann-Andreu,872cd68c,Yoann-Andreu
Moustapha Bayal Sall,sn SEN,DF,9,8,0,0,707,7.9,1,0,/en/players/74577256/Moustapha-Bayal-Sall,74577256,Moustapha-Bayal-S
Augusto Fernández,ar ARG,MF,12,8,0,1,633,7.0,1,0,/en/players/78c40e94/Augusto-Fernandez,78c40e94,Augusto-Fernandez
Stathis Tavlaridis,gr GRE,DF,6,6,0,0,458,5.1,4,1,/en/players/8be432df/Stathis-Tavlaridis,8be432df,Stathis-Tavlaridi
Yohan Hautcœur,fr FRA,MF,9,5,0,0,540,6.0,0,0,/en/players/d7110aaf/Yohan-Hautcoeur,d7110aaf,Yohan-Hautcoeu
Sylvain Monsoreau,fr FRA,DF,8,3,0,0,261,2.9,0,0,/en/players/8aaad440/Sylvain-Monsoreau,8aaad440,Sylvain-Monsoreau
Helton Dos Reis,fr FRA,"DF,FW",4,2,0,0,300,3.3,0,0,/en/players/f48629bf/Helton-Dos-Reis,f48629bf,Helton-Dos-Rei
Josuha Guilavogui,fr FRA,"DF,MF",2,1,0,0,129,1.4,0,0,/en/players/e6c43eec/Josuha-Guilavogui,6c43eec,Josuha-Guilavogui
Boubacar Mansaly,sn SEN,MF,1,1,0,0,90,1.0,0,0,/en/players/f1f92f1c/Boubacar-Mansaly,f1f92f1c,Boubacar-M
Maodomalick Faye,sn SEN,FW,4,0,0,0,51,0.6,1,0,/en/players/7fa0cc29/Maodomalick-Faye,7fa0cc29,Maodomalick-F
David Gigliotti,fr FRA,FW,1,0,0,0,14,0.2,0,0,/en/players/5bf469be/David-Gigliotti,5bf469be,David-Gigliotti
