2013-2014,Sassuolo
Player,Nationality,Position,Game,Games Starts,Assists,Goals,Minutes,Minutes 90s,Yellow Card,Red Card,Link,Player_id,Player_name
﻿Gianluca Pegolo,it ITA,GK,33,33,0,0,"2,970",33.0,2,0,/en/players/f058ed1f/Gianluca-Pegolo,f058ed1f,Gianluca-Pegolo
Francesco Magnanelli,it ITA,MF,28,28,2,0,"2,464",27.4,8,1,/en/players/07767f42/Francesco-Magnanelli,07767f42,Francesco-Magnanelli
Alessandro Longhi,it ITA,DF,28,27,1,1,"2,439",27.1,4,0,/en/players/1544319d/Alessandro-Longhi,1544319d,Alessandro-Longhi
Domenico Berardi,it ITA,"FW,MF",29,26,6,16,"2,170",24.1,10,1,/en/players/53a0e358/Domenico-Berardi,53a0e358,Domenico-Berardi
Simone Zaza,it ITA,FW,33,24,2,9,"2,305",25.6,10,1,/en/players/9592289a/Simone-Zaza,9592289a,Simone-Zaz
Marcello Gazzola,it ITA,DF,25,22,0,0,"2,018",22.4,8,0,/en/players/93390969/Marcello-Gazzola,93390969,Marcello-Gazzo
Luca Antei,it ITA,DF,22,22,1,0,"1,931",21.5,8,1,/en/players/97c9bce3/Luca-Antei,97c9bce3,Luca-Antei
Simone Missiroli,it ITA,MF,27,21,1,1,"1,859",20.7,4,0,/en/players/331c0a43/Simone-Missiroli,331c0a43,Simone-Missiroli
Antonio Floro Flores,it ITA,FW,29,17,3,7,"1,501",16.7,4,0,/en/players/d6846501/Antonio-Floro-Flores,d6846501,Antonio-Floro-Flo
Paolo Cannavaro,it ITA,DF,16,16,0,0,"1,386",15.4,3,1,/en/players/46ed55b6/Paolo-Cannavaro,46ed55b6,Paolo-Cannavaro
Paolo Bianco,it ITA,DF,16,15,0,0,"1,367",15.2,4,0,/en/players/3e4c8171/Paolo-Bianco,3e4c8171,Paolo-Bianco
Luca Marrone,it ITA,"DF,MF",15,14,2,0,"1,137",12.6,3,0,/en/players/ea468ea8/Luca-Marrone,468ea8,Luca-Marro
Reto Ziegler,ch SUI,"DF,MF",17,13,0,0,"1,219",13.5,2,0,/en/players/facb3c57/Reto-Ziegler,facb3c57,Reto-Zieg
Jasmin Kurtić,si SVN,MF,18,13,3,0,"1,174",13.0,3,0,/en/players/144607cc/Jasmin-Kurtic,144607cc,Jasmin-Kurtic
Raman Chibsah,gh GHA,MF,18,13,0,0,"1,093",12.1,0,0,/en/players/aa5a409a/Raman-Chibsah,5a409a,Raman-Chibsah
Lorenzo Ariaudo,it ITA,DF,12,12,0,0,"1,033",11.5,5,0,/en/players/68b78c2a/Lorenzo-Ariaudo,68b78c2a,Lorenzo-Ariaudo
Davide Biondini,it ITA,MF,15,12,0,1,"1,018",11.3,3,0,/en/players/b4c3070a/Davide-Biondini,b4c3070a,Davide-Biondini
Francesco Acerbi,it ITA,DF,13,11,0,0,"1,084",12.0,0,0,/en/players/b96b595c/Francesco-Acerbi,b96b595c,Francesco-Acerbi
Nicola Sansone,it ITA,"FW,MF",12,10,3,5,909,10.1,1,0,/en/players/7eb97a8e/Nicola-Sansone,7eb97a8e,Nicola-Sanso
Ezequiel Schelotto,it ITA,"DF,MF",11,9,0,1,670,7.4,1,0,/en/players/a6e316c1/Ezequiel-Schelotto,6e316c1,Ezequiel-Schelotto
Sergio Floccari,it ITA,FW,15,8,0,1,777,8.6,0,0,/en/players/df301450/Sergio-Floccari,df301450,Sergio-Floccari
Pedro Mendes,pt POR,DF,9,7,0,0,642,7.1,3,0,/en/players/6690ef25/Pedro-Mendes,6690ef25,Pedro-Mend
Lino Marzorati,it ITA,DF,9,6,0,1,538,6.0,1,0,/en/players/2cf1009b/Lino-Marzorati,2cf1009b,Lino-Marzorati
Matteo Brighi,it ITA,MF,8,6,0,0,442,4.9,0,0,/en/players/d417b306/Matteo-Brighi,d417b306,Matteo-Brighi
Aleandro Rosi,it ITA,"DF,MF",7,5,0,0,455,5.1,3,0,/en/players/1b729ba2/Aleandro-Rosi,1b729ba2,Aleandro-Rosi
Jonathan Rossini,ch SUI,DF,6,5,0,0,338,3.8,1,0,/en/players/adb08b03/Jonathan-Rossini,db08b03,Jonathan-Rossini
Karim Laribi,tn TUN,"FW,MF",10,4,1,0,425,4.7,2,0,/en/players/d1437a4c/Karim-Laribi,d1437a4c,Karim-Laribi
Gaetano Masucci,it ITA,FW,13,3,0,0,396,4.4,1,0,/en/players/2f98644a/Gaetano-Masucci,2f98644a,Gaetano-Masucci
