2020-2021,Sedan
Player,Nationality,Position,Game,Games Starts,Assists,Goals,Minutes,Minutes 90s,Yellow Card,Red Card,Link,Player_id,Player_name
﻿Alexandre Harvey,fr FRA,DF,5,5,0,0,414,4.6,1,0,/en/players/5ec5eeb5/Alexandre-Harvey,5ec5eeb5,Alexandre-Harv
Alexandre Ramalingom,mg MAD,FW,5,5,0,5,407,4.5,1,0,/en/players/4b7a4db0/Alexandre-Ramalingom,4b7a4db0,Alexandre-Ramalingom
Raphaël Calvet,fr FRA,MF,5,5,0,0,405,4.5,1,0,/en/players/2eb9e99e/Raphael-Calvet,2eb9e99e,Raphael-Calvet
Aziz Dahchour,ma MAR,MF,5,5,1,2,353,3.9,0,0,/en/players/8d8c993a/Aziz-Dahchour,8d8c993a,Aziz-Dahchou
Mathieu Géran,gp GLP,"FW,MF",5,5,0,1,322,3.6,1,0,/en/players/f49efadd/Mathieu-Geran,f49efadd,Mathieu-G
Glen Matondo,cd COD,DF,4,4,0,0,315,3.5,0,0,/en/players/8b8a38d4/Glen-Matondo,8b8a38d4,Glen-Matondo
Jeremy Bekhechi,fr FRA,"MF,FW",4,4,3,1,289,3.2,0,0,/en/players/0da26bdb/Jeremy-Bekhechi,0da26bdb,Jeremy-Bekhechi
Djessy Basimba,cd COD,DF,4,3,0,0,287,3.2,0,0,/en/players/7c6ae91b/Djessy-Basimba,7c6ae91b,Djessy-Basimb
Edwin Quarshie,gh GHA,MF,5,3,0,2,286,3.2,0,0,/en/players/f18b54ee/Edwin-Quarshie,f18b54ee,Edwin-Quarshi
Xavier Lenogue,mq MTQ,GK,3,3,0,0,270,3.0,0,0,/en/players/72c212ec/Xavier-Lenogue,72c212ec,Xavier-Lenogu
Nicolas Senzemba,fr FRA,DF,3,3,0,0,249,2.8,1,0,/en/players/e52abd08/Nicolas-Senzemba,52abd08,Nicolas-Senzemb
Axel Benoit,fr FRA,DF,4,2,0,0,216,2.4,0,0,/en/players/8d4dca72/Axel-Benoit,8d4dca72,Axel-Benoit
Geoffrey Lembet,cf CTA,GK,2,2,0,0,180,2.0,0,0,/en/players/fb4aa439/Geoffrey-Lembet,fb4aa439,Geoffrey-Lembet
Jonathan Bijimine,cd COD,DF,2,2,0,1,158,1.8,0,0,/en/players/d7cd475e/Jonathan-Bijimine,d7cd475e,Jonathan-Bijimi
Stacy Misiatu,cd COD,DF,4,2,0,0,153,1.7,0,0,/en/players/60fa6c18/Stacy-Misiatu,60fa6c18,Stacy-Misiatu
François Borgniet,fr FRA,MF,5,1,1,1,221,2.5,0,0,/en/players/273cff7d/Francois-Borgniet,273cff7d,Francois-Borgniet
Alpha Kubota,sl SLE,FW,4,1,1,0,127,1.4,0,0,/en/players/3f41b287/Alpha-Kubota,3f41b287,Alpha-Kubot
Neupocoussek Mendy,sn SEN,FW,5,0,1,0,169,1.9,1,0,/en/players/3103d299/Neupocoussek-Mendy,3103d299,Neupocoussek-Mend
Noam Merabti,dz ALG,MF,3,0,0,0,80,0.9,1,0,/en/players/03c8977f/Noam-Merabti,03c8977f,Noam-Merabti
Bratislav Đukić,rs SRB,DF,1,0,0,0,45,0.5,0,0,/en/players/ed59c951/Bratislav-Djukic,d59c951,Bratislav-Djukic
Giorgi Jobava,ge GEO,MF,1,0,0,0,4,0.0,0,0,/en/players/dbd8543f/Giorgi-Jobava,dbd8543f,Giorgi-Jobav
Edwin Ebode Ondobo,fr FRA,GK,0,0,,,,,,,/en/players/ec5107fd/Edwin-Ebode-Ondobo,c5107fd,Edwin-Ebode-Ondobo
Youssef Gazzaoui,ma MAR,DF,0,0,,,,,,,/en/players/56c29ce3/Youssef-Gazzaoui,56c29ce3,Youssef-Gazzaoui
Falou Samb,sn SEN,FW,0,0,,,,,,,/en/players/7b889691/Falou-Samb,7b889691,Falou-Samb
