2016-2017,Sevilla
Player,Nationality,Position,Game,Games Starts,Assists,Goals,Minutes,Minutes 90s,Yellow Card,Red Card,Link,Player_id,Player_name
﻿Sergio Rico,es ESP,GK,35,35,0,0,"3,150",35.0,0,0,/en/players/5f0241b2/Sergio-Rico,5f0241b2,Sergio-Rico
Steven Nzonzi,fr FRA,MF,35,34,3,2,"3,066",34.1,6,0,/en/players/c7526c18/Steven-Nzonzi,c7526c18,Steven-Nzonzi
Mariano,br BRA,"DF,MF",31,29,2,0,"2,643",29.4,10,0,/en/players/e26f559f/Mariano,26f559f,Mariano
Nicolás Pareja,ar ARG,DF,27,27,1,1,"2,160",24.0,6,1,/en/players/a92669f6/Nicolas-Pareja,92669f6,Nicolas-Parej
Gabriel Mercado,ar ARG,DF,29,26,1,3,"2,184",24.3,10,0,/en/players/bf97c188/Gabriel-Mercado,bf97c188,Gabriel-Mercado
Franco Vázquez,ar ARG,MF,30,26,4,7,"2,076",23.1,8,0,/en/players/467bae22/Franco-Vazquez,467bae22,Franco-Vazquez
Vitolo,es ESP,"MF,FW",30,25,5,6,"2,332",25.9,6,1,/en/players/db750822/Vitolo,db750822,Vitolo
Sergio Escudero,es ESP,"DF,MF",26,25,3,0,"2,282",25.4,7,0,/en/players/b0616e3d/Sergio-Escudero,b0616e3d,Sergio-Escudero
Pablo Sarabia,es ESP,MF,34,22,8,8,"2,142",23.8,10,0,/en/players/9744ff80/Pablo-Sarabia,9744ff80,Pablo-Sarabi
Samir Nasri,fr FRA,"MF,FW",23,22,4,2,"1,840",20.4,7,0,/en/players/165bed61/Samir-Nasri,165bed61,Samir-Nasri
Adil Rami,fr FRA,DF,21,21,0,0,"1,782",19.8,4,1,/en/players/8dbff17c/Adil-Rami,8dbff17c,Adil-Rami
Wissam Ben Yedder,fr FRA,FW,31,20,5,11,"1,661",18.5,0,0,/en/players/942b4f90/Wissam-Ben-Yedder,942b4f90,Wissam-Ben-Yedd
Clément Lenglet,fr FRA,DF,17,15,0,0,"1,358",15.1,2,0,/en/players/4f28a6ff/Clement-Lenglet,4f28a6ff,Clement-Lenglet
Joaquín Correa,ar ARG,"MF,FW",26,15,0,4,"1,313",14.6,6,0,/en/players/45b9b619/Joaquin-Correa,45b9b619,Joaquin-Co
Luciano Vietto,ar ARG,FW,21,14,3,6,"1,310",14.6,3,0,/en/players/2513a588/Luciano-Vietto,2513a588,Luciano-Vietto
Matías Kranevitter,ar ARG,MF,21,14,0,0,"1,285",14.3,6,0,/en/players/314bdac5/Matias-Kranevitter,314bdac5,Matias-Kranevitt
Vicente Iborra,es ESP,MF,31,12,2,7,"1,481",16.5,9,0,/en/players/ad1ffcfd/Vicente-Iborra,d1ffcfd,Vicente-Ibo
Stevan Jovetić,me MNE,FW,21,12,4,6,"1,206",13.4,4,0,/en/players/f36c432f/Stevan-Jovetic,f36c432f,Stevan-Jovetic
Daniel Carriço,pt POR,DF,6,6,0,0,452,5.0,2,0,/en/players/e1deea75/Daniel-Carrico,1deea75,Daniel-Carrico
Ganso,br BRA,MF,10,5,1,2,486,5.4,0,0,/en/players/23593121/Ganso,23593121,Ganso
Timothée Kolodziejczak,fr FRA,DF,5,3,0,0,330,3.7,1,0,/en/players/ab096c6f/Timothee-Kolodziejczak,b096c6f,Timothee-Kolodziejczak
Hiroshi Kiyotake,jp JPN,"MF,FW",4,3,2,1,285,3.2,0,0,/en/players/0dba1f3e/Hiroshi-Kiyotake,0dba1f3e,Hiroshi-Kiyotak
Salvatore Sirigu,it ITA,GK,2,2,0,0,177,2.0,0,1,/en/players/10dc46f0/Salvatore-Sirigu,10dc46f0,Salvatore-Sirigu
Michael Krohn-Dehli,dk DEN,"MF,FW",2,2,0,0,170,1.9,0,0,/en/players/1c8dc17d/Michael-Krohn-Dehli,1c8dc17d,Michael-Krohn-Dehli
Walter Montoya,ar ARG,FW,4,1,0,0,111,1.2,0,0,/en/players/39e9c09a/Walter-Montoya,39e9c09a,Walter-Monto
David Soria,es ESP,GK,1,1,0,0,90,1.0,0,0,/en/players/8f8c6934/David-Soria,8f8c6934,David-Sori
Carlos Fernández,es ESP,FW,3,1,0,1,89,1.0,0,0,/en/players/e08647d6/Carlos-Fernandez,08647d6,Carlos-Fernandez
Diego González,es ESP,DF,3,0,0,0,35,0.4,0,0,/en/players/4ac7608e/Diego-Gonzalez,4ac7608e,Diego-Gonzalez
Churripi,es ESP,GK,0,0,,,,,,,/en/players/81a606fc/Churripi,81a606fc,Churripi
Yevhen Konoplyanka,ua UKR,"FW,MF",0,0,,,,,,,/en/players/d9a5d930/Yevhen-Konoplyanka,d9a5d930,Yevhen-Konoplyank
José Mena Rodríguez,es ESP,MF,0,0,,,,,,,/en/players/0af4b238/Jose-Mena-Rodriguez,0af4b238,Jose-Mena-Rodriguez
Álex Muñoz,es ESP,DF,0,0,,,,,,,/en/players/853f211e/Alex-Munoz,853f211e,Alex-Munoz
Alejandro Pozo Pozo,es ESP,"DF,MF",0,0,,,,,,,/en/players/3c16d927/Alejandro-Pozo-Pozo,3c16d927,Alejandro-Pozo-Pozo
