Id,Player,Nationality,Position,Game,Games Starts,Assists,Goals,season,Player_id,Club,Minutes,Minutes 90s,Yellow Card,Red Card,Club_Id,Nationality_Id,Player_Id_DB,club
,﻿Antonio Notario,es ESP,GK,37,37,0.0,0.0,2002-2003,b49f31c5,Sevilla,"3,330",37.0,1.0,0.0,46.0,1.0,,Sevilla
,David Castedo,es ESP,DF,35,35,2.0,0.0,2002-2003,d39ba62e,Sevilla,"3,140",34.9,7.0,1.0,46.0,1.0,1776.0,Sevilla
,Javier Casquero,es ESP,MF,35,35,2.0,5.0,2002-2003,b6daa16,Sevilla,"2,855",31.7,7.0,0.0,46.0,1.0,1777.0,Sevilla
,Pablo Alfaro,es ESP,DF,33,33,0.0,1.0,2002-2003,9654a31,Sevilla,"2,965",32.9,5.0,1.0,46.0,1.0,1778.0,Sevilla
,José Antonio Reyes,es ESP,MF,34,32,5.0,9.0,2002-2003,19058f02,Sevilla,"2,780",30.9,14.0,1.0,46.0,1.0,56.0,Sevilla
,Javi Navarro,es ESP,"DF,MF",30,30,0.0,1.0,2002-2003,df733521,Sevilla,"2,659",29.5,8.0,1.0,46.0,1.0,1779.0,Sevilla
,Francisco Gallardo,es ESP,MF,34,29,3.0,1.0,2002-2003,be80c87c,Sevilla,"2,432",27.0,5.0,1.0,46.0,1.0,,Sevilla
,Marcos Vales,es ESP,MF,31,21,1.0,3.0,2002-2003,f96c7239,Sevilla,"2,072",23.0,8.0,1.0,46.0,1.0,,Sevilla
,Gerardo Torrado,mx MEX,MF,22,21,2.0,0.0,2002-2003,c966c9a3,Sevilla,"1,844",20.5,3.0,0.0,46.0,20.0,1780.0,Sevilla
,Fredi Lobeiras,es ESP,MF,23,21,3.0,0.0,2002-2003,9e85ab41,Sevilla,"1,636",18.2,6.0,2.0,46.0,1.0,1781.0,Sevilla
,Antoñito,es ESP,FW,32,19,1.0,7.0,2002-2003,822723a6,Sevilla,"1,784",19.8,7.0,0.0,46.0,1.0,1782.0,Sevilla
,Juan Redondo,es ESP,DF,24,19,1.0,0.0,2002-2003,c2bed898,Sevilla,"1,701",18.9,6.0,0.0,46.0,1.0,1783.0,Sevilla
,Zoran Njeguš,rs SRB,"DF,MF",19,16,0.0,0.0,2002-2003,cd70ea39,Sevilla,"1,344",14.9,6.0,0.0,46.0,28.0,1784.0,Sevilla
,Mariano Toedtli,ar ARG,FW,26,15,1.0,4.0,2002-2003,dc1fd8a8,Sevilla,"1,200",13.3,1.0,0.0,46.0,5.0,1785.0,Sevilla
,Óscar,es ESP,DF,17,14,0.0,0.0,2002-2003,87631dde,Sevilla,"1,329",14.8,6.0,0.0,46.0,1.0,1786.0,Sevilla
,Víctor Salas,es ESP,MF,27,10,1.0,0.0,2002-2003,67c31cb7,Sevilla,"1,155",12.8,3.0,0.0,46.0,1.0,1787.0,Sevilla
,Vinny Samways,eng ENG,MF,10,8,0.0,0.0,2002-2003,9dc41793,Sevilla,725,8.1,4.0,0.0,46.0,6.0,1788.0,Sevilla
,Francisco Lama,es ESP,MF,4,4,0.0,0.0,2002-2003,39e2db59,Sevilla,282,3.1,0.0,0.0,46.0,1.0,1789.0,Sevilla
,Moisés,es ESP,FW,12,3,0.0,1.0,2002-2003,3415193,Sevilla,399,4.4,1.0,0.0,46.0,1.0,1790.0,Sevilla
,Alfonso Vera,es ESP,MF,4,3,1.0,0.0,2002-2003,d0b31ce2,Sevilla,288,3.2,1.0,0.0,46.0,1.0,1791.0,Sevilla
,Juanmi Gelabert,es ESP,DF,5,3,0.0,0.0,2002-2003,2603ea8e,Sevilla,286,3.2,4.0,1.0,46.0,1.0,1792.0,Sevilla
,Tomás Hervás,es ESP,MF,4,3,1.0,0.0,2002-2003,9f1f6292,Sevilla,243,2.7,2.0,0.0,46.0,1.0,1793.0,Sevilla
,Nikos Machlas,gr GRE,"FW,MF",14,2,0.0,2.0,2002-2003,bae5e837,Sevilla,366,4.1,0.0,0.0,46.0,55.0,1794.0,Sevilla
,David Arteaga,es ESP,MF,3,2,0.0,0.0,2002-2003,86d9a411,Sevilla,181,2.0,0.0,0.0,46.0,1.0,1795.0,Sevilla
,Dani Alves,br BRA,"DF,MF",9,1,0.0,0.0,2002-2003,c9e99e49,Sevilla,216,2.4,0.0,0.0,46.0,2.0,,Sevilla
,Juan Carlos Caballero,es ESP,GK,1,1,0.0,0.0,2002-2003,6b8a75b9,Sevilla,90,1.0,1.0,0.0,46.0,1.0,1796.0,Sevilla
,José Miguel Prieto,es ESP,DF,1,1,0.0,0.0,2002-2003,0f1e8b40,Sevilla,49,0.5,1.0,0.0,46.0,1.0,1797.0,Sevilla
,Inti Podestá,uy URU,MF,2,0,0.0,0.0,2002-2003,bcd3b2a1,Sevilla,61,0.7,0.0,0.0,46.0,8.0,1798.0,Sevilla
,﻿Pablo Alfaro,es ESP,DF,37,37,0.0,0.0,2003-2004,9654a31,Sevilla,"3,264",36.3,6.0,1.0,46.0,1.0,1778.0,Sevilla
