,Player,Link,Player_id,Player_name,Nationality,Position
0,﻿Marco Fortin,/en/players/bdf0ae60/Marco-Fortin,bdf0ae60,Marco-Forti,it ITA,GK
1,Michele Mignani,/en/players/e6dc7454/Michele-Mignani,6dc7454,Michele-Mignani,it ITA,DF
3,Simone Tiribocchi,/en/players/34d0649a/Simone-Tiribocchi,34d0649a,Simone-Tiribocchi,it ITA,FW
4,Pinga,/en/players/acf5648c/Pinga,cf5648c,Ping,br BRA,MF
5,Davide Mandelli,/en/players/080c7e87/Davide-Mandelli,080c7e87,Davide-Mandelli,it ITA,DF
6,Massimo Brambilla,/en/players/08fb8e38/Massimo-Brambilla,08fb8e38,Massimo-Brambi,it ITA,MF
7,Luca Cavallo,/en/players/2fef40c9/Luca-Cavallo,2fef40c9,Luca-Cavallo,it ITA,MF
8,Luigi Martinelli,/en/players/cf2bc262/Luigi-Martinelli,cf2bc262,Luigi-Martinelli,it ITA,DF
9,Andrea Ardito,/en/players/6ec6bb47/Andrea-Ardito,6ec6bb47,Andrea-Ardito,it ITA,MF
10,Vincenzo Riccio,/en/players/e5047269/Vincenzo-Riccio,5047269,Vincenzo-Riccio,it ITA,MF
11,Rodrigo Taddei,/en/players/ec2042ad/Rodrigo-Taddei,c2042ad,Rodrigo-Taddei,br BRA,"DF,FW"
12,Stefano Ghirardello,/en/players/f3b60ee6/Stefano-Ghirardello,f3b60ee6,Stefano-Ghirardello,it ITA,FW
13,Raffaele Rubino,/en/players/26f15b47/Raffaele-Rubino,26f15b47,Raffaele-Rubino,it ITA,FW
14,Daniele Martinelli,/en/players/f732acba/Daniele-Martinelli,f732acba,Daniele-Martinelli,it ITA,DF
15,Ghislain Akassou,/en/players/4bc72fb9/Ghislain-Akassou,4bc72fb9,Ghislain-Akassou,ci CIV,DF
16,Francesco Carbone,/en/players/4c2675b6/Francesco-Carbone,4c2675b6,Francesco-Carbo,it ITA,DF
