Id,Player,Nationality,Position,Game,Games Starts,Assists,Goals,season,Player_id,Club,Minutes,Minutes 90s,Yellow Card,Red Card,Club_Id,Nationality_Id,Player_Id_DB
,﻿Marco Fortin,it ITA,GK,37,37,0.0,0.0,2002-2003,bdf0ae60,Siena,"3,330",37.0,3.0,0.0,180.0,9.0,
,Michele Mignani,it ITA,DF,37,37,1.0,2.0,2002-2003,6dc7454,Siena,"3,268",36.3,5.0,1.0,180.0,9.0,
,Ruggero Radice,it ITA,,34,34,0.0,0.0,2002-2003,87cf8012,Siena,"2,898",32.2,7.0,0.0,180.0,9.0,
,Simone Tiribocchi,it ITA,FW,34,34,4.0,17.0,2002-2003,34d0649a,Siena,"2,834",31.5,4.0,1.0,180.0,9.0,
,Pinga,br BRA,MF,34,34,8.0,7.0,2002-2003,cf5648c,Siena,"2,676",29.7,4.0,1.0,180.0,2.0,
,Davide Mandelli,it ITA,DF,33,32,0.0,0.0,2002-2003,080c7e87,Siena,"2,920",32.4,4.0,0.0,180.0,9.0,
,Massimo Brambilla,it ITA,MF,34,31,0.0,0.0,2002-2003,08fb8e38,Siena,"2,678",29.8,7.0,0.0,180.0,9.0,
,Luca Cavallo,it ITA,MF,32,28,0.0,2.0,2002-2003,2fef40c9,Siena,"2,418",26.9,10.0,1.0,180.0,9.0,
,Luigi Martinelli,it ITA,DF,27,26,0.0,0.0,2002-2003,cf2bc262,Siena,"2,315",25.7,16.0,0.0,180.0,9.0,
,Andrea Ardito,it ITA,MF,32,24,0.0,0.0,2002-2003,6ec6bb47,Siena,"2,122",23.6,5.0,0.0,180.0,9.0,
,Vincenzo Riccio,it ITA,MF,30,21,2.0,2.0,2002-2003,5047269,Siena,"1,830",20.3,6.0,1.0,180.0,9.0,
,Rodrigo Taddei,br BRA,"DF,FW",26,20,1.0,3.0,2002-2003,c2042ad,Siena,"1,769",19.7,2.0,1.0,180.0,2.0,
,Stefano Ghirardello,it ITA,FW,23,19,3.0,6.0,2002-2003,f3b60ee6,Siena,"1,517",16.9,0.0,0.0,180.0,9.0,
,Raffaele Rubino,it ITA,FW,28,12,2.0,6.0,2002-2003,26f15b47,Siena,"1,102",12.2,3.0,0.0,180.0,9.0,
