2017-2018,Sochaux
Player,Nationality,Position,Game,Games Starts,Assists,Goals,Minutes,Minutes 90s,Yellow Card,Red Card,Link,Player_id,Player_name
﻿Florian Tardieu,fr FRA,MF,36,36,1,1,"3,237",36.0,6,0,/en/players/ed39121c/Florian-Tardieu,d39121c,Florian-Tardieu
Maxence Prevot,fr FRA,GK,32,32,0,0,"2,847",31.6,0,0,/en/players/c657586f/Maxence-Prevot,c657586f,Maxence-Prevot
Florent Ogier,fr FRA,DF,32,30,1,0,"2,713",30.1,9,0,/en/players/6993927b/Florent-Ogier,6993927b,Florent-Ogi
Aldo Kalulu,fr FRA,"FW,MF",31,27,3,11,"2,197",24.4,2,0,/en/players/d75098c2/Aldo-Kalulu,d75098c2,Aldo-Kalulu
Jeando Fuchs,cm CMR,"MF,DF",31,25,3,1,"2,273",25.3,3,1,/en/players/1d7c48df/Jeando-Fuchs,1d7c48df,Jeando-Fuch
Yoann Touzghar,tn TUN,FW,33,24,4,6,"2,235",24.8,1,0,/en/players/4e47507a/Yoann-Touzghar,4e47507a,Yoann-Touzgh
Adolphe Teikeu,cm CMR,DF,26,24,0,2,"2,134",23.7,8,2,/en/players/1aa6286d/Adolphe-Teikeu,1aa6286d,Adolphe-Teikeu
Florin Berenguer,fr FRA,MF,25,24,3,4,"2,084",23.2,2,1,/en/players/f7ff293a/Florin-Berenguer,f7ff293a,Florin-Berengu
Mickaël Alphonse,gp GLP,DF,24,24,1,2,"1,918",21.3,2,1,/en/players/0a63446f/Mickael-Alphonse,0a63446f,Mickael-Alpho
Jean Ruiz,fr FRA,DF,23,22,0,1,"1,826",20.3,5,0,/en/players/d9d93647/Jean-Ruiz,d9d93647,Jean-Ruiz
Florian Martin,fr FRA,"MF,FW",21,20,4,12,"1,802",20.0,5,0,/en/players/52a11f2d/Florian-Martin,52a11f2d,Florian-Marti
Sofiane Daham,dz ALG,MF,28,20,2,1,"1,737",19.3,2,0,/en/players/2aabe3fb/Sofiane-Daham,2aabe3fb,Sofiane-Daham
Zakarya Bergdich,ma MAR,DF,25,19,0,0,"1,752",19.5,6,0,/en/players/833676b4/Zakarya-Bergdich,833676b4,Zakarya-Bergdich
El-Hadji Ba,mr MTN,MF,21,17,1,0,"1,394",15.5,2,0,/en/players/db89826f/El-Hadji-Ba,db89826f,El-Hadji-B
Jason Pendant,fr FRA,DF,14,14,0,0,"1,127",12.5,1,0,/en/players/22fe9049/Jason-Pendant,22fe9049,Jason-Pendant
Yakou Méïte,ci CIV,"FW,MF",31,13,0,3,"1,432",15.9,3,1,/en/players/c55e8ab0/Yakou-Meite,c55e8ab0,Yakou-Meit
Pierre Gibaud,fr FRA,"DF,MF",9,9,1,0,756,8.4,1,0,/en/players/3006a5a6/Pierre-Gibaud,3006a5a6,Pierre-Gibaud
Thomas Robinet,fr FRA,"FW,MF",18,8,1,1,599,6.7,2,0,/en/players/ec1e1d42/Thomas-Robinet,c1e1d42,Thomas-Robinet
Faneva Imà Andriatsima,mg MAD,FW,12,7,0,2,641,7.1,0,0,/en/players/efcfbafe/Faneva-Ima-Andriatsima,fcfbafe,Faneva-Ima-Andriatsim
Moussa Sao,sn SEN,"FW,MF",17,6,2,0,745,8.3,1,0,/en/players/92dc2581/Moussa-Sao,92dc2581,Moussa-Sao
Lawrence Ati-Zigi,gh GHA,GK,7,6,0,0,573,6.4,0,0,/en/players/a12402c3/Lawrence-Ati-Zigi,12402c3,Lawrence-Ati-Zigi
Axel Mohamed Bakayoko,fr FRA,"FW,DF",17,4,1,1,605,6.7,2,0,/en/players/14229604/Axel-Mohamed-Bakayoko,14229604,Axel-Mohamed-Bakayoko
Mart Ristl,de GER,"MF,DF",5,4,0,0,393,4.4,1,0,/en/players/1d3efcd3/Mart-Ristl,1d3efcd3,Mart-Rist
Patrick Kapp,de GER,DF,2,2,0,0,180,2.0,0,0,/en/players/a7454381/Patrick-Kapp,7454381,Patrick-K
Bryan Lasme,fr FRA,FW,9,1,0,1,179,2.0,0,0,/en/players/ebac0ace/Bryan-Lasme,bac0ace,Bryan-Lasm
Aksel Aktas,tr TUR,MF,0,0,,,,,,,/en/players/b96951d7/Aksel-Aktas,b96951d7,Aksel-Akt
Aubin Long,fr FRA,GK,0,0,,,,,,,/en/players/c3511339/Aubin-Long,c3511339,Aubin-Long
