2019-2020,Southampton
Player,Nationality,Position,Game,Games Starts,Assists,Goals,Minutes,Minutes 90s,Yellow Card,Red Card,Link,Player_id,Player_name
﻿James Ward-Prowse,eng ENG,"MF,DF",38,38,3,5,"3,420",38.0,9,0,/en/players/3515d404/James-Ward-Prowse,3515d404,James-Ward-Prow
Jan Bednarek,pl POL,DF,34,34,1,1,"3,057",34.0,4,0,/en/players/4115ce4e/Jan-Bednarek,4115ce4e,Jan-Bednarek
Danny Ings,eng ENG,FW,38,32,2,22,"2,804",31.2,3,0,/en/players/07802f7f/Danny-Ings,07802f7f,Danny-Ing
Nathan Redmond,eng ENG,"MF,FW",32,32,4,4,"2,762",30.7,2,0,/en/players/ab651565/Nathan-Redmond,b651565,Nathan-Redmond
Ryan Bertrand,eng ENG,DF,32,31,1,1,"2,742",30.5,3,1,/en/players/01226327/Ryan-Bertrand,01226327,Ryan-Bertrand
Pierre Højbjerg,dk DEN,MF,33,30,1,0,"2,752",30.6,5,0,/en/players/8b04d6c1/Pierre-Hojbjerg,8b04d6c1,Pierre-Hojbjerg
Alex McCarthy,eng ENG,GK,28,28,0,0,"2,520",28.0,0,0,/en/players/36c2ca73/Alex-McCarthy,36c2ca73,Alex-McCarth
Jack Stephens,eng ENG,DF,28,27,3,1,"2,451",27.2,4,1,/en/players/6adbc307/Jack-Stephens,6adbc307,Jack-Steph
Oriol Romeu,es ESP,MF,30,20,0,0,"1,860",20.7,5,0,/en/players/4b511457/Oriol-Romeu,4b511457,Oriol-Romeu
Stuart Armstrong,sct SCO,MF,30,19,3,5,"1,715",19.1,4,0,/en/players/97333cf5/Stuart-Armstrong,97333cf5,Stuart-Armstrong
Jannik Vestergaard,dk DEN,DF,19,17,0,1,"1,497",16.6,3,0,/en/players/1900032e/Jannik-Vestergaard,1900032e,Jannik-Vestergaard
Cédric Soares,pt POR,DF,16,16,1,0,"1,306",14.5,1,0,/en/players/839c14e1/Cedric-Soares,839c14e1,Cedric-So
Shane Long,ie IRL,FW,26,15,2,2,"1,395",15.5,0,0,/en/players/9f472354/Shane-Long,9f472354,Shane-Long
Che Adams,sct SCO,FW,30,12,2,4,"1,111",12.3,0,0,/en/players/f2bf1b0f/Che-Adams,f2bf1b0f,Che-Adam
Moussa Djenepo,ml MLI,"MF,DF",18,10,2,2,928,10.3,4,1,/en/players/254147d4/Moussa-Djenepo,254147d4,Moussa-Djenepo
Angus Gunn,eng ENG,GK,10,10,0,0,900,10.0,0,0,/en/players/e082af5b/Angus-Gunn,082af5b,Angus-Gu
Yan Valery,tn TUN,DF,11,10,0,0,779,8.7,1,0,/en/players/531a4aa8/Yan-Valery,531a4aa8,Yan-V
Sofiane Boufal,ma MAR,"MF,FW",20,8,2,0,764,8.5,2,0,/en/players/b0c71810/Sofiane-Boufal,b0c71810,Sofiane-Bouf
Michael Obafemi,ie IRL,FW,21,8,2,3,665,7.4,1,0,/en/players/caa1a7f0/Michael-Obafemi,caa1a7f0,Michael-Obafemi
Kyle Walker-Peters,eng ENG,DF,10,7,0,0,703,7.8,1,0,/en/players/984a5a64/Kyle-Walker-Peters,984a5a64,Kyle-Walker-Pet
Maya Yoshida,jp JPN,DF,8,6,0,0,560,6.2,1,0,/en/players/caffaf5a/Maya-Yoshida,caffaf5a,Maya-Yoshid
William Smallbone,ie IRL,MF,9,4,2,0,393,4.4,0,0,/en/players/5e105217/William-Smallbone,5e105217,William-Smallbo
Kevin Danso,at AUT,DF,6,3,1,0,277,3.1,2,1,/en/players/6e33125f/Kevin-Danso,6e33125f,Kevin-Danso
Jake Vokins,eng ENG,DF,1,1,0,0,90,1.0,0,0,/en/players/d484c261/Jake-Vokins,d484c261,Jake-Voki
Nathan Tella,eng ENG,FW,1,0,0,0,3,0.0,0,0,/en/players/f1e94cd6/Nathan-Tella,f1e94cd6,Nathan-T
Will Ferry,ie IRL,MF,0,0,,,,,,,/en/players/f4765c97/Will-Ferry,f4765c97,Will-F
Fraser Forster,eng ENG,GK,0,0,,,,,,,/en/players/c3e39f12/Fraser-Forster,c3e39f12,Fraser-Forst
Alexandre Jankewitz,ch SUI,MF,0,0,,,,,,,/en/players/7c39363f/Alexandre-Jankewitz,7c39363f,Alexandre-Jankewitz
Harry Lewis,eng ENG,GK,0,0,,,,,,,/en/players/c35e99d8/Harry-Lewis,c35e99d8,Harry-Lewi
Jacob Maddox,eng ENG,MF,0,0,,,,,,,/en/players/ff97076d/Jacob-Maddox,ff97076d,Jacob-Maddox
Dan Nlundulu,eng ENG,FW,0,0,,,,,,,/en/players/30040f5d/Dan-Nlundulu,30040f5d,Dan-Nlundulu
