Unnamed: 0,Player,Link,Player_id,Player_name,Nationality,Position,club
0,﻿James Beattie,/en/players/7c881089/James-Beattie,7c881089,James-Beatti,eng ENG,FW,Southampton
1,Fabrice Fernandes,/en/players/9838d388/Fabrice-Fernandes,9838d388,Fabrice-Fernand,fr FRA,MF,Southampton
2,Wayne Bridge,/en/players/86b982bc/Wayne-Bridge,86b982bc,Wayne-Bridg,eng ENG,DF,Southampton
3,Michael Svensson,/en/players/123a0e8f/Michael-Svensson,123a0e8f,Michael-Svensso,se SWE,DF,Southampton
4,Claus Lundekvam,/en/players/22de8419/Claus-Lundekvam,22de8419,Claus-Lundekvam,no NOR,DF,Southampton
5,Chris Marsden,/en/players/c1f59bed/Chris-Marsden,c1f59bed,Chris-Marsd,eng ENG,MF,Southampton
6,Matt Oakley,/en/players/79974582/Matt-Oakley,79974582,Matt-Oak,eng ENG,MF,Southampton
7,Paul Telfer,/en/players/7b3990c5/Paul-Telfer,7b3990c5,Paul-Telf,sct SCO,"DF,MF",Southampton
8,Anders Svensson,/en/players/2c29fd2a/Anders-Svensson,2c29fd2a,Anders-Svensso,se SWE,MF,Southampton
9,Antti Niemi,/en/players/79c3c101/Antti-Niemi,79c3c101,Antti-Niemi,fi FIN,GK,Southampton
10,Rory Delap,/en/players/9b0dac73/Rory-Delap,9b0dac73,Rory-D,ie IRL,MF,Southampton
11,Brett Ormerod,/en/players/fde1ce8d/Brett-Ormerod,fde1ce8d,Brett-Ormerod,eng ENG,FW,Southampton
12,Paul Jones,/en/players/3bf1ce9d/Paul-Jones,3bf1ce9d,Paul-Jo,wls WAL,GK,Southampton
13,Jason Dodd,/en/players/df15c7a1/Jason-Dodd,df15c7a1,Jason-Dodd,eng ENG,DF,Southampton
14,Paul Williams,/en/players/651f09cc/Paul-Williams,651f09cc,Paul-William,eng ENG,DF,Southampton
15,Jo Tessem,/en/players/32290355/Jo-Tessem,32290355,Jo-Tessem,no NOR,MF,Southampton
16,David Prutton,/en/players/7123fdc0/David-Prutton,7123fdc0,David-Prutto,eng ENG,MF,Southampton
17,Marians Pahars,/en/players/bc95c25d/Marians-Pahars,bc95c25d,Marians-Pah,lv LVA,"FW,MF",Southampton
18,Danny Higginbotham,/en/players/688135a1/Danny-Higginbotham,688135a1,Danny-Higginbotham,gi GIB,DF,Southampton
19,Agustín Delgado,/en/players/a8d08004/Agustin-Delgado,8d08004,Agustin-Delgado,ec ECU,FW,Southampton
20,Francis Benali,/en/players/91950851/Francis-Benali,91950851,Francis-Benali,eng ENG,DF,Southampton
21,Chris Baird,/en/players/55fd8c81/Chris-Baird,55fd8c81,Chris-Baird,nir NIR,"DF,MF",Southampton
