2015-2016,Spezia
Player,Nationality,Position,Game,Games Starts,Assists,Goals,Minutes,Minutes 90s,Yellow Card,Red Card,Link,Player_id,Player_name
﻿Leandro Chichizola,ar ARG,GK,42,42,0,0,"3,780",42.0,0,0,/en/players/8d957256/Leandro-Chichizola,8d957256,Leandro-Chichizo
Francesco Migliore,it ITA,DF,39,38,6,1,"3,448",38.3,5,0,/en/players/1a584cb2/Francesco-Migliore,1a584cb2,Francesco-Miglio
Claudio Terzi,it ITA,DF,37,37,0,1,"3,317",36.9,4,0,/en/players/5570e6fb/Claudio-Terzi,5570e6fb,Claudio-Terzi
Mario Šitum,hr CRO,"FW,MF",35,32,2,3,"2,842",31.6,4,0,/en/players/0638becf/Mario-Situm,0638becf,Mario-Situm
Emanuele Calaiò,it ITA,FW,37,29,5,9,"2,426",27.0,10,1,/en/players/e412488f/Emanuele-Calaio,412488f,Emanuele-Calaio
Sergio Postigo,es ESP,DF,28,27,0,1,"2,342",26.0,6,1,/en/players/474ecac8/Sergio-Postigo,474ecac8,Sergio-Postigo
Andrea Catellani,it ITA,FW,36,24,5,4,"2,093",23.3,8,0,/en/players/5650fb66/Andrea-Catellani,5650fb66,Andrea-Catellani
Nahuel Valentini,ar ARG,DF,27,22,0,0,"2,060",22.9,7,0,/en/players/70b187f2/Nahuel-Valentini,70b187f2,Nahuel-Valentini
Jon Errasti,es ESP,MF,24,21,0,2,"1,815",20.2,7,0,/en/players/4243631a/Jon-Errasti,4243631a,Jon-Errasti
Juande,es ESP,MF,21,20,0,0,"1,799",20.0,7,0,/en/players/4e8f9951/Juande,4e8f9951,Juand
Antonio Piccolo,it ITA,"FW,MF",19,19,0,2,"1,571",17.5,2,0,/en/players/1c6f38e1/Antonio-Piccolo,1c6f38e1,Antonio-Piccolo
Filippo De Col,it ITA,DF,19,18,0,0,"1,630",18.1,1,0,/en/players/9a0f2ad7/Filippo-De-Col,9a0f2ad7,Filippo-De-Co
Daniele Sciaudone,it ITA,MF,18,16,3,3,"1,404",15.6,7,0,/en/players/8c461a21/Daniele-Sciaudone,8c461a21,Daniele-Sciaudo
Nico Pulzetti,it ITA,MF,16,15,0,1,"1,239",13.8,2,1,/en/players/d3b19afe/Nico-Pulzetti,d3b19afe,Nico-Pulzetti
Nenê,br BRA,FW,28,14,2,11,"1,475",16.4,3,0,/en/players/fbd40d07/Nene,fbd40d07,N
Josip Brezovec,hr CRO,MF,17,14,3,2,"1,306",14.5,5,0,/en/players/93b0fa3c/Josip-Brezovec,93b0fa3c,Josip-Brezovec
Ivan Martić,hr CRO,"DF,MF",14,13,0,0,"1,188",13.2,2,0,/en/players/cd9eed3f/Ivan-Martic,cd9eed3f,Ivan-Martic
Dario Čanađija,hr CRO,MF,19,12,0,1,"1,111",12.3,7,0,/en/players/da933459/Dario-Canadjija,da933459,Dario-Canadjij
Gennaro Acampora,it ITA,MF,19,11,2,3,885,9.8,5,1,/en/players/01040647/Gennaro-Acampora,01040647,Gennaro-Acampo
Mato Miloš,hr CRO,DF,10,10,0,0,852,9.5,3,0,/en/players/9cf4a67f/Mato-Milos,9cf4a67f,Mato-Milo
Patrick Ciurria,it ITA,"FW,MF",18,7,1,1,764,8.5,3,0,/en/players/5de3866c/Patrick-Ciurria,5de3866c,Patrick-Ciurri
Zoran Kvržić,ba BIH,"DF,FW",18,6,1,0,606,6.7,0,0,/en/players/bcd1bea2/Zoran-Kvrzic,bcd1bea2,Zoran-Kvrzic
Josip Mišić,hr CRO,MF,8,4,0,0,432,4.8,4,1,/en/players/46152b69/Josip-Misic,46152b69,Josip-Misic
Felice Piccolo,it ITA,DF,5,4,0,0,361,4.0,1,0,/en/players/75de4ad7/Felice-Piccolo,75de4ad7,Felice-Piccolo
Luca Vignali,it ITA,DF,6,2,0,1,243,2.7,3,0,/en/players/c1e8e74e/Luca-Vignali,c1e8e74e,Luca-Vignali
Krisztián Tamás,hu HUN,DF,4,2,0,0,162,1.8,0,0,/en/players/88ea5683/Krisztian-Tamas,88ea5683,Krisztian-Tam
Miguel de las Cuevas,es ESP,MF,2,2,0,1,149,1.7,0,0,/en/players/2e1cf3d2/Miguel-de-las-Cuevas,2e1cf3d2,Miguel-de-las-Cuev
David Okereke,ng NGA,FW,3,1,0,0,63,0.7,0,0,/en/players/d125f22f/David-Okereke,d125f22f,David-Okerek
Karim Rossi,ch SUI,FW,12,0,0,0,173,1.9,1,0,/en/players/b37748c1/Karim-Rossi,b37748c1,Karim-Rossi
Paulo Azzi,br BRA,FW,1,0,0,0,14,0.2,0,0,/en/players/967ac202/Paulo-Azzi,967ac202,Paulo-Azzi
Marco Crocchianti,it ITA,DF,1,0,0,0,8,0.1,0,0,/en/players/b5ea9b05/Marco-Crocchianti,b5ea9b05,Marco-Crocchianti
Stefano Antezza,it ITA,MF,0,0,,,,,,,/en/players/888cf4ab/Stefano-Antezza,888cf4ab,Stefano-Antezz
Marijan Coric,ba BIH,GK,0,0,,,,,,,/en/players/c4925591/Marijan-Coric,c4925591,Marijan-Coric
Thomas Saloni,it ITA,GK,0,0,,,,,,,/en/players/747a1332/Thomas-Saloni,747a1332,Thomas-Saloni
Simon Sluga,hr CRO,GK,0,0,,,,,,,/en/players/5a5d394c/Simon-Sluga,5a5d394c,Simon-Slug
