2019-2020,St-Pauli
Player,Nationality,Position,Game,Games Starts,Assists,Goals,Minutes,Minutes 90s,Yellow Card,Red Card,Link,Player_id,Player_name
﻿Robin Himmelmann,de GER,GK,33,33,0,0,"2,970",33.0,0,0,/en/players/d766b4d0/Robin-Himmelmann,d766b4d0,Robin-Himmelm
Ryo Miyaichi,jp JPN,MF,29,28,6,1,"2,513",27.9,4,0,/en/players/c4acb36f/Ryo-Miyaichi,c4acb36f,Ryo-Miyaichi
Daniel Buballa,de GER,DF,27,27,0,0,"2,361",26.2,3,0,/en/players/c79bf0bf/Daniel-Buballa,c79bf0bf,Daniel-Bub
Leo Skiri Østigård,no NOR,DF,28,26,0,1,"2,347",26.1,8,0,/en/players/b35a7399/Leo-Skiri-Ostigard,b35a7399,Leo-Skiri-Ostigard
Waldemar Sobota,pl POL,MF,27,25,3,3,"2,119",23.5,5,0,/en/players/e8be9a62/Waldemar-Sobota,8be9a62,Waldemar-Sobot
Sebastian Ohlsson,se SWE,"DF,MF",24,24,1,0,"2,040",22.7,7,0,/en/players/4f4c6263/Sebastian-Ohlsson,4f4c6263,Sebastian-Ohlsso
Marvin Knoll,de GER,"MF,DF",24,21,2,0,"1,802",20.0,0,0,/en/players/0f3fd179/Marvin-Knoll,0f3fd179,Marvin-Kno
Finn Ole Becker,de GER,MF,28,19,0,1,"1,789",19.9,2,0,/en/players/dd2e62da/Finn-Ole-Becker,dd2e62da,Finn-Ole-Beck
Viktor Gyökeres,se SWE,"MF,FW",26,19,4,7,"1,676",18.6,2,0,/en/players/4d5a9185/Viktor-Gyokeres,4d5a9185,Viktor-Gyok
Dimitris Diamantakos,gr GRE,FW,21,18,2,11,"1,457",16.2,2,0,/en/players/bb10b819/Dimitris-Diamantakos,bb10b819,Dimitris-Diamantako
Henk Veerman,nl NED,FW,22,16,2,11,"1,450",16.1,1,0,/en/players/e1a1b481/Henk-Veerman,1a1b481,Henk-Veerm
Luca-Milan Zander,de GER,"DF,MF",17,16,1,0,"1,412",15.7,3,0,/en/players/a5d1aab2/Luca-Milan-Zander,5d1aab2,Luca-Milan-Zand
Mats Møller Dæhli,no NOR,MF,16,15,7,1,"1,313",14.6,2,0,/en/players/fcf5211e/Mats-Moller-Daehli,fcf5211e,Mats-Moller-Daehli
Matt Penney,eng ENG,"MF,DF",17,13,1,1,"1,053",11.7,4,1,/en/players/b74a0f79/Matt-Penney,b74a0f79,Matt-P
James Lawrence,wls WAL,DF,14,11,0,1,"1,005",11.2,1,0,/en/players/78af782c/James-Lawrence,78af782c,James-Lawrenc
Rico Benatelli,de GER,"MF,FW",15,10,0,0,986,11.0,2,0,/en/players/cc39bd02/Rico-Benatelli,cc39bd02,Rico-Benatelli
Johannes Flum,de GER,MF,16,6,0,0,653,7.3,4,0,/en/players/3cb3aa2a/Johannes-Flum,3cb3aa2a,Johannes-Flum
Christian Conteh,de GER,"MF,FW",7,5,1,2,441,4.9,0,0,/en/players/231b327e/Christian-Conteh,231b327e,Christian-Conteh
Jan-Philipp Kalla,de GER,DF,8,5,0,0,395,4.4,1,0,/en/players/2e09e189/Jan-Philipp-Kalla,2e09e189,Jan-Philipp-K
Luis Coordes,do DOM,MF,11,4,0,0,418,4.6,1,0,/en/players/e0258ec8/Luis-Coordes,0258ec8,Luis-Coord
Christopher Buchtmann,de GER,MF,12,4,0,0,334,3.7,0,0,/en/players/9cd10dea/Christopher-Buchtmann,9cd10dea,Christopher-Buchtm
Christian Viet,de GER,MF,4,4,0,0,246,2.7,0,0,/en/players/64cba37c/Christian-Viet,64cba37c,Christian-Viet
Philipp Ziereis,de GER,DF,6,3,0,0,351,3.9,3,1,/en/players/c402fb6a/Philipp-Ziereis,c402fb6a,Philipp-Zierei
Niklas Hoffmann,de GER,MF,5,3,0,0,322,3.6,1,0,/en/players/6285943c/Niklas-Hoffmann,6285943c,Niklas-Hoffm
Florian Carstens,de GER,DF,4,3,0,0,271,3.0,2,0,/en/players/ac551128/Florian-Carstens,c551128,Florian-Carst
Marvin Senger,de GER,DF,3,3,0,0,253,2.8,1,0,/en/players/2b34d862/Marvin-Senger,2b34d862,Marvin-Seng
Borys Tashchy,ua UKR,FW,19,2,1,0,420,4.7,1,0,/en/players/2f3de947/Borys-Tashchy,2f3de947,Borys-Tashch
Christopher Avevor,de GER,DF,4,2,0,0,144,1.6,0,0,/en/players/9fc140dd/Christopher-Avevor,9fc140dd,Christopher-Avevo
Kevin Lankford,de GER,MF,7,1,1,0,229,2.5,0,0,/en/players/12ecb14e/Kevin-Lankford,12ecb14e,Kevin-Lankford
Maximilian Franzke,de GER,FW,5,1,1,0,189,2.1,0,0,/en/players/2e3e03e1/Maximilian-Franzke,2e3e03e1,Maximilian-Franzk
Marc Hornschuh,de GER,MF,2,1,0,0,133,1.5,0,0,/en/players/16839b27/Marc-Hornschuh,16839b27,Marc-Hornschuh
Mert Kuyucu,de GER,MF,2,1,0,0,121,1.3,1,0,/en/players/30b14ce8/Mert-Kuyucu,30b14ce8,Mert-Kuyucu
Youba Diarra,ml MLI,MF,3,1,0,0,114,1.3,3,1,/en/players/d61759ec/Youba-Diarra,d61759ec,Youba-Di
Korbinian Müller,de GER,GK,1,1,0,0,90,1.0,0,0,/en/players/9b8b7dd8/Korbinian-Muller,9b8b7dd8,Korbinian-Mu
Park Yi-young,kr KOR,DF,1,1,0,0,90,1.0,0,0,/en/players/cecd59a3/Park-Yi-young,cecd59a3,Park-Yi-young
Jakub Bednarczyk,pl POL,MF,1,1,0,0,67,0.7,0,0,/en/players/b352cfa6/Jakub-Bednarczyk,b352cfa6,Jakub-Bednarczyk
Ersin Zehir,de GER,MF,2,1,0,0,56,0.6,0,0,/en/players/b9c7c1b1/Ersin-Zehir,b9c7c1b1,Ersin-Zehi
