2007-2008,St-Pauli
Player,Nationality,Position,Game,Games Starts,Assists,Goals,Minutes,Minutes 90s,Yellow Card,Red Card,Link,Player_id,Player_name
﻿Fabio Morena,de GER,DF,31,31,0,1,"2,781",30.9,3,0,/en/players/52f6f012/Fabio-Morena,52f6f012,Fabio-Mo
Carsten Rothenbach,de GER,DF,30,30,2,3,"2,673",29.7,3,0,/en/players/5a6548c8/Carsten-Rothenbach,5a6548c8,Carsten-Rothenbach
Fabian Boll,de GER,MF,30,30,3,2,"2,569",28.5,7,1,/en/players/957e1b8d/Fabian-Boll,957e1b8d,Fabian-Bo
Marcel Eger,de GER,DF,28,28,0,4,"2,339",26.0,9,0,/en/players/5a3ba1cf/Marcel-Eger,5a3ba1cf,Marcel-Eg
Charles Takyi,gh GHA,MF,29,27,5,5,"2,320",25.8,3,1,/en/players/1a5adb2a/Charles-Takyi,1a5adb2a,Charles-Takyi
Patrik Borger,de GER,GK,26,26,0,0,"2,340",26.0,0,0,/en/players/b2bf19bd/Patrik-Borger,b2bf19bd,Patrik-Borg
Ralph Gunesch,de GER,DF,25,25,1,1,"2,250",25.0,1,0,/en/players/d990bdc8/Ralph-Gunesch,d990bdc8,Ralph-Gunesch
Timo Schultz,de GER,MF,28,25,1,2,"2,069",23.0,9,0,/en/players/8ff07147/Timo-Schultz,8ff07147,Timo-Schultz
Filip Trojan,cz CZE,MF,26,23,3,5,"1,859",20.7,5,0,/en/players/68e791bb/Filip-Trojan,68e791bb,Filip-Troj
Thomas Meggle,de GER,MF,19,19,0,3,"1,636",18.2,5,1,/en/players/153c425d/Thomas-Meggle,153c425d,Thomas-Megg
Alexander Ludwig,de GER,MF,25,19,8,2,"1,633",18.1,5,1,/en/players/bcf7957e/Alexander-Ludwig,bcf7957e,Alexander-Ludwig
Marvin Braun,de GER,FW,30,18,1,4,"1,736",19.3,2,0,/en/players/bd347edf/Marvin-Braun,bd347edf,Marvin-Brau
René Schnitzler,de GER,FW,21,16,0,6,"1,302",14.5,3,0,/en/players/620acf13/Rene-Schnitzler,620acf13,Rene-Schnitz
Ahmet Kuru,de GER,FW,20,9,0,3,845,9.4,0,0,/en/players/78556bac/Ahmet-Kuru,78556bac,Ahmet-Kuru
Florian Bruns,de GER,MF,28,8,2,2,969,10.8,3,0,/en/players/df41ad24/Florian-Bruns,df41ad24,Florian-Bru
Benedikt Pliquett,de GER,GK,8,8,0,0,720,8.0,0,0,/en/players/7c03c398/Benedikt-Pliquett,7c03c398,Benedikt-Pliquett
Ian Joy,us USA,DF,9,7,0,1,726,8.1,4,0,/en/players/886f63ba/Ian-Joy,886f63ba,Ian-Jo
Andreas Biermann,de GER,DF,8,7,0,0,663,7.4,0,0,/en/players/b6ab0944/Andreas-Biermann,b6ab0944,Andreas-Bierm
Björn Brunnemann,de GER,MF,17,7,0,1,635,7.1,3,1,/en/players/5cd602ae/Bjorn-Brunnemann,5cd602ae,Bjorn-Brunnem
Tim Petersen,de GER,DF,4,4,0,0,360,4.0,0,0,/en/players/2b136293/Tim-Petersen,2b136293,Tim-Pet
Morike Sako,fr FRA,"FW,MF",22,3,1,1,684,7.6,4,0,/en/players/7b0df3cc/Morike-Sako,7b0df3cc,Morike-Sako
Jonathan Beaulieu-Bourgault,ca CAN,MF,4,2,0,0,183,2.0,0,0,/en/players/ac4a7dbd/Jonathan-Beaulieu-Bourgault,c4a7dbd,Jonathan-Beaulieu-Bourgault
Jan-Philipp Kalla,de GER,DF,1,1,0,0,90,1.0,0,0,/en/players/2e09e189/Jan-Philipp-Kalla,2e09e189,Jan-Philipp-K
