2019-2020,Stoke-City
Player,Nationality,Position,Game,Games Starts,Assists,Goals,Minutes,Minutes 90s,Yellow Card,Red Card,Link,Player_id,Player_name
﻿Sam Clucas,eng ENG,MF,44,44,4,11,"3,900",43.3,6,0,/en/players/987718f5/Sam-Clucas,987718f5,Sam-Cluc
Danny Batth,eng ENG,DF,43,40,1,4,"3,775",41.9,3,0,/en/players/f1d0fa63/Danny-Batth,f1d0fa63,Danny-Batth
Jack Butland,eng ENG,GK,35,35,0,0,"3,150",35.0,0,0,/en/players/cc70a1d5/Jack-Butland,cc70a1d5,Jack-Butland
Joe Allen,wls WAL,MF,35,34,2,4,"2,938",32.6,5,1,/en/players/9feb8f24/Joe-Allen,9feb8f24,Joe-A
James McClean,ie IRL,"MF,DF",36,33,7,7,"2,985",33.2,10,0,/en/players/53538b39/James-McClean,53538b39,James-McC
Bruno Martins Indi,nl NED,DF,33,31,2,0,"2,793",31.0,2,0,/en/players/7bc34048/Bruno-Martins-Indi,7bc34048,Bruno-Martins-Indi
Tom Ince,eng ENG,"MF,FW",38,31,2,3,"2,703",30.0,1,0,/en/players/67d23ab0/Tom-Ince,67d23ab0,Tom-Inc
Tommy Smith,eng ENG,DF,30,27,4,0,"2,513",27.9,5,0,/en/players/e9208654/Tommy-Smith,9208654,Tommy-Smith
Lee Gregory,eng ENG,FW,40,22,3,6,"2,078",23.1,1,0,/en/players/398a2f3d/Lee-Gregory,398a2f3d,Lee-Grego
Nick Powell,eng ENG,"MF,FW",29,22,5,5,"1,876",20.8,4,1,/en/players/05ca4fcb/Nick-Powell,05ca4fcb,Nick-Pow
Sam Vokes,wls WAL,FW,36,18,2,5,"1,706",19.0,0,0,/en/players/1d6ac165/Sam-Vokes,1d6ac165,Sam-Vok
Tyrese Campbell,eng ENG,"FW,MF",33,18,2,9,"1,618",18.0,2,0,/en/players/38aefb74/Tyrese-Campbell,38aefb74,Tyrese-Campb
Liam Lindsay,sct SCO,DF,20,17,0,1,"1,550",17.2,5,0,/en/players/30d47f6f/Liam-Lindsay,30d47f6f,Liam-Lind
Jordan Cousins,eng ENG,MF,20,15,0,0,"1,435",15.9,3,0,/en/players/d4b0eb12/Jordan-Cousins,d4b0eb12,Jordan-Cousi
Stephen Ward,ie IRL,DF,15,15,0,0,"1,219",13.5,3,0,/en/players/3831b9fe/Stephen-Ward,3831b9fe,Stephen-Ward
James Chester,wls WAL,DF,16,13,1,0,"1,237",13.7,0,0,/en/players/a772eba6/James-Chester,772eba6,James-Chest
Tom Edwards,eng ENG,DF,13,13,1,0,"1,125",12.5,0,0,/en/players/1b780599/Tom-Edwards,1b780599,Tom-Edward
Cameron Carter-Vickers,us USA,DF,12,12,0,0,998,11.1,1,0,/en/players/88ced02c/Cameron-Carter-Vickers,88ced02c,Cameron-Carter-Vick
Badou Ndiaye,sn SEN,MF,13,10,0,0,880,9.8,3,0,/en/players/960acc0a/Badou-Ndiaye,960acc0a,Badou-Ndi
Oghenekaro Etebo,ng NGA,MF,11,8,0,0,715,7.9,1,0,/en/players/b579e83d/Oghenekaro-Etebo,b579e83d,Oghenekaro-Etebo
Jordan Thompson,nir NIR,MF,15,8,1,0,620,6.9,2,0,/en/players/6bf53300/Jordan-Thompson,6bf53300,Jordan-Thompso
Ryan Woods,eng ENG,MF,8,8,1,0,593,6.6,2,0,/en/players/ebf5f33d/Ryan-Woods,bf5f33d,Ryan-Wood
Adam Federici,au AUS,GK,7,7,0,0,630,7.0,0,0,/en/players/e5ea8be7/Adam-Federici,5ea8be7,Adam-Federici
Nathan Collins,ie IRL,DF,14,6,0,0,535,5.9,2,0,/en/players/a8c19eb8/Nathan-Collins,8c19eb8,Nathan-Colli
Ryan Shawcross,eng ENG,DF,5,5,0,0,310,3.4,1,0,/en/players/285a3d44/Ryan-Shawcross,285a3d44,Ryan-Shawcro
Scott Hogan,ie IRL,FW,13,4,0,3,431,4.8,0,0,/en/players/cdda4027/Scott-Hogan,cdda4027,Scott-Hog
Adam Davies,wls WAL,GK,4,4,0,0,360,4.0,0,0,/en/players/71894777/Adam-Davies,71894777,Adam-Davi
Lasse Sørensen,dk DEN,MF,6,2,0,0,183,2.0,0,0,/en/players/ce9c203e/Lasse-Sorensen,ce9c203e,Lasse-So
Mark Duffy,eng ENG,"MF,FW",6,1,0,0,170,1.9,0,0,/en/players/d86ccbc9/Mark-Duffy,d86ccbc9,Mark-Duff
Tashan Oakley-Boothe,eng ENG,MF,2,1,1,0,115,1.3,0,0,/en/players/d73892ac/Tashan-Oakley-Boothe,d73892ac,Tashan-Oakley-Booth
Josh Tymon,eng ENG,DF,2,1,0,0,85,0.9,1,0,/en/players/efe6f6ac/Josh-Tymon,fe6f6ac,Josh-Tymo
Benik Afobe,cd COD,FW,1,1,0,0,70,0.8,0,0,/en/players/b63f4077/Benik-Afobe,b63f4077,Benik-Afob
Mame Biram Diouf,sn SEN,"FW,MF",8,0,0,1,93,1.0,0,0,/en/players/7f4f3e49/Mame-Biram-Diouf,7f4f3e49,Mame-Biram-Diouf
Thibaud Verlinden,be BEL,"MF,FW",5,0,0,0,58,0.6,0,0,/en/players/e5c026d6/Thibaud-Verlinden,5c026d6,Thibaud-Verlind
Julien Ngoy,be BEL,FW,1,0,0,0,12,0.1,0,0,/en/players/87449a74/Julien-Ngoy,87449a74,Julien-Ngo
Blondy Noukeu,cm CMR,GK,0,0,,,,,,,/en/players/9b526c28/Blondy-Noukeu,9b526c28,Blondy-Noukeu
Adam Porter,eng ENG,MF,0,0,,,,,,,/en/players/797657b3/Adam-Porter,797657b3,Adam-Port
