Unnamed: 0,Player,Link,Player_id,Player_name,Nationality,Position,club
0,﻿Syarhey Shtanyuk,/en/players/667c893c/Syarhey-Shtanyuk,667c893c,Syarhey-Shtanyuk,by BLR,DF,Stoke-City
1,Peter Handyside,/en/players/b213aadf/Peter-Handyside,b213aadf,Peter-Handysid,sct SCO,DF,Stoke-City
2,James O'Connor,/en/players/a7247357/James-OConnor,7247357,James-OConno,ie IRL,MF,Stoke-City
3,Wayne Thomas,/en/players/29144dc2/Wayne-Thomas,29144dc2,Wayne-Thom,eng ENG,"DF,MF",Stoke-City
4,Brynjar Gunnarsson,/en/players/511aa791/Brynjar-Gunnarsson,511aa791,Brynjar-Gunnarsso,is ISL,MF,Stoke-City
5,Mark Williams,/en/players/d9c9b095/Mark-Williams,d9c9b095,Mark-William,nir NIR,DF,Stoke-City
6,Clive Clarke,/en/players/e278af17/Clive-Clarke,278af17,Clive-Clark,ie IRL,DF,Stoke-City
7,Peter Hoekstra,/en/players/9b9e1b54/Peter-Hoekstra,9b9e1b54,Peter-Hoekst,nl NED,"FW,MF",Stoke-City
8,Bjarni Guðjónsson,/en/players/c94970e6/Bjarni-Gudjonsson,c94970e6,Bjarni-Gudjonsso,is ISL,MF,Stoke-City
9,Andy Cooke,/en/players/d3966d6f/Andy-Cooke,d3966d6f,Andy-Cook,eng ENG,FW,Stoke-City
10,Marcus Hall,/en/players/10a2c499/Marcus-Hall,10a2c499,Marcus-H,eng ENG,DF,Stoke-City
11,Steve Banks,/en/players/3972a1f2/Steve-Banks,3972a1f2,Steve-Bank,eng ENG,GK,Stoke-City
12,Neil Cutler,/en/players/6fa6cee3/Neil-Cutler,6fa6cee3,Neil-Cut,eng ENG,GK,Stoke-City
13,Chris Greenacre,/en/players/0f00594b/Chris-Greenacre,0f00594b,Chris-Greenac,eng ENG,FW,Stoke-City
14,Lee Mills,/en/players/7cf78e41/Lee-Mills,7cf78e41,Lee-Mi,eng ENG,FW,Stoke-City
15,Chris Iwelumo,/en/players/628dd7b5/Chris-Iwelumo,628dd7b5,Chris-Iwelumo,sct SCO,FW,Stoke-City
