2007-2008,Stuttgart
Player,Nationality,Position,Game,Games Starts,Assists,Goals,Minutes,Minutes 90s,Yellow Card,Red Card,Link,Player_id,Player_name
﻿Roberto Hilbert,de GER,"DF,MF",32,30,5,4,"2,534",28.2,7,0,/en/players/a8d2b7ca/Roberto-Hilbert,8d2b7ca,Roberto-Hilbert
Pável Pardo,mx MEX,MF,29,29,3,2,"2,481",27.6,5,2,/en/players/fb73d276/Pavel-Pardo,fb73d276,Pavel-Pardo
Fernando Meira,pt POR,"DF,MF",28,27,1,3,"2,294",25.5,3,2,/en/players/415bd344/Fernando-Meira,415bd344,Fernando-Mei
Yıldıray Baştürk,tr TUR,MF,26,24,2,4,"2,090",23.2,2,0,/en/players/5d31c998/Yildiray-Basturk,5d31c998,Yildiray-Basturk
Cacau,de GER,FW,27,24,5,9,"2,057",22.9,6,0,/en/players/5d006974/Cacau,5d006974,Cacau
Raphael Schäfer,de GER,GK,23,23,0,0,"2,070",23.0,2,0,/en/players/ceb3ae23/Raphael-Schafer,ceb3ae23,Raphael-Schaf
Thomas Hitzlsperger,de GER,MF,25,23,1,5,"1,981",22.0,3,0,/en/players/2757060a/Thomas-Hitzlsperger,2757060a,Thomas-Hitzlsperg
Mario Gómez,de GER,FW,25,23,3,19,"1,959",21.8,1,0,/en/players/71a20ce8/Mario-Gomez,71a20ce8,Mario-Gomez
Matthieu Delpierre,fr FRA,DF,22,22,0,0,"1,958",21.8,5,1,/en/players/40019289/Matthieu-Delpierre,40019289,Matthieu-Delpi
Ludovic Magnin,ch SUI,DF,27,21,1,0,"1,913",21.3,4,0,/en/players/7841d47b/Ludovic-Magnin,7841d47b,Ludovic-Magni
Ricardo Osorio,mx MEX,DF,22,20,1,0,"1,742",19.4,1,1,/en/players/72d95034/Ricardo-Osorio,72d95034,Ricardo-Osorio
Serdar Tasci,de GER,DF,21,20,0,1,"1,679",18.7,5,0,/en/players/7f5ca4f8/Serdar-Tasci,7f5ca4f8,Serdar-Tasci
Sami Khedira,de GER,MF,24,19,1,1,"1,724",19.2,4,0,/en/players/38ac43d3/Sami-Khedira,38ac43d3,Sami-Khedi
Ciprian Marica,ro ROU,FW,28,15,2,2,"1,467",16.3,4,0,/en/players/3953ae4a/Ciprian-Marica,3953ae4a,Ciprian-Maric
Andreas Beck,de GER,"DF,MF",18,12,1,1,"1,073",11.9,2,0,/en/players/00a6485f/Andreas-Beck,00a6485f,Andreas-Beck
Arthur Boka,ci CIV,DF,17,11,0,0,"1,045",11.6,3,0,/en/players/3abb0642/Arthur-Boka,3abb0642,Arthur-Bok
Sven Ulreich,de GER,GK,11,11,0,0,990,11.0,0,0,/en/players/7d3e7da6/Sven-Ulreich,7d3e7da6,Sven-Ulreich
Antônio da Silva,br BRA,MF,20,10,2,3,"1,004",11.2,2,0,/en/players/e87b31ae/Antonio-da-Silva,87b31ae,Antonio-da-Silv
Alexander Farnerud,se SWE,MF,11,3,1,0,408,4.5,2,0,/en/players/93b21179/Alexander-Farnerud,93b21179,Alexander-Farnerud
Ewerthon,br BRA,FW,11,3,0,1,381,4.2,1,0,/en/players/00e15acb/Ewerthon,00e15acb,Ewertho
Marco Pischorn,de GER,DF,4,1,0,0,117,1.3,0,0,/en/players/b59b3e1d/Marco-Pischorn,b59b3e1d,Marco-Pischo
David Pisot,de GER,DF,1,1,0,0,90,1.0,0,0,/en/players/81a9d0bc/David-Pisot,81a9d0bc,David-Pisot
Sergiu Radu,ro ROU,FW,2,1,0,0,84,0.9,0,0,/en/players/9d535200/Sergiu-Radu,9d535200,Sergiu-Radu
Christian Träsch,de GER,"DF,MF",1,1,0,0,58,0.6,0,0,/en/players/21aa2700/Christian-Trasch,21aa2700,Christian-Trasch
Silvio Meißner,de GER,MF,8,0,0,0,112,1.2,1,0,/en/players/8fda9d61/Silvio-Meissner,8fda9d61,Silvio-Mei
Julian Schuster,de GER,MF,2,0,0,0,49,0.5,0,0,/en/players/d0421d25/Julian-Schuster,d0421d25,Julian-Schust
Peter Perchtold,de GER,MF,2,0,0,0,40,0.4,1,0,/en/players/8d458388/Peter-Perchtold,8d458388,Peter-Perchtold
Manuel Fischer,de GER,FW,2,0,0,1,30,0.3,0,0,/en/players/897aa057/Manuel-Fischer,897aa057,Manuel-Fisch
