2004-2005,Sunderland
Player,Nationality,Position,Game,Games Starts,Assists,Goals,Minutes,Minutes 90s,Yellow Card,Red Card,Link,Player_id,Player_name
﻿Steven Caldwell,sct SCO,DF,41,41,0,4,"3,576",39.7,4,1,/en/players/6839f68e/Steven-Caldwell,6839f68e,Steven-Caldw
Carl Robinson,wls WAL,MF,40,40,3,4,"3,518",39.1,9,0,/en/players/9e083748/Carl-Robinson,9e083748,Carl-Robinso
Gary Breen,ie IRL,DF,40,40,0,2,"3,476",38.6,5,1,/en/players/9922c8b8/Gary-Breen,9922c8b8,Gary-B
Marcus Stewart,eng ENG,FW,43,40,2,16,"3,144",34.9,2,0,/en/players/80463957/Marcus-Stewart,80463957,Marcus-Stewart
Stephen Wright,eng ENG,DF,39,39,3,1,"3,462",38.5,10,0,/en/players/4722b94a/Stephen-Wright,4722b94a,Stephen-Wright
Dean Whitehead,eng ENG,"DF,MF",42,39,6,5,"3,447",38.3,5,0,/en/players/a32204c9/Dean-Whitehead,32204c9,Dean-Whitehead
Julio Arca,ar ARG,"DF,MF",40,39,7,9,"3,350",37.2,8,0,/en/players/7ac25aa9/Julio-Arca,7ac25aa9,Julio-Arc
George McCartney,nir NIR,DF,36,35,5,0,"3,198",35.5,4,0,/en/players/f6c4946d/George-McCartney,f6c4946d,George-McCart
Jeff Whitley,nir NIR,MF,35,32,0,0,"2,563",28.5,9,0,/en/players/4e93bfac/Jeff-Whitley,4e93bfac,Jeff-Whit
Thomas Myhre,no NOR,GK,31,31,0,0,"2,745",30.5,0,0,/en/players/dc3fc546/Thomas-Myhre,dc3fc546,Thomas-Myh
Stephen Elliott,ie IRL,FW,42,29,5,15,"2,605",28.9,1,0,/en/players/605d320e/Stephen-Elliott,605d320e,Stephen-Elliott
Liam Lawrence,ie IRL,MF,32,20,8,7,"1,926",21.4,3,0,/en/players/60727f47/Liam-Lawrence,60727f47,Liam-Lawrenc
Chris Brown,eng ENG,FW,37,13,3,5,"1,569",17.4,4,0,/en/players/baf27774/Chris-Brown,baf27774,Chris-Brow
Mart Poom,ee EST,GK,11,11,0,0,990,11.0,0,0,/en/players/f60f19b7/Mart-Poom,f60f19b7,Mart-Poom
Neill Collins,sct SCO,DF,11,8,0,0,777,8.6,0,0,/en/players/91ff7e1e/Neill-Collins,91ff7e1e,Neill-Colli
Darren Carter,eng ENG,"DF,MF",10,8,0,1,715,7.9,1,0,/en/players/52fefc5b/Darren-Carter,52fefc5b,Darren-Cart
Danny Collins,wls WAL,DF,14,6,0,0,639,7.1,0,0,/en/players/b89cd819/Danny-Collins,b89cd819,Danny-Colli
Michael Bridges,eng ENG,"FW,MF",19,5,2,1,652,7.2,0,0,/en/players/a57b3014/Michael-Bridges,57b3014,Michael-Bridg
Kevin Kyle,sct SCO,FW,6,5,0,0,486,5.4,2,0,/en/players/b98c1020/Kevin-Kyle,b98c1020,Kevin-K
Mark Lynch,eng ENG,DF,11,5,0,0,445,4.9,0,0,/en/players/9978e52c/Mark-Lynch,9978e52c,Mark-Lynch
Sean Thornton,ie IRL,MF,16,3,2,4,595,6.6,5,0,/en/players/ea7bd692/Sean-Thornton,7bd692,Sean-Thornto
Andy Welsh,eng ENG,"DF,MF",7,3,1,1,289,3.2,0,0,/en/players/4c24dc67/Andy-Welsh,4c24dc67,Andy-Welsh
Ben Alnwick,eng ENG,GK,3,3,0,0,270,3.0,1,0,/en/players/55b11e73/Ben-Alnwick,55b11e73,Ben-Alnwick
Michael Ingham,nir NIR,GK,2,1,0,0,135,1.5,0,0,/en/players/6d90fc9c/Michael-Ingham,6d90fc9c,Michael-Ingham
Ben Clark,eng ENG,DF,2,1,0,0,88,1.0,0,0,/en/players/3cd1c96c/Ben-Clark,3cd1c96c,Ben-Clark
Matt Piper,eng ENG,MF,2,1,0,0,77,0.9,0,0,/en/players/86973a1d/Matt-Piper,86973a1d,Matt-Pi
