2019-2020,Swansea-City
Player,Nationality,Position,Game,Games Starts,Assists,Goals,Minutes,Minutes 90s,Yellow Card,Red Card,Link,Player_id,Player_name
﻿Matt Grimes,eng ENG,MF,46,46,7,0,"4,140",46.0,6,0,/en/players/81a487b9/Matt-Grimes,81a487b9,Matt-Grim
André Ayew,gh GHA,"MF,FW",44,43,7,15,"3,905",43.4,3,0,/en/players/5dbefa9d/Andre-Ayew,5dbefa9d,Andre-Ayew
Freddie Woodman,eng ENG,GK,43,43,0,0,"3,869",43.0,1,0,/en/players/19e50035/Freddie-Woodman,19e50035,Freddie-Woodm
Jake Bidwell,eng ENG,DF,37,36,3,0,"3,260",36.2,3,1,/en/players/676b6c9b/Jake-Bidwell,676b6c9b,Jake-Bidw
Connor Roberts,wls WAL,DF,38,32,4,1,"2,932",32.6,2,0,/en/players/24fae784/Connor-Roberts,24fae784,Connor-Robert
Jay Fulton,sct SCO,MF,36,29,2,3,"2,442",27.1,10,0,/en/players/434ad289/Jay-Fulton,434ad289,Jay-Fulto
Kyle Naughton,eng ENG,DF,32,28,0,3,"2,487",27.6,5,1,/en/players/e860c42f/Kyle-Naughton,860c42f,Kyle-Naughto
Bersant Celina,xk KVX,"MF,FW",35,28,2,2,"2,470",27.4,2,0,/en/players/3043d33f/Bersant-Celina,3043d33f,Bersant-Celi
Mike van der Hoorn,nl NED,DF,28,27,1,1,"2,288",25.4,3,0,/en/players/25f50295/Mike-van-der-Hoorn,25f50295,Mike-van-der-Hoo
George Byers,sct SCO,MF,35,22,0,2,"2,086",23.2,7,0,/en/players/f4c20cb3/George-Byers,f4c20cb3,George-B
Joe Rodon,wls WAL,DF,21,20,1,0,"1,793",19.9,2,0,/en/players/8d62d31a/Joe-Rodon,8d62d31a,Joe-Rodo
Benjamin Cabango,wls WAL,DF,21,19,0,1,"1,769",19.7,2,0,/en/players/70723cac/Benjamin-Cabango,70723cac,Benjamin-Cabango
Rhian Brewster,eng ENG,FW,20,19,0,10,"1,664",18.5,6,0,/en/players/30e81a88/Rhian-Brewster,30e81a88,Rhian-Brewst
Conor Gallagher,eng ENG,MF,19,19,6,0,"1,664",18.5,3,0,/en/players/c2731c10/Conor-Gallagher,c2731c10,Conor-Gallagh
Ben Wilmot,eng ENG,DF,21,16,0,2,"1,491",16.6,3,0,/en/players/2876eaa3/Ben-Wilmot,2876eaa3,Ben-Wilmot
Borja Bastón,es ESP,FW,20,15,0,6,"1,262",14.0,3,0,/en/players/8c44e37b/Borja-Baston,8c44e37b,Borja-Basto
Marc Guéhi,eng ENG,DF,12,11,0,0,997,11.1,1,0,/en/players/d0706b27/Marc-Guehi,d0706b27,Marc-Guehi
Wayne Routledge,eng ENG,"MF,FW",21,10,3,4,955,10.6,1,0,/en/players/1d387eee/Wayne-Routledge,1d387eee,Wayne-Routledg
Yan Dhanda,eng ENG,MF,16,9,0,3,791,8.8,2,0,/en/players/e2eb632a/Yan-Dhanda,2eb632a,Yan-Dhand
Sam Surridge,eng ENG,"FW,MF",20,7,0,4,783,8.7,0,0,/en/players/b017b770/Sam-Surridge,b017b770,Sam-Surridg
Nathan Dyer,eng ENG,MF,10,7,1,1,543,6.0,0,0,/en/players/6dfd5af0/Nathan-Dyer,6dfd5af0,Nathan-D
Aldo Kalulu,fr FRA,MF,11,7,1,0,465,5.2,2,0,/en/players/d75098c2/Aldo-Kalulu,d75098c2,Aldo-Kalulu
Tom Carroll,eng ENG,MF,8,5,0,0,390,4.3,3,1,/en/players/5a1900a4/Tom-Carroll,5a1900a4,Tom-Carro
Kristoffer Peterson,se SWE,MF,7,4,0,0,355,3.9,0,0,/en/players/d2b135e1/Kristoffer-Peterson,d2b135e1,Kristoffer-Peterso
Erwin Mulder,nl NED,GK,4,3,0,0,271,3.0,0,0,/en/players/b3576b7c/Erwin-Mulder,b3576b7c,Erwin-Muld
Jordan Garrick,eng ENG,MF,11,1,0,2,279,3.1,1,1,/en/players/eacc267b/Jordan-Garrick,cc267b,Jordan-Garrick
Barrie McKay,sct SCO,MF,4,0,2,0,77,0.9,0,0,/en/players/68d4ebfe/Barrie-McKay,68d4ebfe,Barrie-McK
Liam Cullen,wls WAL,"FW,DF",6,0,0,1,41,0.5,0,0,/en/players/20b8cd02/Liam-Cullen,20b8cd02,Liam-Cu
Declan John,wls WAL,MF,1,0,0,0,19,0.2,0,0,/en/players/8e42ea27/Declan-John,8e42ea27,Declan-Joh
Courtney Baker-Richardson,eng ENG,FW,0,0,,,,,,,/en/players/3e2edcd1/Courtney-Baker-Richardson,3e2edcd1,Courtney-Baker-Richardso
Brandon Cooper,wls WAL,DF,0,0,,,,,,,/en/players/71e7f875/Brandon-Cooper,71e7f875,Brandon-Coo
Joshua Gould,eng ENG,GK,0,0,,,,,,,/en/players/1199357b/Joshua-Gould,1199357b,Joshua-Gould
Kristoffer Nordfeldt,se SWE,GK,0,0,,,,,,,/en/players/78549904/Kristoffer-Nordfeldt,78549904,Kristoffer-Nordfeldt
Tivonge Rushesha,wls WAL,DF,0,0,,,,,,,/en/players/6be423e1/Tivonge-Rushesha,6be423e1,Tivonge-Rushesh
