Unnamed: 0,Player,Link,Player_id,Player_name,Nationality,Position,club
0,﻿Michael Howard,/en/players/eefff169/Michael-Howard,fff169,Michael-Howard,eng ENG,DF,Swansea-City
1,James Thomas,/en/players/732fb4aa/James-Thomas,732fb4aa,James-Thom,wls WAL,FW,Swansea-City
2,Roger Freestone,/en/players/d8d198e4/Roger-Freestone,d8d198e4,Roger-Freesto,wls WAL,GK,Swansea-City
3,Kristian O'Leary,/en/players/e2c3ec0b/Kristian-OLeary,2c3ec0b,Kristian-OL,wls WAL,MF,Swansea-City
4,Alan Tate,/en/players/d25626aa/Alan-Tate,d25626aa,Alan-Tat,eng ENG,DF,Swansea-City
5,Jason Smith,/en/players/c5893726/Jason-Smith,c5893726,Jason-Smith,eng ENG,DF,Swansea-City
6,Lee Jenkins,/en/players/1c8e3c37/Lee-Jenkins,1c8e3c37,Lee-Jenki,wls WAL,"DF,MF",Swansea-City
7,Terry Evans,/en/players/fe8e89aa/Terry-Evans,fe8e89aa,Terry-Ev,wls WAL,DF,Swansea-City
8,Leon Britton,/en/players/b92dd711/Leon-Britton,b92dd711,Leon-Britto,eng ENG,MF,Swansea-City
9,Steve Watkin,/en/players/7398c54c/Steve-Watkin,7398c54c,Steve-Watki,wls WAL,FW,Swansea-City
10,John Williams,/en/players/1fb6cf8f/John-Williams,1fb6cf8f,John-William,eng ENG,FW,Swansea-City
12,Roberto Martínez,/en/players/266f4395/Roberto-Martinez,266f4395,Roberto-Martinez,es ESP,MF,Swansea-City
13,Paul Reid,/en/players/25ee1a22/Paul-Reid,25ee1a22,Paul-Reid,eng ENG,MF,Swansea-City
14,Andrew Mumford,/en/players/38d5d5ab/Andrew-Mumford,38d5d5ab,Andrew-Mumford,wls WAL,MF,Swansea-City
15,Lenny Johnrose,/en/players/e852f574/Lenny-Johnrose,852f574,Lenny-Johnro,eng ENG,MF,Swansea-City
