2007-2008,Tenerife
Player,Nationality,Position,Game,Games Starts,Assists,Goals,Minutes,Minutes 90s,Yellow Card,Red Card,Link,Player_id,Player_name
﻿Nino,es ESP,"FW,MF",40,40,4,18,"3,534",39.3,6,0,/en/players/03dc5b1f/Nino,03dc5b1f,Nino
Ayoze García,es ESP,"DF,MF",37,34,5,6,"2,739",30.4,7,0,/en/players/e94dfdc6/Ayoze-Garcia,94dfdc6,Ayoze-Garci
Marc Bertrán,es ESP,DF,33,33,1,1,"2,885",32.1,9,1,/en/players/89a12cef/Marc-Bertran,89a12cef,Marc-Bert
José Antonio Culebras,es ESP,DF,33,31,1,2,"2,837",31.5,10,0,/en/players/c8b270a2/Jose-Antonio-Culebras,c8b270a2,Jose-Antonio-Culeb
Pablo Sicilia,es ESP,DF,32,31,0,2,"2,714",30.2,10,0,/en/players/56bdf1b5/Pablo-Sicilia,56bdf1b5,Pablo-Sicili
Rafael Clavero,es ESP,DF,30,30,0,0,"2,512",27.9,7,0,/en/players/1590d66a/Rafael-Clavero,1590d66a,Rafael-Clavero
Juan Pablo Colinas,es ESP,GK,29,29,0,0,"2,562",28.5,0,1,/en/players/b2cab8f4/Juan-Pablo-Colinas,b2cab8f4,Juan-Pablo-Coli
Manolo Martínez,es ESP,"DF,MF",30,29,2,1,"2,453",27.3,12,1,/en/players/7b9876e4/Manolo-Martinez,7b9876e4,Manolo-Martinez
Juanma,es ESP,DF,29,27,1,0,"2,439",27.1,7,0,/en/players/209581c1/Juanma,209581c1,Juanm
Óscar Pérez,es ESP,MF,28,25,7,5,"2,132",23.7,8,1,/en/players/a4ae5f6a/Oscar-Perez,4ae5f6a,Oscar-Perez
Sylvain N'Diaye,sn SEN,"DF,MF",29,25,0,1,"2,056",22.8,11,1,/en/players/fb5f3505/Sylvain-NDiaye,fb5f3505,Sylvain-NDi
Andrés Santos,es ESP,MF,32,24,4,2,"2,141",23.8,3,0,/en/players/e68ad30f/Andres-Santos,68ad30f,Andres-Santo
Antonio Longás,es ESP,MF,28,19,1,1,"1,735",19.3,4,0,/en/players/d7821711/Antonio-Longas,d7821711,Antonio-Long
Iriome González,es ESP,MF,31,19,1,4,"1,692",18.8,2,0,/en/players/6e19f4fb/Iriome-Gonzalez,6e19f4fb,Iriome-Gonzalez
Ricardo León Brito,es ESP,MF,21,14,2,1,"1,267",14.1,4,1,/en/players/186c0d18/Ricardo-Leon-Brito,186c0d18,Ricardo-Leon-Brito
Raúl Navas,es ESP,GK,14,13,0,0,"1,218",13.5,0,2,/en/players/7bb77368/Raul-Navas,7bb77368,Raul-Nav
Manuel Blanco,es ESP,DF,20,12,2,0,"1,067",11.9,4,0,/en/players/3dadb16d/Manuel-Blanco,3dadb16d,Manuel-Blanco
Julio Hormiga,es ESP,MF,17,9,1,0,746,8.3,1,0,/en/players/04c06bdd/Julio-Hormiga,04c06bdd,Julio-Hormig
Mikel Arruabarrena,es ESP,FW,31,8,0,6,"1,155",12.8,6,0,/en/players/ad0c4ebb/Mikel-Arruabarrena,d0c4ebb,Mikel-Arruab
Héctor,es ESP,DF,6,6,0,0,487,5.4,2,0,/en/players/27ef490c/Hector,27ef490c,Hecto
Jesuli,es ESP,MF,7,3,0,0,331,3.7,0,0,/en/players/3bfc833a/Jesuli,3bfc833a,Jesuli
Cristo,es ESP,FW,25,1,0,0,550,6.1,5,0,/en/players/425213fe/Cristo,425213fe,Cristo
Rubén Rosquete,es ESP,FW,4,0,0,0,115,1.3,0,0,/en/players/d2161d62/Ruben-Rosquete,d2161d62,Ruben-Rosquet
Omar Ramos,es ESP,"FW,MF",1,0,0,0,17,0.2,1,0,/en/players/0657888a/Omar-Ramos,0657888a,Omar-Ramo
