,Player,Link,Player_id,Player_name,Nationality,Position
0,﻿Sebastián Corona,/en/players/d2aedc78/Sebastian-Corona,d2aedc78,Sebastian-Coro,es ESP,DF
1,José Luis Martí,/en/players/111c668a/Jose-Luis-Marti,111c668a,Jose-Luis-Marti,es ESP,MF
2,Veljko Paunović,/en/players/7d0ae66f/Veljko-Paunovic,7d0ae66f,Veljko-Paunovic,es ESP,"FW,MF"
3,Edu Moya,/en/players/7da62f29/Edu-Moya,7da62f29,Edu-Mo,es ESP,"DF,MF"
4,Ayoze Díaz Díaz,/en/players/b7209bcc/Ayoze-Diaz-Diaz,b7209bcc,Ayoze-Diaz-Diaz,es ESP,"DF,MF"
5,Alexis,/en/players/b9efd503/Alexis,b9efd503,Alexi,es ESP,DF
6,Jesús Vázquez,/en/players/96b3239f/Jesus-Vazquez,96b3239f,Jesus-Vazquez,es ESP,MF
7,Joaquín Valerio,/en/players/5969d90a/Joaquin-Valerio,5969d90a,Joaquin-Valerio,es ESP,GK
8,Dani González,/en/players/3f5737da/Dani-Gonzalez,3f5737da,Dani-Gonzalez,es ESP,FW
9,Sergio Aragoneses,/en/players/8e8258f5/Sergio-Aragoneses,8e8258f5,Sergio-Arago,es ESP,GK
10,David Charcos,/en/players/29deaf09/David-Charcos,29deaf09,David-Charco,es ESP,DF
11,Kiko Torres,/en/players/0ccd43c7/Kiko-Torres,0ccd43c7,Kiko-To,es ESP,MF
12,Barata,/en/players/5aa0f390/Barata,5aa0f390,Barat,br BRA,FW
13,Iván Ania,/en/players/12d37503/Ivan-Ania,12d37503,Ivan-Ani,es ESP,MF
14,Kiko Ratón,/en/players/1b4d461e/Kiko-Raton,1b4d461e,Kiko-Rato,es ESP,FW
15,Iker Garai,/en/players/7c2468da/Iker-Garai,7c2468da,Iker-Garai,es ESP,DF
16,Federico Basavilbaso,/en/players/1349b36f/Federico-Basavilbaso,1349b36f,Federico-Basavilbaso,ar ARG,MF
17,Bino,/en/players/8842b3a3/Bino,8842b3a3,Bino,pt POR,MF
18,Óscar Álvarez,/en/players/d6b5c64f/Oscar-Alvarez,d6b5c64f,Oscar-Alvarez,es ESP,DF
19,Roberto Carlos,/en/players/e12e082d/Roberto-Carlos,12e082d,Roberto-Carlo,es ESP,DF
20,Antonio Hidalgo,/en/players/b5b88d6c/Antonio-Hidalgo,b5b88d6c,Antonio-Hidalgo,es ESP,MF
21,Bruno Marioni,/en/players/76123163/Bruno-Marioni,76123163,Bruno-Marioni,ar ARG,FW
22,Stefan Lexa,/en/players/a71dc2f6/Stefan-Lexa,71dc2f6,Stefan-Lex,at AUT,MF
23,Jordi Ocaña Pérez,/en/players/bf913242/Jordi-Ocana-Perez,bf913242,Jordi-Ocana-Perez,es ESP,MF
24,David Bermudo,/en/players/1066df99/David-Bermudo,1066df99,David-Bermudo,es ESP,DF
25,Vitolo,/en/players/0785296e/Vitolo,0785296e,Vitolo,es ESP,MF
27,Hugo Morales,/en/players/71a020e0/Hugo-Morales,71a020e0,Hugo-Mo,ar ARG,MF
28,Keko,/en/players/f1abe4ef/Keko,f1abe4ef,Keko,es ESP,FW
29,Álvaro Iglesias,/en/players/d325c894/Alvaro-Iglesias,d325c894,Alvaro-Iglesi,es ESP,GK
30,Miroslav Đukić,/en/players/a3e76b49/Miroslav-Djukic,3e76b49,Miroslav-Djukic,rs SRB,DF
