2014-2015,Torino
Player,Nationality,Position,Game,Games Starts,Assists,Goals,Minutes,Minutes 90s,Yellow Card,Red Card,Link,Player_id,Player_name
﻿Emiliano Moretti,it ITA,DF,35,35,1,2,"3,150",35.0,11,0,/en/players/55667895/Emiliano-Moretti,55667895,Emiliano-Moretti
Fabio Quagliarella,it ITA,FW,34,33,4,13,"2,792",31.0,3,0,/en/players/ee4f2f3b/Fabio-Quagliarella,4f2f3b,Fabio-Quagli
Kamil Glik,pl POL,"DF,MF",32,31,0,7,"2,792",31.0,7,0,/en/players/c6056d58/Kamil-Glik,c6056d58,Kamil-Glik
Bruno Peres,br BRA,"DF,MF",34,28,3,3,"2,595",28.8,8,0,/en/players/852351df/Bruno-Peres,852351df,Bruno-P
Matteo Darmian,it ITA,"DF,MF",33,28,1,2,"2,568",28.5,2,0,/en/players/96e0490d/Matteo-Darmian,96e0490d,Matteo-Darmi
Alessandro Gazzi,it ITA,MF,30,27,0,0,"2,404",26.7,13,0,/en/players/63d2a792/Alessandro-Gazzi,63d2a792,Alessandro-Gazzi
Nikola Maksimović,rs SRB,DF,27,27,2,0,"2,398",26.6,4,0,/en/players/16b9d5cf/Nikola-Maksimovic,16b9d5cf,Nikola-Maksimovic
Giuseppe Vives,it ITA,MF,28,26,4,1,"2,095",23.3,8,0,/en/players/095867aa/Giuseppe-Vives,095867aa,Giuseppe-Viv
Omar El Kaddouri,ma MAR,MF,32,25,4,3,"2,304",25.6,9,0,/en/players/92b17b2a/Omar-El-Kaddouri,92b17b2a,Omar-El-Kaddouri
Daniele Padelli,it ITA,GK,25,25,0,0,"2,250",25.0,3,0,/en/players/cf1c23d8/Daniele-Padelli,cf1c23d8,Daniele-Padelli
Josef Martínez,ve VEN,FW,26,20,1,3,"1,542",17.1,0,0,/en/players/e73f0aa1/Josef-Martinez,73f0aa1,Josef-Martinez
Cristian Molinaro,it ITA,"DF,MF",24,17,1,0,"1,365",15.2,1,1,/en/players/1c8c5aed/Cristian-Molinaro,1c8c5aed,Cristian-Molinaro
Marco Benassi,it ITA,MF,25,17,2,3,"1,356",15.1,8,0,/en/players/0000acda/Marco-Benassi,0000acda,Marco-Benassi
Alexander Farnerud,se SWE,MF,22,15,5,1,"1,275",14.2,2,0,/en/players/93b21179/Alexander-Farnerud,93b21179,Alexander-Farnerud
Cesare Bovo,it ITA,DF,15,14,1,0,"1,270",14.1,4,0,/en/players/6d584b34/Cesare-Bovo,6d584b34,Cesare-Bovo
Jean-François Gillet,be BEL,GK,12,12,0,0,"1,080",12.0,0,0,/en/players/ee013fa5/Jean-Francois-Gillet,013fa5,Jean-Francois-Gillet
Maxi López,ar ARG,FW,18,8,2,8,933,10.4,2,0,/en/players/ad469944/Maxi-Lopez,d469944,Maxi-Lopez
Amauri,it ITA,FW,20,7,0,1,864,9.6,4,0,/en/players/b6d4bf9d/Amauri,b6d4bf9d,Amauri
Pontus Jansson,se SWE,DF,9,7,0,0,628,7.0,2,1,/en/players/172e52d8/Pontus-Jansson,172e52d8,Pontus-Jansso
Juan Sánchez Miño,ar ARG,"DF,MF",11,4,1,0,481,5.3,1,0,/en/players/3ae7e4ea/Juan-Sanchez-Mino,3ae7e4ea,Juan-Sanchez-Mino
Gastón Silva,uy URU,DF,5,4,0,0,324,3.6,2,0,/en/players/47d493c3/Gaston-Silva,47d493c3,Gaston-Silv
Marcelo Larrondo,cl CHI,FW,5,3,0,0,279,3.1,0,0,/en/players/6c18f2a0/Marcelo-Larrondo,6c18f2a0,Marcelo-Larrondo
Antonio Nocerino,it ITA,MF,5,2,0,0,271,3.0,0,0,/en/players/07cf67f3/Antonio-Nocerino,07cf67f3,Antonio-Nocerino
Migjen Basha,al ALB,MF,6,1,0,1,156,1.7,1,1,/en/players/81367f83/Migjen-Basha,81367f83,Migjen-Bash
Álvaro González,uy URU,MF,4,1,0,0,134,1.5,1,0,/en/players/873b892d/Alvaro-Gonzalez,873b892d,Alvaro-Gonzalez
Salvador Ichazo,uy URU,GK,1,1,0,0,90,1.0,0,0,/en/players/514f0896/Salvador-Ichazo,514f0896,Salvador-Ichazo
Rubén Pérez,es ESP,MF,6,0,0,0,95,1.1,2,0,/en/players/3c7bc9bd/Ruben-Perez,3c7bc9bd,Ruben-Perez
Salvatore Masiello,it ITA,"DF,MF",1,0,0,0,45,0.5,0,0,/en/players/7f864c2a/Salvatore-Masiello,7f864c2a,Salvatore-Masiello
Simone Rosso,it ITA,MF,2,0,0,0,35,0.4,0,0,/en/players/8b6242ab/Simone-Rosso,8b6242ab,Simone-Rosso
Facundo Lescano,ar ARG,FW,1,0,0,0,10,0.1,0,0,/en/players/85a907b4/Facundo-Lescano,85a907b4,Facundo-Lescano
Paulo Vitor Barreto,br BRA,FW,1,0,0,0,4,0.0,0,0,/en/players/ecdd4a7e/Paulo-Vitor-Barreto,cdd4a7e,Paulo-Vitor-Barreto
Kevin Bonifazi,it ITA,DF,0,0,,,,,,,/en/players/fb77bfef/Kevin-Bonifazi,fb77bfef,Kevin-Bonifazi
Luca Castellazzi,it ITA,GK,0,0,,,,,,,/en/players/36281ecb/Luca-Castellazzi,36281ecb,Luca-Castellazzi
Claudio Morra,it ITA,FW,0,0,,,,,,,/en/players/608f1c65/Claudio-Morra,608f1c65,Claudio-Mo
Marko Vešović,me MNE,"DF,MF",0,0,,,,,,,/en/players/24baba9d/Marko-Vesovic,24baba9d,Marko-Vesovic
Andrea Zaccagno,it ITA,GK,0,0,,,,,,,/en/players/b4d01e22/Andrea-Zaccagno,b4d01e22,Andrea-Zaccagno
