2003-2004,Tottenham-Hotspur
Player,Nationality,Position,Game,Games Starts,Assists,Goals,Minutes,Minutes 90s,Yellow Card,Red Card,Link,Player_id,Player_name
﻿Kasey Keller,us USA,GK,38,38,0,0,"3,420",38.0,0,0,/en/players/5b5bcd83/Kasey-Keller,5b5bcd83,Kasey-K
Anthony Gardner,eng ENG,DF,33,33,1,0,"2,970",33.0,8,0,/en/players/0f2da318/Anthony-Gardner,0f2da318,Anthony-Gard
Stephen Carr,ie IRL,DF,32,32,2,1,"2,806",31.2,9,1,/en/players/eb0ae1e9/Stephen-Carr,b0ae1e9,Stephen-C
Robbie Keane,ie IRL,FW,34,31,3,14,"2,878",32.0,1,0,/en/players/f45e1bb2/Robbie-Keane,f45e1bb2,Robbie-K
Mauricio Taricco,ar ARG,DF,32,31,1,1,"2,540",28.2,8,0,/en/players/efad718d/Mauricio-Taricco,fad718d,Mauricio-Taricco
Ledley King,eng ENG,"DF,MF",29,28,4,1,"2,442",27.1,1,0,/en/players/83ca192d/Ledley-King,83ca192d,Ledley-King
Dean Richards,eng ENG,DF,23,23,1,0,"2,070",23.0,3,0,/en/players/9fc6fda5/Dean-Richards,9fc6fda5,Dean-Richard
Frédéric Kanouté,ml MLI,FW,27,19,1,7,"1,833",20.4,0,0,/en/players/1a24d5b6/Frederic-Kanoute,1a24d5b6,Frederic-Kanout
Michael Brown,eng ENG,MF,17,17,1,1,"1,491",16.6,1,0,/en/players/85543572/Michael-Brown,85543572,Michael-Brow
Simon Davies,wls WAL,MF,17,17,1,2,"1,472",16.4,2,0,/en/players/522b6d6c/Simon-Davies,522b6d6c,Simon-Davi
Gary Doherty,ie IRL,"DF,FW",17,16,0,1,"1,451",16.1,3,0,/en/players/db5c50dd/Gary-Doherty,db5c50dd,Gary-Dohert
Darren Anderton,eng ENG,MF,20,16,4,1,"1,435",15.9,4,0,/en/players/09cebe50/Darren-Anderton,09cebe50,Darren-Anderto
Jermain Defoe,eng ENG,FW,15,14,0,7,"1,277",14.2,1,0,/en/players/f1e8372d/Jermain-Defoe,f1e8372d,Jermain-Defo
Jamie Redknapp,eng ENG,MF,17,14,,1,"1,271",14.1,6,,/en/players/c337443d/Jamie-Redknapp,c337443d,Jamie-Redk
Rohan Ricketts,eng ENG,MF,24,12,1,1,"1,152",12.8,1,0,/en/players/78d55186/Rohan-Ricketts,78d55186,Rohan-Rickett
Stéphane Dalmat,fr FRA,MF,22,12,1,3,"1,118",12.4,2,0,/en/players/d5fe3aa1/Stephane-Dalmat,d5fe3aa1,Stephane-Dalmat
Gus Poyet,uy URU,MF,20,12,1,3,961,10.7,1,0,/en/players/27cd364d/Gus-Poyet,27cd364d,Gus-Poyet
Hélder Postiga,pt POR,FW,19,9,1,1,901,10.0,1,0,/en/players/c8504093/Helder-Postiga,c8504093,Helder-Postig
Johnnie Jackson,eng ENG,MF,11,9,2,1,734,8.2,0,0,/en/players/1853aad9/Johnnie-Jackson,1853aad9,Johnnie-Jackso
Stephen Kelly,ie IRL,DF,11,7,0,0,735,8.2,0,0,/en/players/4d7dd756/Stephen-Kelly,4d7dd756,Stephen-K
Christian Ziege,de GER,"DF,MF",8,7,0,0,566,6.3,2,0,/en/players/c2984c2d/Christian-Ziege,c2984c2d,Christian-Zieg
Bobby Zamora,eng ENG,FW,16,6,2,0,616,6.8,1,0,/en/players/7ddb3563/Bobby-Zamora,7ddb3563,Bobby-Zamo
Goran Bunjevčević,rs SRB,DF,7,3,0,0,313,3.5,0,0,/en/players/c29307da/Goran-Bunjevcevic,c29307da,Goran-Bunjevcevic
Mark Yeates,ie IRL,"DF,FW",1,1,1,0,90,1.0,0,0,/en/players/b3922703/Mark-Yeates,b3922703,Mark-Yeat
Mbulelo Mabizela,za RSA,"DF,MF",6,0,0,1,103,1.1,1,0,/en/players/92b06426/Mbulelo-Mabizela,92b06426,Mbulelo-Mabiz
Jonathan Blondel,be BEL,MF,1,0,0,0,26,0.3,1,0,/en/players/5d1c0873/Jonathan-Blondel,5d1c0873,Jonathan-Blond
Dean Marney,eng ENG,MF,2,0,0,0,24,0.3,1,0,/en/players/b3379356/Dean-Marney,b3379356,Dean-M
