2010-2011,Toulouse
Player,Nationality,Position,Game,Games Starts,Assists,Goals,Minutes,Minutes 90s,Yellow Card,Red Card,Link,Player_id,Player_name
﻿Étienne Capoue,fr FRA,MF,37,37,0,2,"3,330",37.0,5,0,/en/players/5acc4a10/Etienne-Capoue,5acc4a10,Etienne-Capou
Daniel Congré,fr FRA,DF,37,37,1,2,"3,330",37.0,5,0,/en/players/3f5b4635/Daniel-Congre,3f5b4635,Daniel-Cong
Étienne Didot,fr FRA,MF,36,36,3,2,"3,006",33.4,2,0,/en/players/d2aa8ac0/Etienne-Didot,d2aa8ac0,Etienne-Didot
Moussa Sissoko,fr FRA,MF,36,32,1,5,"2,957",32.9,6,0,/en/players/2acd49b9/Moussa-Sissoko,2acd49b9,Moussa-Sissoko
Franck Tabanou,fr FRA,"DF,FW",34,32,5,4,"2,743",30.5,6,0,/en/players/15e1afd5/Franck-Tabanou,15e1afd5,Franck-Tabanou
Mathieu Valverde,fr FRA,GK,29,29,0,0,"2,604",28.9,1,1,/en/players/5732d732/Mathieu-Valverde,5732d732,Mathieu-Valverd
Adrián Gunino,uy URU,DF,29,29,1,0,"2,580",28.7,6,1,/en/players/05652d7c/Adrian-Gunino,05652d7c,Adrian-Gunino
Paulo Machado,pt POR,MF,33,29,5,4,"2,442",27.1,7,0,/en/players/e4ad1288/Paulo-Machado,4ad1288,Paulo-Machado
Mauro Cetto,ar ARG,DF,25,25,0,4,"2,158",24.0,6,0,/en/players/d530ac16/Mauro-Cetto,d530ac16,Mauro-Cetto
Cheikh M'Bengue,sn SEN,DF,25,25,0,0,"2,129",23.7,5,0,/en/players/88fdac8b/Cheikh-MBengue,88fdac8b,Cheikh-MBengu
Antoine Devaux,fr FRA,"DF,MF",28,23,1,1,"2,007",22.3,4,0,/en/players/8af9e002/Antoine-Devaux,8af9e002,Antoine-Devaux
Daniel Braaten,no NOR,"FW,MF",32,21,1,5,"2,201",24.5,2,0,/en/players/81a4581a/Daniel-Braaten,81a4581a,Daniel-Braat
Mohamed Fofana,ml MLI,DF,21,21,0,0,"1,882",20.9,1,0,/en/players/3e65ec26/Mohamed-Fofana,3e65ec26,Mohamed-Fof
Federico Santander,py PAR,FW,23,18,2,5,"1,513",16.8,2,0,/en/players/df85d472/Federico-Santander,df85d472,Federico-Santand
Ali Ahamada,km COM,GK,9,8,0,0,726,8.1,0,0,/en/players/0b64b1e6/Ali-Ahamada,0b64b1e6,Ali-Ahamad
Fodé Mansaré,gn GUI,"DF,FW",25,6,2,0,738,8.2,1,0,/en/players/b9236adc/Fode-Mansare,b9236adc,Fode-M
Yannis Tafer,dz ALG,"FW,MF",16,4,1,0,461,5.1,0,0,/en/players/043abf41/Yannis-Tafer,043abf41,Yannis-Taf
Xavier Pentecôte,fr FRA,FW,6,2,0,2,186,2.1,1,0,/en/players/56cbdc98/Xavier-Pentecote,56cbdc98,Xavier-Pentecot
Pantxi Sirieix,fr FRA,MF,12,1,0,0,202,2.2,0,0,/en/players/e6dd61a7/Pantxi-Sirieix,6dd61a7,Pantxi-Sirieix
Ahmed Soukouna,fr FRA,FW,2,1,0,0,122,1.4,0,0,/en/players/9fc3ab7c/Ahmed-Soukouna,9fc3ab7c,Ahmed-Soukou
Marc Vidal,fr FRA,GK,2,1,0,0,90,1.0,0,0,/en/players/2fe83ffb/Marc-Vidal,2fe83ffb,Marc-Vid
André-Pierre Gignac,fr FRA,"FW,MF",1,1,0,0,76,0.8,0,0,/en/players/585e1b85/Andre-Pierre-Gignac,585e1b85,Andre-Pierre-Gignac
Wissam Ben Yedder,fr FRA,"FW,MF",4,0,0,0,80,0.9,0,0,/en/players/942b4f90/Wissam-Ben-Yedder,942b4f90,Wissam-Ben-Yedd
Adrien Regattin,ma MAR,"FW,MF",3,0,0,0,31,0.3,1,0,/en/players/b87a2715/Adrien-Regattin,b87a2715,Adrien-Regatti
Søren Larsen,dk DEN,FW,2,0,0,0,19,0.2,0,0,/en/players/e8cb0185/Soren-Larsen,8cb0185,Soren-L
Dany Nounkeu,cm CMR,DF,1,0,0,0,3,0.0,0,0,/en/players/819a94a2/Dany-Nounkeu,819a94a2,Dany-Nounkeu
