2013-2014,Troyes
Player,Nationality,Position,Game,Games Starts,Assists,Goals,Minutes,Minutes 90s,Yellow Card,Red Card,Link,Player_id,Player_name
﻿Lionel Carole,fr FRA,"DF,MF",38,37,3,0,"3,360",37.3,3,0,/en/players/5b5724d2/Lionel-Carole,5b5724d2,Lionel-Caro
Maxime Colin,fr FRA,"DF,MF",35,35,1,0,"3,150",35.0,3,0,/en/players/2f71c116/Maxime-Colin,2f71c116,Maxime-Coli
Quentin Othon,fr FRA,MF,36,34,1,1,"3,022",33.6,5,0,/en/players/f6256137/Quentin-Othon,f6256137,Quentin-Otho
Ghislain Gimbert,fr FRA,FW,35,32,0,14,"2,519",28.0,7,0,/en/players/9d165934/Ghislain-Gimbert,9d165934,Ghislain-Gimbert
Stéphane Darbion,fr FRA,MF,32,30,2,7,"2,453",27.3,3,0,/en/players/75d97aa6/Stephane-Darbion,75d97aa6,Stephane-Darbio
Benjamin Nivet,fr FRA,MF,36,28,8,8,"2,624",29.2,4,0,/en/players/1ec4e202/Benjamin-Nivet,1ec4e202,Benjamin-Nivet
Yoann Court,fr FRA,MF,29,25,3,1,"2,133",23.7,7,0,/en/players/26e4447b/Yoann-Court,26e4447b,Yoann-Court
Rincón,br BRA,DF,25,23,2,1,"1,932",21.5,3,0,/en/players/5d668fb7/Rincon,5d668fb7,Rinco
Guillaume Lacour,fr FRA,MF,27,23,0,0,"1,921",21.3,2,0,/en/players/53660034/Guillaume-Lacour,53660034,Guillaume-Lacou
Matthieu Saunier,fr FRA,DF,22,22,0,4,"1,980",22.0,1,0,/en/players/fa4e0908/Matthieu-Saunier,fa4e0908,Matthieu-Sauni
Mahamadou N'Diaye,ml MLI,DF,21,21,0,0,"1,890",21.0,8,0,/en/players/acfa8248/Mahamadou-NDiaye,cfa8248,Mahamadou-NDi
Denis Petrić,rs SRB,GK,21,21,0,0,"1,890",21.0,1,0,/en/players/dab1b8dc/Denis-Petric,dab1b8dc,Denis-Petric
Matthieu Dreyer,fr FRA,GK,15,15,0,0,"1,350",15.0,0,0,/en/players/fbf83734/Matthieu-Dreyer,fbf83734,Matthieu-D
Fahid Ben Khalfallah,tn TUN,"FW,MF",15,15,2,1,"1,294",14.4,1,0,/en/players/d189a874/Fahid-Ben-Khalfallah,d189a874,Fahid-Ben-Khalfallah
Florian Jarjat,fr FRA,DF,12,12,0,0,"1,080",12.0,1,0,/en/players/33369a23/Florian-Jarjat,33369a23,Florian-Jarjat
Corentin Jean,fr FRA,"FW,MF",22,8,2,4,903,10.0,2,0,/en/players/7d9b37bf/Corentin-Jean,7d9b37bf,Corentin-J
Thiago Xavier,br BRA,"FW,MF",9,7,0,0,592,6.6,1,0,/en/players/62562194/Thiago-Xavier,62562194,Thiago-Xavi
Marcos Pereira,br BRA,FW,20,6,1,4,862,9.6,0,0,/en/players/41d2b9ac/Marcos-Pereira,41d2b9ac,Marcos-Perei
Jimmy Cabot,fr FRA,"DF,FW",24,5,3,2,682,7.6,1,0,/en/players/46359159/Jimmy-Cabot,46359159,Jimmy-Cabot
Georges Gope-Fenepej,nc NCL,FW,16,4,1,0,432,4.8,1,0,/en/players/8730ed6a/Georges-Gope-Fenepej,8730ed6a,Georges-Gope-Fenepej
Khassa Camara,mr MTN,MF,7,4,1,0,337,3.7,2,0,/en/players/eb931f7e/Khassa-Camara,b931f7e,Khassa-Cam
Wilfried Rother,fr FRA,DF,4,3,0,0,352,3.9,2,0,/en/players/e7da52bc/Wilfried-Rother,7da52bc,Wilfried-Roth
Benjamin Psaume,fr FRA,"FW,MF",7,2,0,2,250,2.8,1,0,/en/players/5c4db221/Benjamin-Psaume,5c4db221,Benjamin-Psaum
Franck Grandel,gp GLP,GK,2,2,0,0,180,2.0,0,0,/en/players/6a52b478/Franck-Grandel,6a52b478,Franck-Grand
Karim Azamoum,fr FRA,MF,4,1,1,2,136,1.5,0,0,/en/players/eaf71a5e/Karim-Azamoum,f71a5e,Karim-Azamoum
Fabrice N'Sakala,cd COD,"DF,MF",1,1,0,0,90,1.0,0,0,/en/players/de85e3cc/Fabrice-NSakala,de85e3cc,Fabrice-NSak
Mickaël Barreto,fr FRA,MF,3,1,0,0,71,0.8,0,0,/en/players/e3844ecb/Mickael-Barreto,3844ecb,Mickael-Barreto
Sega Keita,fr FRA,MF,1,0,0,0,45,0.5,0,0,/en/players/d9d68486/Sega-Keita,d9d68486,Sega-Keit
