2018-2019,Udinese
Player,Nationality,Position,Game,Games Starts,Assists,Goals,Minutes,Minutes 90s,Yellow Card,Red Card,Link,Player_id,Player_name
﻿Jens Stryger Larsen,dk DEN,DF,36,36,4,1,"3,234",35.9,6,0,/en/players/f91e81c9/Jens-Stryger-Larsen,f91e81c9,Jens-Stryger-L
Rodrigo De Paul,ar ARG,"MF,FW",36,36,9,9,"3,189",35.4,7,0,/en/players/162efffd/Rodrigo-De-Paul,162efffd,Rodrigo-De-Pau
William Troost-Ekong,ng NGA,DF,35,35,0,0,"3,064",34.0,4,0,/en/players/7ed4921e/William-Troost-Ekong,7ed4921e,William-Troost-Ekong
Rolando Mandragora,it ITA,MF,35,33,2,3,"2,918",32.4,8,1,/en/players/c7259b83/Rolando-Mandragora,c7259b83,Rolando-Mandrago
Seko Fofana,ci CIV,MF,31,31,4,2,"2,639",29.3,5,0,/en/players/5313ed43/Seko-Fofana,5313ed43,Seko-Fof
Juan Musso,ar ARG,GK,29,29,0,0,"2,610",29.0,4,0,/en/players/a111cf41/Juan-Musso,111cf41,Juan-Musso
Kevin Lasagna,it ITA,FW,36,26,2,6,"2,453",27.3,2,0,/en/players/09538fdb/Kevin-Lasagna,09538fdb,Kevin-Lasag
Ignacio Pussetto,ar ARG,"FW,MF",35,24,4,4,"2,178",24.2,8,0,/en/players/62437b4f/Ignacio-Pussetto,62437b4f,Ignacio-Pussetto
Bram Nuytinck,nl NED,DF,27,24,0,0,"2,127",23.6,4,1,/en/players/e33f36d5/Bram-Nuytinck,33f36d5,Bram-Nuytinck
Samir Santos,br BRA,DF,21,21,0,2,"1,797",20.0,7,0,/en/players/92b4758e/Samir-Santos,92b4758e,Samir-Santo
Valon Behrami,ch SUI,MF,19,17,0,1,"1,361",15.1,6,0,/en/players/d3d758d8/Valon-Behrami,d3d758d8,Valon-Behrami
Marco D'Alessandro,it ITA,DF,24,16,2,0,"1,495",16.6,3,0,/en/players/060606ec/Marco-DAlessandro,060606ec,Marco-DAlessandro
Sebastien De Maio,fr FRA,DF,16,13,0,1,"1,173",13.0,1,1,/en/players/952a03fe/Sebastien-De-Maio,952a03fe,Sebastien-De-Maio
Hidde ter Avest,nl NED,"DF,FW",13,12,1,0,973,10.8,0,0,/en/players/18f9dbd0/Hidde-ter-Avest,18f9dbd0,Hidde-ter-Avest
Stefano Okaka,it ITA,FW,16,11,1,6,970,10.8,4,0,/en/players/601ef102/Stefano-Okaka,601ef102,Stefano-Okak
Marvin Zeegelaar,nl NED,DF,12,10,0,0,956,10.6,6,1,/en/players/8abd0c03/Marvin-Zeegelaar,8abd0c03,Marvin-Zeeg
Nicholas Opoku,gh GHA,DF,12,9,0,0,910,10.1,5,0,/en/players/b871bf55/Nicholas-Opoku,b871bf55,Nicholas-Opoku
Simone Scuffet,it ITA,GK,9,9,0,0,810,9.0,0,0,/en/players/41bd99ea/Simone-Scuffet,41bd99ea,Simone-Scuffet
Sandro,br BRA,MF,12,7,0,0,594,6.6,5,0,/en/players/c1c2c925/Sandro,c1c2c925,Sandro
Darwin Machís,ve VEN,"MF,FW",13,4,1,0,463,5.1,2,0,/en/players/ed6ea4d9/Darwin-Machis,d6ea4d9,Darwin-Machi
Antonín Barák,cz CZE,"MF,FW",8,4,0,0,329,3.7,0,0,/en/players/01efac19/Antonin-Barak,01efac19,Antonin-Barak
Łukasz Teodorczyk,pl POL,FW,16,2,0,1,400,4.4,1,0,/en/players/7e81a17d/Lukasz-Teodorczyk,7e81a17d,Lukasz-Teodorczyk
Ben Wilmot,eng ENG,"DF,MF",5,2,0,0,199,2.2,1,0,/en/players/2876eaa3/Ben-Wilmot,2876eaa3,Ben-Wilmot
Giuseppe Pezzella,it ITA,DF,4,2,0,0,184,2.0,1,0,/en/players/149c5f5d/Giuseppe-Pezzella,149c5f5d,Giuseppe-Pezz
Emmanuel Agyemang-Badu,gh GHA,MF,4,2,0,0,161,1.8,0,0,/en/players/fe0b8f0e/Emmanuel-Agyemang-Badu,fe0b8f0e,Emmanuel-Agyemang-Badu
Emil Hallfreðsson,is ISL,MF,3,1,0,1,137,1.5,0,0,/en/players/86015b20/Emil-Hallfredsson,86015b20,Emil-Hallfredsso
Svante Ingelsson,se SWE,"DF,MF",3,1,0,0,97,1.1,0,0,/en/players/4133cfcf/Svante-Ingelsson,4133cfcf,Svante-Ingelsso
Molla Wagué,ml MLI,DF,2,1,0,0,95,1.1,0,0,/en/players/a440d8ca/Molla-Wague,440d8ca,Molla-Wagu
Felipe Vizeu,br BRA,"FW,DF",5,0,0,0,32,0.4,0,0,/en/players/0412b9cd/Felipe-Vizeu,0412b9cd,Felipe-Vizeu
Andrija Balić,hr CRO,"FW,MF",4,0,0,0,27,0.3,0,0,/en/players/9be4ee80/Andrija-Balic,9be4ee80,Andrija-Balic
Petar Mićin,rs SRB,MF,1,0,0,0,3,0.0,0,0,/en/players/259deea9/Petar-Micin,259deea9,Petar-Mici
Nícolas Andrade,br BRA,GK,0,0,,,,,,,/en/players/326d09ef/Nicolas-Andrade,326d09ef,Nicolas-Andrad
Thomas Battistella,it ITA,MF,0,0,,,,,,,/en/players/1ebee5ea/Thomas-Battistella,1ebee5ea,Thomas-Battist
Milos Bocic,rs SRB,FW,0,0,,,,,,,/en/players/e6d74685/Milos-Bocic,6d74685,Milos-Bocic
Álex Centelles,es ESP,DF,0,0,,,,,,,/en/players/ae852b7d/Alex-Centelles,852b7d,Alex-Cent
Mamadou Coulibaly,sn SEN,MF,0,0,,,,,,,/en/players/c976160c/Mamadou-Coulibaly,c976160c,Mamadou-Coulib
Manuel Gasparini,it ITA,GK,0,0,,,,,,,/en/players/7033ca08/Manuel-Gasparini,7033ca08,Manuel-Gasparini
Gaspar Iñíguez,ar ARG,MF,0,0,,,,,,,/en/players/326766d0/Gaspar-Iniguez,326766d0,Gaspar-Iniguez
Samuele Perisan,it ITA,GK,0,0,,,,,,,/en/players/00a17eba/Samuele-Perisan,00a17eba,Samuele-Peri
Simone Pontisso,it ITA,MF,0,0,,,,,,,/en/players/8a2d3fdb/Simone-Pontisso,8a2d3fdb,Simone-Pontisso
Filip Vaško,sk SVK,DF,0,0,,,,,,,/en/players/8ffe9134/Filip-Vasko,8ffe9134,Filip-Vasko
