Id,Player,Nationality,Position,Game,Games Starts,Assists,Goals,season,Link,Player_id,Club,Minutes,Minutes 90s,Yellow Card,Red Card,Club_Id,Nationality_Id,Player_Id_DB,club
,﻿Morgan De Sanctis,it ITA,GK,34,34,0.0,0.0,2002-2003,/en/players/83228343/Morgan-De-Sanctis,83228343,Udinese,"3,060",34.0,1.0,0.0,165,9.0,1832,Udinese
,David Pizarro,cl CHI,MF,32,32,5.0,7.0,2002-2003,/en/players/8b92c119/David-Pizarro,8b92c119,Udinese,"2,880",32.0,3.0,0.0,165,31.0,7005,Udinese
,Roberto Sensini,ar ARG,DF,30,30,0.0,3.0,2002-2003,/en/players/5cb3d53a/Roberto-Sensini,5cb3d53a,Udinese,"2,625",29.2,3.0,1.0,165,5.0,20221,Udinese
,Giampiero Pinzi,it ITA,MF,28,28,1.0,3.0,2002-2003,/en/players/8857991f/Giampiero-Pinzi,8857991f,Udinese,"2,381",26.5,6.0,1.0,165,9.0,20222,Udinese
,Roberto Muzzi,it ITA,FW,27,26,5.0,5.0,2002-2003,/en/players/1dd51eaf/Roberto-Muzzi,1dd51eaf,Udinese,"2,289",25.4,0.0,0.0,165,9.0,19882,Udinese
,Per Krøldrup,dk DEN,DF,25,25,1.0,0.0,2002-2003,/en/players/a65f0ff2/Per-Kroldrup,65f0ff2,Udinese,"2,178",24.2,3.0,1.0,165,7.0,6648,Udinese
,Martin Jørgensen,dk DEN,MF,27,24,2.0,4.0,2002-2003,/en/players/0d955bbe/Martin-Jorgensen,0d955bbe,Udinese,"2,063",22.9,0.0,0.0,165,7.0,20223,Udinese
,Marek Jankulovski,cz CZE,"DF,MF",26,22,2.0,5.0,2002-2003,/en/players/faef7749/Marek-Jankulovski,faef7749,Udinese,"1,993",22.1,4.0,0.0,165,84.0,19783,Udinese
,Valerio Bertotto,it ITA,DF,25,21,0.0,0.0,2002-2003,/en/players/153e1fb3/Valerio-Bertotto,153e1fb3,Udinese,"1,860",20.7,4.0,0.0,165,9.0,20224,Udinese
,Alberto Valentim,br BRA,"DF,MF",20,20,1.0,1.0,2002-2003,/en/players/64a84087/Alberto-Valentim,64a84087,Udinese,"1,663",18.5,6.0,1.0,165,2.0,20225,Udinese
,Thomas Manfredini,it ITA,DF,21,20,0.0,0.0,2002-2003,/en/players/cd2d825f/Thomas-Manfredini,cd2d825f,Udinese,"1,623",18.0,10.0,0.0,165,9.0,20226,Udinese
,Mirko Pieri,it ITA,"DF,MF",22,20,1.0,0.0,2002-2003,/en/players/83e75ac6/Mirko-Pieri,83e75ac6,Udinese,"1,610",17.9,2.0,0.0,165,9.0,20227,Udinese
,Vincenzo Iaquinta,it ITA,FW,25,16,0.0,7.0,2002-2003,/en/players/69960e0c/Vincenzo-Iaquinta,69960e0c,Udinese,"1,509",16.8,3.0,1.0,165,9.0,19528,Udinese
,Carsten Jancker,de GER,FW,20,12,1.0,1.0,2002-2003,/en/players/20570c32/Carsten-Jancker,20570c32,Udinese,983,10.9,1.0,0.0,165,13.0,17331,Udinese
,Giuseppe Gemiti,de GER,"DF,MF",25,11,0.0,0.0,2002-2003,/en/players/dd67558e/Giuseppe-Gemiti,dd67558e,Udinese,"1,370",15.2,1.0,0.0,165,13.0,20228,Udinese
,Fabio Rossitto,it ITA,MF,19,7,2.0,0.0,2002-2003,/en/players/84a0904c/Fabio-Rossitto,84a0904c,Udinese,743,8.3,3.0,0.0,165,9.0,20229,Udinese
,Andrea Sottil,it ITA,DF,8,5,0.0,0.0,2002-2003,/en/players/05d16399/Andrea-Sottil,05d16399,Udinese,492,5.5,1.0,0.0,165,9.0,20230,Udinese
,Warley,br BRA,FW,14,4,1.0,0.0,2002-2003,/en/players/7430849c/Warley,7430849c,Udinese,520,5.8,1.0,0.0,165,2.0,20231,Udinese
,Samuel Caballero,hn HON,DF,4,3,0.0,0.0,2002-2003,/en/players/a320f06d/Samuel-Caballero,320f06d,Udinese,281,3.1,4.0,0.0,165,107.0,20232,Udinese
,Sulley Muntari,gh GHA,MF,12,1,0.0,0.0,2002-2003,/en/players/e185aa52/Sulley-Muntari,185aa52,Udinese,260,2.9,2.0,1.0,165,17.0,536,Udinese
,Maurizio Bedin,it ITA,MF,2,1,0.0,0.0,2002-2003,/en/players/f2ae1129/Maurizio-Bedin,f2ae1129,Udinese,98,1.1,2.0,1.0,165,9.0,20233,Udinese
,Gonzalo Martínez,co COL,DF,4,1,0.0,0.0,2002-2003,/en/players/66b813e6/Gonzalo-Martinez,66b813e6,Udinese,92,1.0,0.0,0.0,165,19.0,20234,Udinese
,Sergio Almirón,ar ARG,MF,2,1,0.0,0.0,2002-2003,/en/players/ce05fadf/Sergio-Almiron,ce05fadf,Udinese,58,0.6,0.0,0.0,165,5.0,11372,Udinese
,Felipe dal Belo,br BRA,DF,4,0,0.0,0.0,2002-2003,/en/players/8cea6319/Felipe-dal-Belo,8cea6319,Udinese,22,0.2,0.0,0.0,165,2.0,19693,Udinese
,﻿Morgan De Sanctis,it ITA,GK,34,34,0.0,0.0,2003-2004,/en/players/83228343/Morgan-De-Sanctis,83228343,Udinese,"3,060",34.0,0.0,0.0,165,9.0,1832,Udinese
,Martin Jørgensen,dk DEN,MF,34,33,9.0,3.0,2003-2004,/en/players/0d955bbe/Martin-Jorgensen,0d955bbe,Udinese,"2,965",32.9,1.0,0.0,165,7.0,20223,Udinese
,Marek Jankulovski,cz CZE,"DF,MF",32,32,5.0,6.0,2003-2004,/en/players/faef7749/Marek-Jankulovski,faef7749,Udinese,"2,838",31.5,5.0,0.0,165,84.0,19783,Udinese
,Per Krøldrup,dk DEN,DF,30,30,0.0,2.0,2003-2004,/en/players/a65f0ff2/Per-Kroldrup,65f0ff2,Udinese,"2,698",30.0,2.0,1.0,165,7.0,6648,Udinese
,Valerio Bertotto,it ITA,DF,29,29,1.0,0.0,2003-2004,/en/players/153e1fb3/Valerio-Bertotto,153e1fb3,Udinese,"2,570",28.6,6.0,1.0,165,9.0,20224,Udinese
