2019-2020,Union-Berlin
Player,Nationality,Position,Game,Games Starts,Assists,Goals,Minutes,Minutes 90s,Yellow Card,Red Card,Link,Player_id,Player_name
﻿Rafał Gikiewicz,pl POL,GK,33,33,0,0,"2,970",33.0,0,0,/en/players/17376543/Rafal-Gikiewicz,17376543,Rafal-Gikiewicz
Christopher Trimmel,at AUT,"DF,MF",32,32,8,0,"2,863",31.8,6,0,/en/players/056d2d95/Christopher-Trimmel,056d2d95,Christopher-Trimm
Marvin Friedrich,de GER,DF,31,31,0,2,"2,789",31.0,11,1,/en/players/b77f44a4/Marvin-Friedrich,b77f44a4,Marvin-Friedrich
Sebastian Andersson,se SWE,FW,33,31,1,12,"2,682",29.8,5,0,/en/players/b4cf5806/Sebastian-Andersson,b4cf5806,Sebastian-Andersso
Robert Andrich,de GER,MF,30,30,2,1,"2,572",28.6,13,1,/en/players/e0b113a7/Robert-Andrich,0b113a7,Robert-Andrich
Christian Gentner,de GER,MF,31,29,2,3,"2,443",27.1,4,0,/en/players/a4f94a0d/Christian-Gentner,4f94a0d,Christian-Gent
Marius Bülter,de GER,"MF,FW",32,28,1,7,"2,321",25.8,1,0,/en/players/ab5b7dc1/Marius-Bulter,b5b7dc1,Marius-Bult
Christopher Lenz,de GER,"DF,MF",26,26,3,0,"2,267",25.2,2,0,/en/players/bbd86530/Christopher-Lenz,bbd86530,Christopher-Lenz
Neven Subotić,rs SRB,DF,23,23,0,1,"1,965",21.8,3,1,/en/players/821233cc/Neven-Subotic,821233cc,Neven-Subotic
Keven Schlotterbeck,de GER,DF,23,23,0,0,"1,939",21.5,6,1,/en/players/f6bdc830/Keven-Schlotterbeck,f6bdc830,Keven-Schlotterbeck
Marcus Ingvartsen,dk DEN,"MF,FW",28,20,2,5,"1,716",19.1,4,0,/en/players/271b8617/Marcus-Ingvartsen,271b8617,Marcus-Ingvart
Anthony Ujah,ng NGA,"FW,MF",24,10,2,3,949,10.5,0,0,/en/players/99be8fb5/Anthony-Ujah,99be8fb5,Anthony-Ujah
Grischa Prömel,de GER,MF,16,9,0,0,924,10.3,2,0,/en/players/924f9191/Grischa-Promel,924f9191,Grischa-Prom
Florian Hübner,de GER,DF,11,9,0,0,850,9.4,2,0,/en/players/e87ad81a/Florian-Hubner,87ad81a,Florian-Hub
Yunus Mallı,tr TUR,"MF,FW",13,9,1,0,673,7.5,1,0,/en/players/f3722c97/Yunus-Malli,f3722c97,Yunus-Malli
Michael Parensen,de GER,DF,9,6,0,1,628,7.0,4,0,/en/players/3acad81a/Michael-Parensen,3acad81a,Michael-P
Ken Reichel,de GER,DF,7,6,0,0,533,5.9,0,0,/en/players/e881ed15/Ken-Reichel,881ed15,Ken-Reich
Sheraldo Becker,sr SUR,MF,13,5,2,0,540,6.0,1,0,/en/players/8eb55dbb/Sheraldo-Becker,8eb55dbb,Sheraldo-Beck
Felix Kroos,de GER,"MF,DF",15,3,0,0,378,4.2,1,0,/en/players/4d7faad1/Felix-Kroos,4d7faad1,Felix-Kroo
Julian Ryerson,no NOR,"DF,MF",14,3,0,0,368,4.1,2,0,/en/players/009a4f60/Julian-Ryerson,009a4f60,Julian-Ryerso
Sebastian Polter,de GER,FW,13,2,2,2,330,3.7,1,1,/en/players/3745e8bd/Sebastian-Polter,3745e8bd,Sebastian-Polt
Manuel Schmiedebach,de GER,MF,5,2,0,0,179,2.0,0,0,/en/players/d8f5dc3d/Manuel-Schmiedebach,d8f5dc3d,Manuel-Schmiedebach
Joshua Mees,de GER,"MF,FW",15,1,1,0,325,3.6,1,0,/en/players/4b6dd263/Joshua-Mees,4b6dd263,Joshua-M
Suleiman Abdullahi,ng NGA,"MF,FW",6,1,0,1,157,1.7,1,0,/en/players/abf0cad0/Suleiman-Abdullahi,bf0cad0,Suleiman-Abdullahi
Akaki Gogia,de GER,MF,3,1,0,0,121,1.3,0,0,/en/players/deee6467/Akaki-Gogia,deee6467,Akaki-Gogi
Moritz Nicolas,de GER,GK,1,1,0,0,90,1.0,0,0,/en/players/226ddf9d/Moritz-Nicolas,226ddf9d,Moritz-Nico
Jakob Busk,dk DEN,GK,0,0,,,,,,,/en/players/bb13d261/Jakob-Busk,bb13d261,Jakob-Busk
Florian Flecker,at AUT,MF,0,0,,,,,,,/en/players/7da05fff/Florian-Flecker,7da05fff,Florian-Fleck
Julius Kade,de GER,MF,0,0,,,,,,,/en/players/768a35ac/Julius-Kade,768a35ac,Julius-Kad
Nicolai Rapp,de GER,"DF,MF",0,0,,,,,,,/en/players/c8b3a472/Nicolai-Rapp,c8b3a472,Nicolai-R
