,Player,Link,Player_id,Player_name,Nationality,Position
0,﻿Roberto Ayala,/en/players/561d182e/Roberto-Ayala,561d182e,Roberto-A,ar ARG,DF
1,Santiago Cañizares,/en/players/e104f31c/Santiago-Canizares,104f31c,Santiago-Caniz,es ESP,GK
2,Rubén Baraja,/en/players/31a8e5c3/Ruben-Baraja,31a8e5c3,Ruben-Baraj,es ESP,MF
3,Pablo Aimar,/en/players/ab6c00d3/Pablo-Aimar,b6c00d3,Pablo-Aim,ar ARG,MF
4,Mauricio Pellegrino,/en/players/8b3d6528/Mauricio-Pellegrino,8b3d6528,Mauricio-Pellegrino,ar ARG,DF
5,Francisco Rufete,/en/players/95aca6cd/Francisco-Rufete,95aca6cd,Francisco-Rufet,es ESP,MF
6,John Carew,/en/players/91ef929d/John-Carew,91ef929d,John-Carew,no NOR,FW
7,Vicente Rodríguez,/en/players/73b8c719/Vicente-Rodriguez,73b8c719,Vicente-Rodriguez,es ESP,"FW,MF"
8,Amedeo Carboni,/en/players/5c66ca76/Amedeo-Carboni,5c66ca76,Amedeo-Carboni,it ITA,DF
9,David Albelda,/en/players/def14f68/David-Albelda,def14f68,David-Albeld,es ESP,"DF,MF"
10,Fábio Aurélio,/en/players/68f0ce09/Fabio-Aurelio,68f0ce09,Fabio-Aurelio,br BRA,"DF,MF"
11,Carlos Marchena,/en/players/48ddb821/Carlos-Marchena,48ddb821,Carlos-March,es ESP,"DF,MF"
12,Anthony Réveillère,/en/players/8ad24039/Anthony-Reveillere,8ad24039,Anthony-Revei,fr FRA,DF
13,Miguel Ángel Angulo,/en/players/434f4055/Miguel-Angel-Angulo,434f4055,Miguel-Angel-Angulo,es ESP,"FW,MF"
14,Curro Torres,/en/players/49b88407/Curro-Torres,49b88407,Curro-To,es ESP,DF
15,Gonzalo de los Santos,/en/players/1855302a/Gonzalo-de-los-Santos,1855302a,Gonzalo-de-los-Santo,uy URU,MF
16,Mista,/en/players/257c27e2/Mista,257c27e2,Mist,es ESP,FW
17,Juan Sánchez,/en/players/58c2f75c/Juan-Sanchez,58c2f75c,Juan-Sanchez,es ESP,FW
18,Andrés Palop,/en/players/9ab4e785/Andres-Palop,9ab4e785,Andres-Palo,es ESP,GK
19,Miroslav Đukić,/en/players/a3e76b49/Miroslav-Djukic,3e76b49,Miroslav-Djukic,rs SRB,DF
20,Garrido,/en/players/32852179/Garrido,32852179,Garrido,es ESP,DF
21,Kily González,/en/players/69966620/Kily-Gonzalez,69966620,Kily-Gonzalez,ar ARG,"FW,MF"
22,David Navarro,/en/players/5dbdb37b/David-Navarro,5dbdb37b,David-Navarro,es ESP,DF
23,Borja Criado,/en/players/a495f54a/Borja-Criado,495f54a,Borja-Criado,es ESP,FW
24,Salva Ballesta,/en/players/bd42bcb8/Salva-Ballesta,bd42bcb8,Salva-Ballest,es ESP,FW
25,Ximo Enguix,/en/players/cfadea36/Ximo-Enguix,cfadea36,Ximo-Enguix,es ESP,MF
26,Jaime Gavilán,/en/players/95de0931/Jaime-Gavilan,95de0931,Jaime-Gavi,es ESP,MF
27,Jean-Félix Dorothée,/en/players/7376fc8e/Jean-Felix-Dorothee,7376fc8e,Jean-Felix-Doroth,fr FRA,DF
28,César Soriano,/en/players/0e41fc77/Cesar-Soriano,0e41fc77,Cesar-Soriano,es ESP,DF
29,Miguel Albiol,/en/players/ca8aa471/Miguel-Albiol,ca8aa471,Miguel-Albio,es ESP,MF
31,Jorge López,/en/players/cf66479e/Jorge-Lopez,cf66479e,Jorge-Lopez,es ESP,MF
32,Ricardo Oliveira,/en/players/420c1246/Ricardo-Oliveira,420c1246,Ricardo-Olivei,br BRA,FW
33,Mohamed Sissoko,/en/players/2c1a819e/Mohamed-Sissoko,2c1a819e,Mohamed-Sissoko,ml MLI,MF
34,Xisco,/en/players/efaaae13/Xisco,faaae13,Xisco,es ESP,"FW,MF"
35,Fabián Canobbio,/en/players/8a010a9b/Fabian-Canobbio,8a010a9b,Fabian-Canobbio,uy URU,MF
36,David Rangel Pastor,/en/players/51041a4d/David-Rangel-Pastor,51041a4d,David-Rangel-Pasto,es ESP,GK
37,Marco Di Vaio,/en/players/dfa05223/Marco-Di-Vaio,dfa05223,Marco-Di-Vaio,it ITA,FW
38,Marco Caneira,/en/players/e2ad9feb/Marco-Caneira,2ad9feb,Marco-Canei,pt POR,DF
39,Emiliano Moretti,/en/players/55667895/Emiliano-Moretti,55667895,Emiliano-Moretti,it ITA,DF
40,Stefano Fiore,/en/players/2eb707d3/Stefano-Fiore,2eb707d3,Stefano-Fio,it ITA,MF
41,Bernardo Corradi,/en/players/d50232c1/Bernardo-Corradi,d50232c1,Bernardo-Corradi,it ITA,FW
42,Manuel Ruz,/en/players/0bd93f6a/Manuel-Ruz,0bd93f6a,Manuel-Ruz,es ESP,DF
43,Rafael Santacruz,/en/players/ecac1e3e/Rafael-Santacruz,cac1e3e,Rafael-Santacruz,es ESP,DF
44,Juanlu,/en/players/431ac3e7/Juanlu,431ac3e7,Juanlu,es ESP,"FW,MF"
45,Miguel Pallardó,/en/players/6c3dfe68/Miguel-Pallardo,6c3dfe68,Miguel-Pallardo,es ESP,MF
46,David Villa,/en/players/ade08a67/David-Villa,de08a67,David-Vi,es ESP,"FW,MF"
47,Miguel Monteiro,/en/players/930ef69d/Miguel-Monteiro,930ef69d,Miguel-Monteiro,pt POR,DF
48,Raúl Albiol,/en/players/4bd414c1/Raul-Albiol,4bd414c1,Raul-Albio,es ESP,DF
49,Mario Regueiro,/en/players/c792d665/Mario-Regueiro,c792d665,Mario-Regueiro,uy URU,"FW,MF"
50,Hugo Viana,/en/players/9a5542cc/Hugo-Viana,9a5542cc,Hugo-Vi,pt POR,MF
51,Patrick Kluivert,/en/players/6c3b0583/Patrick-Kluivert,6c3b0583,Patrick-Kluivert,nl NED,FW
52,Edu Gaspar,/en/players/0471f2a2/Edu-Gaspar,0471f2a2,Edu-G,br BRA,MF
53,Ludovic Butelle,/en/players/26975a92/Ludovic-Butelle,26975a92,Ludovic-But,fr FRA,GK
54,Juan Luis Mora,/en/players/2e1a7599/Juan-Luis-Mora,2e1a7599,Juan-Luis-Mo,es ESP,GK
55,Pablo Hernández,/en/players/c0398aca/Pablo-Hernandez,c0398aca,Pablo-Hernandez,es ESP,"FW,MF"
56,David Silva,/en/players/e2716bd0/David-Silva,2716bd0,David-Silv,es ESP,"FW,MF"
57,Joaquín,/en/players/4c5b14d2/Joaquin,4c5b14d2,Joaqui,es ESP,"FW,MF"
58,Fernando Morientes,/en/players/bceebb25/Fernando-Morientes,bceebb25,Fernando-Morient,es ESP,FW
59,Asier del Horno,/en/players/eb525f4a/Asier-del-Horno,b525f4a,Asier-del-Horno,es ESP,DF
60,David Cerrajería,/en/players/2ebb9df6/David-Cerrajeria,2ebb9df6,David-Cerrajeri,es ESP,DF
61,David Córcoles,/en/players/929ea912/David-Corcoles,929ea912,David-Corco,es ESP,DF
62,Francesco Tavano,/en/players/d4a26b3a/Francesco-Tavano,d4a26b3a,Francesco-Tavano,it ITA,FW
63,Javi Guerra,/en/players/aa386464/Javi-Guerra,386464,Javi-Gu,es ESP,FW
64,Natxo Insa,/en/players/28ccefcd/Natxo-Insa,28ccefcd,Natxo-I,my MAS,MF
65,Iván Helguera,/en/players/44151558/Ivan-Helguera,44151558,Ivan-Helgu,es ESP,"DF,MF"
66,Javier Arizmendi,/en/players/14a6c075/Javier-Arizmendi,14a6c075,Javier-Arizmendi,es ESP,"FW,MF"
67,Juan Mata,/en/players/29733c72/Juan-Mata,29733c72,Juan-Mat,es ESP,"FW,MF"
68,Alexis,/en/players/db0cd1ae/Alexis,db0cd1ae,Alexi,es ESP,DF
69,Hedwiges Maduro,/en/players/5918cc84/Hedwiges-Maduro,5918cc84,Hedwiges-Maduro,nl NED,"DF,MF"
70,Éver Banega,/en/players/fa937f7a/Ever-Banega,fa937f7a,Ever-Baneg,ar ARG,MF
71,Manuel Fernandes,/en/players/13ac19de/Manuel-Fernandes,13ac19de,Manuel-Fernand,pt POR,MF
72,Sunny,/en/players/1eb38665/Sunny,1eb38665,Su,ng NGA,MF
73,Nikola Žigić,/en/players/aad584e0/Nikola-Zigic,d584e0,Nikola-Zigic,rs SRB,FW
74,Ángel Montoro,/en/players/719384c1/Angel-Montoro,719384c1,Angel-Montoro,es ESP,MF
75,David Lombán,/en/players/b43b81f1/David-Lomban,b43b81f1,David-Lomb,es ESP,DF
76,Renan Brito Soares,/en/players/ca409f2e/Renan-Brito-Soares,ca409f2e,Renan-Brito-So,br BRA,GK
77,César Sánchez,/en/players/c6e6e5d6/Cesar-Sanchez,c6e6e5d6,Cesar-Sanchez,es ESP,GK
