2010-2011,Valenciennes
Player,Nationality,Position,Game,Games Starts,Assists,Goals,Minutes,Minutes 90s,Yellow Card,Red Card,Link,Player_id,Player_name
﻿Nicolas Penneteau,fr FRA,GK,38,38,0,0,"3,420",38.0,0,0,/en/players/3870f7c3/Nicolas-Penneteau,3870f7c3,Nicolas-Penneteau
David Ducourtioux,fr FRA,"DF,MF",37,33,5,2,"2,998",33.3,6,0,/en/players/0a1f8ddf/David-Ducourtioux,0a1f8ddf,David-Ducourtioux
Grégory Pujol,fr FRA,FW,33,33,3,17,"2,878",32.0,2,0,/en/players/fa669152/Gregory-Pujol,fa669152,Gregory-Pujo
Milan Biševac,rs SRB,DF,32,32,0,2,"2,797",31.1,7,1,/en/players/a51728e3/Milan-Bisevac,51728e3,Milan-Bisevac
Gaël Danic,fr FRA,MF,36,31,6,9,"2,626",29.2,6,0,/en/players/5a529d5a/Gael-Danic,5a529d5a,Gael-Danic
Benjamin Angoua,ci CIV,DF,31,30,0,1,"2,712",30.1,4,0,/en/players/de715534/Benjamin-Angoua,de715534,Benjamin-Angou
Renaud Cohade,fr FRA,MF,31,27,9,0,"2,432",27.0,3,0,/en/players/4e7d66f8/Renaud-Cohade,4e7d66f8,Renaud-Cohad
Carlos Sánchez,co COL,MF,28,27,1,2,"2,384",26.5,4,0,/en/players/50b51fac/Carlos-Sanchez,50b51fac,Carlos-Sanchez
Rémi Gomis,sn SEN,MF,29,26,0,1,"2,322",25.8,7,0,/en/players/539f3173/Remi-Gomis,539f3173,Remi-Gomi
Rudy Mater,fr FRA,DF,29,26,4,0,"2,216",24.6,8,1,/en/players/9c474d1f/Rudy-Mater,9c474d1f,Rudy-Mat
Gaëtan Bong,cm CMR,DF,22,22,2,1,"1,917",21.3,6,0,/en/players/cfd5e123/Gaetan-Bong,cfd5e123,Gaetan-Bong
Mathieu Dossevi,tg TOG,"FW,MF",24,17,0,2,"1,522",16.9,2,0,/en/players/6421dd73/Mathieu-Dossevi,6421dd73,Mathieu-Dossevi
Bobo Baldé,gn GUI,DF,15,12,0,0,"1,174",13.0,5,0,/en/players/60c76531/Bobo-Balde,60c76531,Bobo-Bald
Foued Kadir,dz ALG,MF,12,11,0,4,957,10.6,0,0,/en/players/0136606c/Foued-Kadir,0136606c,Foued-Kadi
José Saez,fr FRA,MF,19,11,1,0,939,10.4,3,0,/en/players/49f37d05/Jose-Saez,49f37d05,Jose-Saez
Nam Tae-hee,kr KOR,MF,18,11,2,0,934,10.4,0,0,/en/players/484e9d32/Nam-Tae-hee,484e9d32,Nam-Tae-h
Mamadou Samassa,ml MLI,FW,18,9,1,2,911,10.1,2,0,/en/players/f5ce7201/Mamadou-Samassa,f5ce7201,Mamadou-Sam
Nicolas Isimat-Mirin,fr FRA,DF,10,6,0,0,616,6.8,0,0,/en/players/14e8e9d7/Nicolas-Isimat-Mirin,14e8e9d7,Nicolas-Isimat-Miri
Vincent Aboubakar,cm CMR,FW,17,4,1,1,518,5.8,0,0,/en/players/8637e09a/Vincent-Aboubakar,8637e09a,Vincent-Aboubak
Nicolas Pallois,fr FRA,DF,11,4,0,0,431,4.8,1,0,/en/players/779847d6/Nicolas-Pallois,779847d6,Nicolas-Palloi
Rafael Schmitz,br BRA,DF,5,3,0,0,292,3.2,1,0,/en/players/148e746e/Rafael-Schmitz,148e746e,Rafael-Schmitz
Guillaume Loriot,fr FRA,MF,4,3,0,0,248,2.8,0,0,/en/players/e4fec8fa/Guillaume-Loriot,4fec8fa,Guillaume-Loriot
Fahid Ben Khalfallah,tn TUN,"FW,MF",3,2,0,0,192,2.1,1,0,/en/players/d189a874/Fahid-Ben-Khalfallah,d189a874,Fahid-Ben-Khalfallah
Steeven Langil,fr FRA,"FW,MF",7,0,0,1,94,1.0,0,0,/en/players/5086c324/Steeven-Langil,5086c324,Steeven-Langi
Kama Massampu,fr FRA,FW,2,0,0,0,22,0.2,0,0,/en/players/566abe5b/Kama-Massampu,566abe5b,Kama-Massampu
Lilian Bochet,fr FRA,MF,1,0,0,0,7,0.1,0,0,/en/players/53452521/Lilian-Bochet,53452521,Lilian-Bochet
