,Player,Link,Player_id,Player_name,Nationality,Position
0,﻿Rudy Mater,/en/players/9c474d1f/Rudy-Mater,9c474d1f,Rudy-Mat,fr FRA,DF
1,Maxence Flachez,/en/players/854d0707/Maxence-Flachez,854d0707,Maxence-Flachez,fr FRA,DF
2,Steve Savidan,/en/players/860274ac/Steve-Savidan,860274ac,Steve-Savid,fr FRA,FW
3,Nicolas Penneteau,/en/players/3870f7c3/Nicolas-Penneteau,3870f7c3,Nicolas-Penneteau,fr FRA,GK
4,Guillaume Rippert,/en/players/0a17b9f9/Guillaume-Rippert,0a17b9f9,Guillaume-Rippert,fr FRA,DF
5,Geoffrey Doumeng,/en/players/e3ed8be7/Geoffrey-Doumeng,3ed8be7,Geoffrey-Doumeng,fr FRA,MF
6,Patrick Paauwe,/en/players/0839191a/Patrick-Paauwe,0839191a,Patrick-Paauw,nl NED,"DF,MF"
7,Éric Chelle,/en/players/5180be7d/Eric-Chelle,5180be7d,Eric-Ch,ml MLI,DF
8,Sébastien Roudet,/en/players/23fd1821/Sebastien-Roudet,23fd1821,Sebastien-Roudet,fr FRA,MF
9,Laurent Dufresne,/en/players/6dc937fc/Laurent-Dufresne,6dc937fc,Laurent-Duf,fr FRA,FW
10,Rudy Haddad,/en/players/328b6607/Rudy-Haddad,328b6607,Rudy-Haddad,fr FRA,MF
11,José Saez,/en/players/49f37d05/Jose-Saez,49f37d05,Jose-Saez,fr FRA,MF
12,Florin Bratu,/en/players/de55b279/Florin-Bratu,de55b279,Florin-Bratu,ro ROU,FW
13,Yacine Bezzaz,/en/players/ae989766/Yacine-Bezzaz,989766,Yacine-Bezzaz,dz ALG,MF
14,Mody Traoré,/en/players/1dfc8347/Mody-Traore,1dfc8347,Mody-Trao,fr FRA,DF
15,Abdeslam Ouaddou,/en/players/02bb0e65/Abdeslam-Ouaddou,02bb0e65,Abdeslam-Ouaddou,ma MAR,"DF,MF"
16,Eric Hassli,/en/players/45af85fa/Eric-Hassli,45af85fa,Eric-Hassli,fr FRA,FW
17,Jeovânio,/en/players/10847ce5/Jeovanio,10847ce5,Jeovanio,br BRA,MF
18,Willy Grondin,/en/players/d22779ae/Willy-Grondin,d22779ae,Willy-Grondi,fr FRA,GK
19,Freddy Bourgeois,/en/players/46e417fc/Freddy-Bourgeois,46e417fc,Freddy-Bourgeoi,fr FRA,"FW,MF"
20,Orlando Silvestri,/en/players/7d658847/Orlando-Silvestri,7d658847,Orlando-Silvestri,fr FRA,"DF,FW"
21,Thomas Dossevi,/en/players/c76b6b18/Thomas-Dossevi,c76b6b18,Thomas-Dossevi,tg TOG,"FW,MF"
22,Ludovic Liron,/en/players/79bef70b/Ludovic-Liron,79bef70b,Ludovic-Liro,fr FRA,DF
23,Sébastien Heitzmann,/en/players/2f0811ca/Sebastien-Heitzmann,2f0811ca,Sebastien-Heitzm,fr FRA,FW
