2009-2010,Valladolid
Player,Nationality,Position,Game,Games Starts,Assists,Goals,Minutes,Minutes 90s,Yellow Card,Red Card,Link,Player_id,Player_name
﻿Diego Costa,es ESP,FW,34,32,4,8,"2,858",31.8,9,1,/en/players/a190d597/Diego-Costa,190d597,Diego-Cost
Pedro López Muñoz,es ESP,DF,31,30,0,0,"2,602",28.9,5,0,/en/players/a60823a4/Pedro-Lopez-Munoz,60823a4,Pedro-Lopez-Munoz
Borja Fernández,es ESP,MF,31,30,0,0,"2,456",27.3,11,2,/en/players/9127f9ce/Borja-Fernandez,9127f9ce,Borja-Fernandez
Justo Villar,py PAR,GK,23,23,0,0,"2,005",22.3,1,1,/en/players/af30779d/Justo-Villar,f30779d,Justo-Vi
Nivaldo,br BRA,DF,25,23,0,3,"1,973",21.9,7,2,/en/players/f5d83616/Nivaldo,f5d83616,Nivaldo
Fabián Canobbio,uy URU,MF,24,21,1,1,"1,784",19.8,2,0,/en/players/8a010a9b/Fabian-Canobbio,8a010a9b,Fabian-Canobbio
Nauzet Alemán,es ESP,MF,26,21,3,6,"1,622",18.0,8,0,/en/players/4cf8242b/Nauzet-Aleman,4cf8242b,Nauzet-Alem
Manucho,ao ANG,FW,28,20,2,4,"1,728",19.2,5,1,/en/players/89b18034/Manucho,89b18034,Manucho
Luis Prieto Zalbidegoitia,es ESP,DF,20,19,0,0,"1,547",17.2,4,1,/en/players/8ae9541e/Luis-Prieto-Zalbidegoitia,8ae9541e,Luis-Prieto-Zalbidegoiti
Javier Baraja,es ESP,"DF,MF",25,18,0,2,"1,654",18.4,5,0,/en/players/6514cd55/Javier-Baraja,6514cd55,Javier-Baraj
Alberto Marcos Rey,es ESP,DF,21,18,1,0,"1,556",17.3,4,1,/en/players/7fd2179f/Alberto-Marcos-Rey,7fd2179f,Alberto-Marcos-R
César Arzo,es ESP,"DF,MF",22,17,1,1,"1,722",19.1,7,1,/en/players/0ea37b10/Cesar-Arzo,0ea37b10,Cesar-Arzo
Pelé,pt POR,MF,23,17,0,0,"1,696",18.8,10,0,/en/players/54bf0bc3/Pele,54bf0bc3,P
Álvaro Rubio,es ESP,"DF,MF",16,16,0,0,"1,334",14.8,1,0,/en/players/149770b8/Alvaro-Rubio,149770b8,Alvaro-Rubio
Jacobo,es ESP,GK,15,14,0,0,"1,305",14.5,2,0,/en/players/bb575fe7/Jacobo,bb575fe7,Jacobo
Antonio Barragán,es ESP,"DF,MF",17,14,0,0,"1,247",13.9,4,0,/en/players/487d9b09/Antonio-Barragan,487d9b09,Antonio-Barrag
Jonathan Sesma,es ESP,"FW,MF",17,14,2,1,988,11.0,1,0,/en/players/7484a7cc/Jonathan-Sesma,7484a7cc,Jonathan-Sesm
Asier del Horno,es ESP,DF,13,13,0,0,"1,165",12.9,6,1,/en/players/eb525f4a/Asier-del-Horno,b525f4a,Asier-del-Horno
Henrique Sereno,pt POR,DF,12,12,0,0,"1,080",12.0,2,0,/en/players/70b198d8/Henrique-Sereno,70b198d8,Henrique-Sereno
Marquitos,es ESP,"FW,MF",19,10,1,2,807,9.0,1,0,/en/players/b5e3874c/Marquitos,b5e3874c,Marquito
Haris Medunjanin,ba BIH,MF,24,9,1,5,"1,106",12.3,3,0,/en/players/de5d5d41/Haris-Medunjanin,de5d5d41,Haris-Medunjani
Alberto Bueno,es ESP,"FW,MF",20,7,0,1,863,9.6,0,0,/en/players/9b878773/Alberto-Bueno,9b878773,Alberto-Bueno
Carlos Lázaro,es ESP,MF,8,6,0,0,575,6.4,1,0,/en/players/785894a8/Carlos-Lazaro,785894a8,Carlos-Lazaro
Keko,es ESP,"FW,MF",13,4,1,0,533,5.9,0,0,/en/players/1512328c/Keko,1512328c,Keko
Héctor Font,es ESP,MF,10,3,0,0,363,4.0,2,0,/en/players/9982593d/Hector-Font,9982593d,Hector-Font
Sisi,es ESP,"FW,MF",5,3,0,1,288,3.2,1,0,/en/players/add7ec92/Sisi,dd7ec92,Sisi
Yuri Berchiche,es ESP,DF,1,1,0,0,90,1.0,1,0,/en/players/b6e50615/Yuri-Berchiche,b6e50615,Yuri-Berchich
Fabricio,es ESP,GK,1,1,0,0,90,1.0,0,0,/en/players/af245161/Fabricio,f245161,Fabricio
Raúl Navas,es ESP,DF,1,1,,0,90,1.0,0,0,/en/players/ad178594/Raul-Navas,d178594,Raul-Nav
Asier,es ESP,MF,1,1,0,0,74,0.8,0,0,/en/players/c599392e/Asier,c599392e,Asi
Sergio García,es ESP,FW,1,0,0,0,57,0.6,0,0,/en/players/caf2dc95/Sergio-Garcia,caf2dc95,Sergio-Garci
