Id,Player,Nationality,Position,Game,Games Starts,Assists,Goals,season,Player_id,Club,Minutes,Minutes 90s,Yellow Card,Red Card,Club_Id,Nationality_Id,Player_Id_DB,club
,﻿Albano Bizzarri,ar ARG,GK,38,38,0.0,0.0,2002-2003,32b9b5fa,Valladolid,"3,420",38.0,4.0,0.0,50.0,5.0,2502.0,Valladolid
,Gonzalo Colsa,es ESP,MF,37,37,3.0,5.0,2002-2003,6fa12b44,Valladolid,"3,186",35.4,6.0,1.0,50.0,1.0,,Valladolid
,Javier Torres Gómez,es ESP,DF,35,35,3.0,0.0,2002-2003,677aa169,Valladolid,"3,142",34.9,10.0,0.0,50.0,1.0,2503.0,Valladolid
,Fernando Sales,es ESP,MF,35,35,3.0,6.0,2002-2003,24486536,Valladolid,"3,135",34.8,2.0,0.0,50.0,1.0,,Valladolid
,Juan Manuel Peña,bo BOL,DF,29,28,0.0,0.0,2002-2003,0f7909da,Valladolid,"2,497",27.7,10.0,1.0,50.0,64.0,,Valladolid
,Alberto Marcos Rey,es ESP,DF,28,28,1.0,0.0,2002-2003,7fd2179f,Valladolid,"2,406",26.7,4.0,1.0,50.0,1.0,2504.0,Valladolid
,David Aganzo,es ESP,FW,30,23,1.0,9.0,2002-2003,97e3ba49,Valladolid,"2,062",22.9,6.0,1.0,50.0,1.0,2505.0,Valladolid
,Óscar,es ESP,MF,30,22,3.0,3.0,2002-2003,627650df,Valladolid,"2,051",22.8,4.0,0.0,50.0,1.0,2506.0,Valladolid
,Gaspar,es ESP,DF,24,21,0.0,0.0,2002-2003,75e5329b,Valladolid,"1,809",20.1,6.0,0.0,50.0,1.0,,Valladolid
,Nicolás Olivera,uy URU,"FW,MF",20,17,4.0,4.0,2002-2003,691fd00c,Valladolid,"1,351",15.0,2.0,0.0,50.0,8.0,2507.0,Valladolid
,Mario,es ESP,DF,17,15,0.0,1.0,2002-2003,6ede7f4,Valladolid,"1,346",15.0,0.0,0.0,50.0,1.0,,Valladolid
,Óscar Sánchez,es ESP,DF,17,14,0.0,0.0,2002-2003,fe4c5d4e,Valladolid,"1,286",14.3,3.0,0.0,50.0,1.0,2508.0,Valladolid
,José Luis Caminero,es ESP,"FW,MF",22,14,0.0,0.0,2002-2003,f9199e3b,Valladolid,"1,231",13.7,5.0,0.0,50.0,1.0,2509.0,Valladolid
,Chema,es ESP,MF,24,12,0.0,1.0,2002-2003,6c53d111,Valladolid,"1,198",13.3,1.0,0.0,50.0,1.0,2510.0,Valladolid
,Jonathan Martín,es ESP,DF,16,12,0.0,1.0,2002-2003,79e046e0,Valladolid,"1,113",12.4,3.0,1.0,50.0,1.0,2511.0,Valladolid
,Sergio Pachón,es ESP,FW,24,12,1.0,2.0,2002-2003,85fca9,Valladolid,"1,073",11.9,2.0,0.0,50.0,1.0,2512.0,Valladolid
,Jesús Sánchez,es ESP,MF,14,11,1.0,0.0,2002-2003,92bade1,Valladolid,909,10.1,4.0,0.0,50.0,1.0,2513.0,Valladolid
,Javier Muñoz,ar ARG,DF,13,10,0.0,0.0,2002-2003,492e1cd3,Valladolid,972,10.8,5.0,1.0,50.0,5.0,2514.0,Valladolid
,Dragan Ćirić,rs SRB,MF,19,9,2.0,1.0,2002-2003,680a7e96,Valladolid,804,8.9,0.0,0.0,50.0,28.0,2515.0,Valladolid
,Antonio López,es ESP,MF,11,9,1.0,2.0,2002-2003,1fdd5ff7,Valladolid,781,8.7,2.0,0.0,50.0,1.0,,Valladolid
,Pablo Ricchetti,ar ARG,"DF,MF",10,7,0.0,0.0,2002-2003,69952e6a,Valladolid,671,7.5,3.0,0.0,50.0,5.0,2516.0,Valladolid
,David Sousa,es ESP,MF,19,5,2.0,0.0,2002-2003,292a8dbe,Valladolid,586,6.5,3.0,1.0,50.0,1.0,2517.0,Valladolid
,Xavier Moré,es ESP,"FW,MF",3,2,0.0,0.0,2002-2003,3557d107,Valladolid,200,2.2,0.0,0.0,50.0,1.0,2518.0,Valladolid
,José Luis Santamaría,es ESP,DF,2,1,0.0,0.0,2002-2003,495f0364,Valladolid,110,1.2,0.0,0.0,50.0,1.0,2519.0,Valladolid
,Álvaro Antón,es ESP,MF,1,1,,0.0,2002-2003,90041d71,Valladolid,65,0.7,0.0,0.0,50.0,1.0,2520.0,Valladolid
,Javier Jiménez,es ESP,MF,2,0,0.0,0.0,2002-2003,ba83479,Valladolid,51,0.6,0.0,0.0,50.0,1.0,2521.0,Valladolid
,Agustín Villar,es ESP,MF,1,0,,0.0,2002-2003,108ca6ae,Valladolid,25,0.3,0.0,0.0,50.0,1.0,2522.0,Valladolid
,﻿Albano Bizzarri,ar ARG,GK,38,38,0.0,0.0,2003-2004,32b9b5fa,Valladolid,"3,375",37.5,4.0,1.0,50.0,5.0,2502.0,Valladolid
,Fernando Sales,es ESP,MF,35,35,8.0,3.0,2003-2004,24486536,Valladolid,"3,020",33.6,8.0,0.0,50.0,1.0,,Valladolid
,Javier Torres Gómez,es ESP,DF,34,34,1.0,0.0,2003-2004,677aa169,Valladolid,"3,024",33.6,10.0,1.0,50.0,1.0,2503.0,Valladolid
,Alberto Marcos Rey,es ESP,DF,33,33,1.0,0.0,2003-2004,7fd2179f,Valladolid,"2,855",31.7,8.0,1.0,50.0,1.0,2504.0,Valladolid
,Óscar,es ESP,MF,37,33,1.0,10.0,2003-2004,627650df,Valladolid,"2,849",31.7,4.0,0.0,50.0,1.0,2506.0,Valladolid
,Jesús Sánchez,es ESP,MF,27,27,0.0,4.0,2003-2004,92bade1,Valladolid,"2,277",25.3,9.0,1.0,50.0,1.0,2513.0,Valladolid
,Júlio César,br BRA,DF,28,26,0.0,1.0,2003-2004,754ac76b,Valladolid,"2,296",25.5,8.0,1.0,50.0,2.0,2523.0,Valladolid
,Pablo Ricchetti,ar ARG,"DF,MF",30,24,1.0,1.0,2003-2004,69952e6a,Valladolid,"2,293",25.5,12.0,2.0,50.0,5.0,2516.0,Valladolid
,Jonathan Martín,es ESP,DF,31,24,0.0,2.0,2003-2004,79e046e0,Valladolid,"2,276",25.3,6.0,0.0,50.0,1.0,2511.0,Valladolid
,David Sousa,es ESP,MF,24,23,4.0,3.0,2003-2004,292a8dbe,Valladolid,"1,752",19.5,10.0,0.0,50.0,1.0,2517.0,Valladolid
,José Luis Caminero,es ESP,"FW,MF",27,22,1.0,1.0,2003-2004,f9199e3b,Valladolid,"1,833",20.4,7.0,0.0,50.0,1.0,2509.0,Valladolid
,Roberto Losada,es ESP,FW,27,19,2.0,8.0,2003-2004,547ccdd5,Valladolid,"1,849",20.5,2.0,0.0,50.0,1.0,2524.0,Valladolid
,Juan Manuel Peña,bo BOL,DF,21,19,0.0,0.0,2003-2004,0f7909da,Valladolid,"1,672",18.6,7.0,2.0,50.0,64.0,,Valladolid
,Ariza Makukula,pt POR,FW,18,18,3.0,8.0,2003-2004,62ce8bd7,Valladolid,"1,474",16.4,6.0,0.0,50.0,3.0,,Valladolid
,Víctor Zapata,ar ARG,MF,25,17,3.0,2.0,2003-2004,889a705f,Valladolid,"1,453",16.1,2.0,0.0,50.0,5.0,2525.0,Valladolid
,Chema,es ESP,MF,23,11,2.0,2.0,2003-2004,6c53d111,Valladolid,"1,078",12.0,4.0,1.0,50.0,1.0,2510.0,Valladolid
,Pablo Paz,ar ARG,DF,9,4,0.0,0.0,2003-2004,3eaddf7e,Valladolid,514,5.7,3.0,0.0,50.0,5.0,2526.0,Valladolid
,Óscar Sánchez,es ESP,DF,10,3,0.0,0.0,2003-2004,fe4c5d4e,Valladolid,363,4.0,2.0,0.0,50.0,1.0,2508.0,Valladolid
,Diego Figueredo,py PAR,MF,8,3,0.0,0.0,2003-2004,5848acb3,Valladolid,311,3.5,2.0,0.0,50.0,43.0,2527.0,Valladolid
,Rafa,es ESP,"DF,MF",3,2,,0.0,2003-2004,0b89dbcc,Valladolid,98,1.1,0.0,0.0,50.0,1.0,2528.0,Valladolid
,Xavier Moré,es ESP,"FW,MF",4,1,0.0,0.0,2003-2004,3557d107,Valladolid,140,1.6,0.0,0.0,50.0,1.0,2518.0,Valladolid
,Sergio Pachón,es ESP,FW,3,1,0.0,0.0,2003-2004,85fca9,Valladolid,98,1.1,0.0,0.0,50.0,1.0,2512.0,Valladolid
,Javier Jiménez,es ESP,MF,4,1,0.0,0.0,2003-2004,ba83479,Valladolid,54,0.6,1.0,0.0,50.0,1.0,2521.0,Valladolid
,Martín Cardetti,ar ARG,FW,11,0,0.0,0.0,2003-2004,4fc03ad,Valladolid,195,2.2,0.0,0.0,50.0,5.0,2529.0,Valladolid
,Dragan Ćirić,rs SRB,MF,8,0,0.0,1.0,2003-2004,680a7e96,Valladolid,153,1.7,0.0,0.0,50.0,28.0,2515.0,Valladolid
,Catriel Orcellet,ar ARG,GK,1,0,0.0,0.0,2003-2004,41f308e4,Valladolid,45,0.5,0.0,0.0,50.0,5.0,2530.0,Valladolid
,﻿Albano Bizzarri,ar ARG,GK,39,38,0.0,0.0,2004-2005,32b9b5fa,Valladolid,"3,475",38.6,3.0,0.0,50.0,5.0,2502.0,Valladolid
,José Manuel Mateo,es ESP,DF,38,38,4.0,2.0,2004-2005,d7458f0a,Valladolid,"3,420",38.0,9.0,0.0,50.0,1.0,,Valladolid
,Óscar Sánchez,es ESP,DF,39,36,1.0,6.0,2004-2005,fe4c5d4e,Valladolid,"3,148",35.0,11.0,0.0,50.0,1.0,2508.0,Valladolid
,David Sousa,es ESP,MF,31,30,6.0,3.0,2004-2005,292a8dbe,Valladolid,"2,268",25.2,11.0,0.0,50.0,1.0,2517.0,Valladolid
,Julián Robles,es ESP,MF,34,27,0.0,1.0,2004-2005,9b429a7,Valladolid,"2,482",27.6,7.0,0.0,50.0,1.0,,Valladolid
,Aritz Aduriz,es ESP,FW,32,27,5.0,14.0,2004-2005,293211e1,Valladolid,"2,437",27.1,9.0,1.0,50.0,1.0,,Valladolid
,Alberto Marcos Rey,es ESP,DF,27,27,0.0,0.0,2004-2005,7fd2179f,Valladolid,"2,155",23.9,10.0,1.0,50.0,1.0,2504.0,Valladolid
,Mario,es ESP,DF,26,26,1.0,0.0,2004-2005,6ede7f4,Valladolid,"2,291",25.5,9.0,0.0,50.0,1.0,,Valladolid
,Diego Figueredo,py PAR,MF,28,26,2.0,3.0,2004-2005,5848acb3,Valladolid,"2,047",22.7,5.0,0.0,50.0,43.0,2527.0,Valladolid
,Chema,es ESP,MF,31,23,0.0,2.0,2004-2005,6c53d111,Valladolid,"2,070",23.0,8.0,0.0,50.0,1.0,2510.0,Valladolid
,Jonathan Martín,es ESP,DF,26,23,0.0,0.0,2004-2005,79e046e0,Valladolid,"2,060",22.9,10.0,0.0,50.0,1.0,2511.0,Valladolid
,Javier Torres Gómez,es ESP,DF,25,22,0.0,0.0,2004-2005,677aa169,Valladolid,"1,781",19.8,6.0,1.0,50.0,1.0,2503.0,Valladolid
,Víctor,es ESP,FW,33,20,8.0,8.0,2004-2005,00979380,Valladolid,"1,885",20.9,3.0,0.0,50.0,1.0,,Valladolid
