2015-2016,Villarreal
Player,Nationality,Position,Game,Games Starts,Assists,Goals,Minutes,Minutes 90s,Yellow Card,Red Card,Link,Player_id,Player_name
﻿Víctor Ruiz,es ESP,DF,35,32,0,0,"2,991",33.2,10,0,/en/players/b3dc6eca/Victor-Ruiz,b3dc6eca,Victor-Ruiz
Alphonse Areola,fr FRA,GK,32,32,0,0,"2,880",32.0,1,0,/en/players/2f965a72/Alphonse-Areola,2f965a72,Alphonse-Areo
Mario Gaspar,es ESP,DF,33,32,2,2,"2,874",31.9,8,0,/en/players/fb5d47b3/Mario-Gaspar,fb5d47b3,Mario-G
Bruno Soriano,es ESP,MF,31,28,1,5,"2,596",28.8,5,1,/en/players/09332647/Bruno-Soriano,09332647,Bruno-Soriano
Roberto Soldado,es ESP,FW,28,27,10,5,"2,246",25.0,12,0,/en/players/9d66fbe3/Roberto-Soldado,9d66fbe3,Roberto-Soldado
Denis Suárez,es ESP,MF,33,25,4,4,"2,373",26.4,3,0,/en/players/12c50af5/Denis-Suarez,12c50af5,Denis-Suarez
Eric Bailly,ci CIV,DF,25,25,0,0,"2,019",22.4,11,1,/en/players/a1232f4e/Eric-Bailly,1232f4e,Eric-Bai
Manu Trigueros,es ESP,MF,31,24,1,2,"2,114",23.5,5,0,/en/players/963829d0/Manu-Trigueros,963829d0,Manu-Triguero
Cédric Bakambu,cd COD,FW,34,21,3,12,"1,859",20.7,4,0,/en/players/0af4dcf0/Cedric-Bakambu,0af4dcf0,Cedric-Bakambu
Jonathan dos Santos,mx MEX,MF,26,20,1,0,"1,758",19.5,4,0,/en/players/91872dec/Jonathan-dos-Santos,91872dec,Jonathan-dos-Santo
Samu Castillejo,es ESP,MF,28,19,1,1,"1,695",18.8,4,0,/en/players/130a7a3f/Samu-Castillejo,130a7a3f,Samu-Castillejo
Tomás Pina Isla,es ESP,MF,27,19,1,0,"1,633",18.1,4,0,/en/players/e54bd0a2/Tomas-Pina-Isla,54bd0a2,Tomas-Pina-I
Jaume Costa,es ESP,DF,18,17,1,1,"1,538",17.1,8,0,/en/players/808d48f3/Jaume-Costa,808d48f3,Jaume-Cost
Antonio Rukavina,rs SRB,"DF,MF",18,14,0,0,"1,349",15.0,5,0,/en/players/e12d7851/Antonio-Rukavina,12d7851,Antonio-Rukavi
Léo Baptistão,br BRA,FW,26,12,1,3,"1,266",14.1,1,0,/en/players/35f6db55/Leo-Baptistao,35f6db55,Leo-Baptistao
Mateo Musacchio,ar ARG,DF,13,12,0,1,"1,007",11.2,1,0,/en/players/91899ca8/Mateo-Musacchio,91899ca8,Mateo-Musacchio
Matías Nahuel,es ESP,"MF,FW",20,11,1,0,"1,002",11.1,4,0,/en/players/48e4c485/Matias-Nahuel,48e4c485,Matias-Nahu
Daniele Bonera,it ITA,DF,14,10,0,0,974,10.8,5,1,/en/players/13b0c150/Daniele-Bonera,13b0c150,Daniele-Bo
Adrián Marín,es ESP,DF,11,10,0,0,926,10.3,1,0,/en/players/b7f2edff/Adrian-Marin,b7f2edff,Adrian-Mari
Adrián López,es ESP,FW,16,10,4,4,788,8.8,1,0,/en/players/88a359d4/Adrian-Lopez,88a359d4,Adrian-Lopez
Samu García,es ESP,"MF,FW",16,7,1,2,766,8.5,2,0,/en/players/5f7db81a/Samu-Garcia,5f7db81a,Samu-Garci
Sergio Asenjo,es ESP,GK,4,4,0,0,360,4.0,1,0,/en/players/9f0ea33f/Sergio-Asenjo,9f0ea33f,Sergio-Asenjo
Mariano Barbosa,ar ARG,GK,2,2,0,0,180,2.0,0,0,/en/players/aad4f74f/Mariano-Barbosa,d4f74f,Mariano-Barbo
Bojan Jokić,si SVN,DF,2,2,0,0,125,1.4,2,1,/en/players/8ac44cc2/Bojan-Jokic,8ac44cc2,Bojan-Jokic
Alfonso Pedraza,es ESP,MF,2,2,0,0,105,1.2,0,0,/en/players/63f04c6c/Alfonso-Pedraza,63f04c6c,Alfonso-Pedraz
Rodri,es ESP,MF,3,1,0,0,95,1.1,1,0,/en/players/6434f10d/Rodri,6434f10d,Rodri
Pablo Íñiguez,es ESP,"DF,MF",0,0,,,,,,,/en/players/dd55192d/Pablo-Iniguez,dd55192d,Pablo-Iniguez
Miguel Juan Llambrich,es ESP,DF,0,0,,,,,,,/en/players/d83f09ff/Miguel-Juan-Llambrich,d83f09ff,Miguel-Juan-Llambrich
