2013-2014,Watford
Player,Nationality,Position,Game,Games Starts,Assists,Goals,Minutes,Minutes 90s,Yellow Card,Red Card,Link,Player_id,Player_name
﻿Troy Deeney,eng ENG,FW,44,44,3,24,"3,960",44.0,2,0,/en/players/82e34b69/Troy-Deeney,82e34b69,Troy-D
Gabriele Angella,it ITA,DF,40,39,3,7,"3,507",39.0,10,1,/en/players/0c971997/Gabriele-Angella,0c971997,Gabriele-Ang
Manuel Almunia,es ESP,GK,37,37,0,0,"3,285",36.5,1,0,/en/players/9f6b2f8c/Manuel-Almunia,9f6b2f8c,Manuel-Almuni
Marco Cassetti,it ITA,"DF,MF",35,32,1,1,"2,870",31.9,10,1,/en/players/d607e02f/Marco-Cassetti,d607e02f,Marco-Cassetti
Joel Ekstrand,se SWE,DF,33,31,0,0,"2,652",29.5,11,0,/en/players/92617483/Joel-Ekstrand,92617483,Joel-Ekstrand
Lewis McGugan,eng ENG,MF,34,31,5,10,"2,513",27.9,7,0,/en/players/711d9cce/Lewis-McGugan,711d9cce,Lewis-McGug
Ikechi Anya,sct SCO,"FW,MF",35,29,7,5,"2,650",29.4,0,0,/en/players/c55e973d/Ikechi-Anya,c55e973d,Ikechi-A
Daniel Pudil,cz CZE,"DF,FW",37,29,3,2,"2,620",29.1,4,0,/en/players/271ec577/Daniel-Pudil,271ec577,Daniel-Pudi
Davide Faraoni,it ITA,"DF,MF",38,26,2,2,"2,268",25.2,9,0,/en/players/aae9d04a/Davide-Faraoni,9d04a,Davide-Faraoni
Lloyd Doyley,jm JAM,DF,24,23,0,0,"1,938",21.5,1,0,/en/players/d206d76b/Lloyd-Doyley,d206d76b,Lloyd-Do
Sean Murray,ie IRL,MF,34,22,2,3,"1,953",21.7,2,0,/en/players/11b4f41a/Sean-Murray,11b4f41a,Sean-Mu
Cristian Battocchio,it ITA,MF,35,21,3,4,"2,007",22.3,2,0,/en/players/0f9b8301/Cristian-Battocchio,0f9b8301,Cristian-Battocchio
Dániel Tőzsér,hu HUN,MF,20,20,2,0,"1,800",20.0,8,0,/en/players/72d6b151/Daniel-Tozser,72d6b151,Daniel-Toz
Fernando Forestieri,it ITA,"FW,MF",28,19,3,7,"1,791",19.9,8,0,/en/players/d60c26fc/Fernando-Forestieri,d60c26fc,Fernando-Forestieri
Iriney,br BRA,MF,15,12,0,0,900,10.0,4,0,/en/players/09296fcc/Iriney,09296fcc,Iri
Almen Abdi,ch SUI,MF,13,9,4,2,936,10.4,1,0,/en/players/8d425d84/Almen-Abdi,8d425d84,Almen-Abdi
Jonathan Bond,eng ENG,GK,10,9,0,0,855,9.5,0,0,/en/players/c3a86eea/Jonathan-Bond,c3a86eea,Jonathan-Bond
Diego Fabbrini,it ITA,"FW,MF",21,8,0,1,976,10.8,1,0,/en/players/762cf8e4/Diego-Fabbrini,762cf8e4,Diego-Fabbrini
Mathias Ranégie,se SWE,FW,10,8,1,4,723,8.0,2,1,/en/players/064c523e/Mathias-Ranegie,064c523e,Mathias-Ranegi
George Thorne,eng ENG,MF,8,8,1,0,698,7.8,1,0,/en/players/e1a933d2/George-Thorne,1a933d2,George-Tho
Alexander Merkel,kz KAZ,MF,11,7,2,1,548,6.1,1,1,/en/players/5181e2cb/Alexander-Merkel,5181e2cb,Alexander-Merk
Albert Riera,es ESP,"DF,FW",8,6,0,1,525,5.8,4,1,/en/players/3a0a5056/Albert-Riera,3a0a5056,Albert-Ri
Héctor Bellerín,es ESP,"DF,MF",8,6,1,0,518,5.8,1,0,/en/players/f874dd44/Hector-Bellerin,f874dd44,Hector-Belleri
Essaïd Belkalem,dz ALG,DF,8,5,0,0,516,5.7,4,0,/en/players/747e6a95/Essaid-Belkalem,747e6a95,Essaid-Belkalem
Tommie Hoban,ie IRL,DF,7,5,0,0,514,5.7,1,0,/en/players/45045170/Tommie-Hoban,45045170,Tommie-Hob
Josh McEachran,eng ENG,MF,7,5,0,0,491,5.5,0,0,/en/players/48565585/Josh-McEachran,48565585,Josh-McEach
Nyron Nosworthy,jm JAM,DF,5,5,0,0,380,4.2,1,0,/en/players/288c9867/Nyron-Nosworthy,288c9867,Nyron-Nosworth
Javier Acuña,py PAR,FW,9,3,0,0,287,3.2,2,0,/en/players/993ff7aa/Javier-Acuna,993ff7aa,Javier-Acu
Fitz Hall,eng ENG,"DF,FW",5,3,0,0,267,3.0,0,0,/en/players/f799f31c/Fitz-Hall,f799f31c,Fitz-H
