,Player,Link,Player_name(param),Player_id(param)
0,﻿Alec Chamberlain,/en/players/b74bad11/Alec-Chamberlain,Alec-Chamberlain,b74bad11
1,Neal Ardley,/en/players/124a61d8/Neal-Ardley,Neal-Ardley,124a61d8
2,Neil Cox,/en/players/dee2b65d/Neil-Cox,Neil-Cox,dee2b65d
3,Micah Hyde,/en/players/eb0b35f4/Micah-Hyde,Micah-Hyde,eb0b35f4
4,Paul Robinson,/en/players/80cdbbe1/Paul-Robinson,Paul-Robinson,80cdbbe1
5,Allan Nielsen,/en/players/daa8f643/Allan-Nielsen,Allan-Nielsen,daa8f643
6,Marcus Gayle,/en/players/b80303a7/Marcus-Gayle,Marcus-Gayle,b80303a7
7,Heiðar Helguson,/en/players/5491eca5/Heidar-Helguson,Heidar-Helguson,5491eca5
8,Stephen Glass,/en/players/56ce2fd5/Stephen-Glass,Stephen-Glass,56ce2fd5
9,Tommy Smith,/en/players/066be641/Tommy-Smith,Tommy-Smith,066be641
10,Sean Dyche,/en/players/24ef6810/Sean-Dyche,Sean-Dyche,24ef6810
11,Lloyd Doyley,/en/players/d206d76b/Lloyd-Doyley,Lloyd-Doyley,d206d76b
12,Jamie Hand,/en/players/47e7bcd7/Jamie-Hand,Jamie-Hand,47e7bcd7
13,Paolo Vernazza,/en/players/eafddfa3/Paolo-Vernazza,Paolo-Vernazza,eafddfa3
14,Gavin Mahon,/en/players/410f9002/Gavin-Mahon,Gavin-Mahon,410f9002
15,Wayne Brown,/en/players/07748ae2/Wayne-Brown,Wayne-Brown,07748ae2
16,Jermaine Pennant,/en/players/c6043950/Jermaine-Pennant,Jermaine-Pennant,c6043950
17,Danny Webber,/en/players/046789e9/Danny-Webber,Danny-Webber,046789e9
18,Gifton Noel-Williams,/en/players/27f28090/Gifton-Noel-Williams,Gifton-Noel-Williams,27f28090
19,Dominic Foley,/en/players/238da1d6/Dominic-Foley,Dominic-Foley,238da1d6
20,Jason Norville,/en/players/1f21cead/Jason-Norville,Jason-Norville,1f21cead
21,Richard Johnson,/en/players/218814da/Richard-Johnson,Richard-Johnson,218814da
22,Richard Lee,/en/players/624f2897/Richard-Lee,Richard-Lee,624f2897
23,Michael Chopra,/en/players/e8368ec0/Michael-Chopra,Michael-Chopra,e8368ec0
24,Lee Cook,/en/players/a8ac00c8/Lee-Cook,Lee-Cook,a8ac00c8
25,Anthony McNamee,/en/players/abd2cf8d/Anthony-McNamee,Anthony-McNamee,abd2cf8d
26,Scott Fitzgerald,/en/players/f972666e/Scott-Fitzgerald,Scott-Fitzgerald,f972666e
27,Jerel Ifil,/en/players/cfe2c3c0/Jerel-Ifil,Jerel-Ifil,cfe2c3c0
28,Jack Smith,/en/players/14289cde/Jack-Smith,Jack-Smith,14289cde
29,Elliott Godfrey,/en/players/5432517f/Elliott-Godfrey,Elliott-Godfrey,5432517f
30,﻿Paul Devlin,/en/players/58be3ded/Paul-Devlin,Paul-Devlin,58be3ded
31,Lenny Pidgeley,/en/players/c2469d4e/Lenny-Pidgeley,Lenny-Pidgeley,c2469d4e
32,Alec Chamberlain,/en/players/b74bad11/Alec-Chamberlain,Alec-Chamberlain,b74bad11
33,Bruce Dyer,/en/players/7d5f8f39/Bruce-Dyer,Bruce-Dyer,7d5f8f39
34,Stephen Kelly,/en/players/4d7dd756/Stephen-Kelly,Stephen-Kelly,4d7dd756
35,Paul Mayo,/en/players/32d5c398/Paul-Mayo,Paul-Mayo,32d5c398
36,Chris Baird,/en/players/55fd8c81/Chris-Baird,Chris-Baird,55fd8c81
37,Hameur Bouazza,/en/players/baca4d08/Hameur-Bouazza,Hameur-Bouazza,baca4d08
38,Ashley Young,/en/players/be927d03/Ashley-Young,Ashley-Young,be927d03
39,Dominic Blizzard,/en/players/4a05e540/Dominic-Blizzard,Dominic-Blizzard,4a05e540
40,﻿Gavin Mahon,/en/players/410f9002/Gavin-Mahon,Gavin-Mahon,410f9002
41,Brynjar Gunnarsson,/en/players/511aa791/Brynjar-Gunnarsson,Brynjar-Gunnarsson,511aa791
42,Jermaine Darlington,/en/players/0bfba931/Jermaine-Darlington,Jermaine-Darlington,0bfba931
43,Jay DeMerit,/en/players/a554b51e/Jay-DeMerit,Jay-DeMerit,a554b51e
44,Paul Jones,/en/players/3bf1ce9d/Paul-Jones,Paul-Jones,3bf1ce9d
45,Paul Devlin,/en/players/58be3ded/Paul-Devlin,Paul-Devlin,58be3ded
46,Johnnie Jackson,/en/players/1853aad9/Johnnie-Jackson,Johnnie-Jackson,1853aad9
47,Chris Eagles,/en/players/92aadee9/Chris-Eagles,Chris-Eagles,92aadee9
48,Al Bangura,/en/players/525719c7/Al-Bangura,Al-Bangura,525719c7
49,﻿Ben Foster,/en/players/d0b3ceb9/Ben-Foster,Ben-Foster,d0b3ceb9
50,Marlon King,/en/players/0fc9488a/Marlon-King,Marlon-King,0fc9488a
51,Matthew Spring,/en/players/33e1c345/Matthew-Spring,Matthew-Spring,33e1c345
52,Clarke Carlisle,/en/players/4128d875/Clarke-Carlisle,Clarke-Carlisle,4128d875
53,Jordan Stewart,/en/players/99bd8581/Jordan-Stewart,Jordan-Stewart,99bd8581
54,Darius Henderson,/en/players/ea503cef/Darius-Henderson,Darius-Henderson,ea503cef
55,James Chambers,/en/players/4f2a1eb0/James-Chambers,James-Chambers,4f2a1eb0
56,Carl Fletcher,/en/players/0c427217/Carl-Fletcher,Carl-Fletcher,0c427217
57,Joel Grant,/en/players/dc90d045/Joel-Grant,Joel-Grant,dc90d045
58,Trevor Benjamin,/en/players/c5328061/Trevor-Benjamin,Trevor-Benjamin,c5328061
59,Adrian Mariappa,/en/players/8aa5f52c/Adrian-Mariappa,Adrian-Mariappa,8aa5f52c
60,Ben Foster,/en/players/d0b3ceb9/Ben-Foster,Ben-Foster,d0b3ceb9
61,Damien Francis,/en/players/5a0cd907/Damien-Francis,Damien-Francis,5a0cd907
62,Danny Shittu,/en/players/5936d7ac/Danny-Shittu,Danny-Shittu,5936d7ac
63,Malky Mackay,/en/players/d565039b/Malky-Mackay,Malky-Mackay,d565039b
64,Chris Powell,/en/players/721060d9/Chris-Powell,Chris-Powell,721060d9
65,Tamás Priskin,/en/players/706da989/Tamas-Priskin,Tamas-Priskin,706da989
66,Douglas Rinaldi,/en/players/45f0f38d/Douglas-Rinaldi,Douglas-Rinaldi,45f0f38d
67,Will Hoskins,/en/players/25ba1c55/Will-Hoskins,Will-Hoskins,25ba1c55
68,Lee Williamson,/en/players/636ca862/Lee-Williamson,Lee-Williamson,636ca862
69,Gareth Williams,/en/players/6b103fcd/Gareth-Williams,Gareth-Williams,6b103fcd
70,Johan Cavalli,/en/players/efa4038e/Johan-Cavalli,Johan-Cavalli,efa4038e
71,Cédric Avinel,/en/players/a94d93be/Cedric-Avinel,Cedric-Avinel,a94d93be
72,Moses Ashikodi,/en/players/6e3ba254/Moses-Ashikodi,Moses-Ashikodi,6e3ba254
73,Albert Jarrett,/en/players/b2cc7cc0/Albert-Jarrett,Albert-Jarrett,b2cc7cc0
74,Theo Robinson,/en/players/a170bb25/Theo-Robinson,Theo-Robinson,a170bb25
75,﻿Tommy Smith,/en/players/066be641/Tommy-Smith,Tommy-Smith,066be641
76,Jobi McAnuff,/en/players/0f602616/Jobi-McAnuff,Jobi-McAnuff,0f602616
