2002-2003,Werder-Bremen
Player,Nationality,Position,Game,Games Starts,Assists,Goals,Minutes,Minutes 90s,Yellow Card,Red Card,Link,Player_id,Player_name
﻿Paul Stalteri,ca CAN,"DF,MF",33,33,1,0,"2,930",32.6,5,0,/en/players/0a0e673c/Paul-Stalteri,0a0e673c,Paul-Stalteri
Pascal Borel,de GER,GK,31,31,0,0,"2,790",31.0,0,0,/en/players/79277a0f/Pascal-Borel,79277a0f,Pascal-Bo
Fabian Ernst,de GER,MF,31,31,1,2,"2,776",30.8,9,1,/en/players/bc35f9b2/Fabian-Ernst,bc35f9b2,Fabian-Ernst
Mladen Krstajić,rs SRB,DF,31,31,3,2,"2,725",30.3,7,0,/en/players/d19b8686/Mladen-Krstajic,d19b8686,Mladen-Krstajic
Frank Verlaat,nl NED,DF,29,29,1,2,"2,466",27.4,5,1,/en/players/183a6279/Frank-Verlaat,183a6279,Frank-Verlaat
Johan Micoud,fr FRA,MF,28,28,8,5,"2,446",27.2,7,2,/en/players/61e0aa85/Johan-Micoud,61e0aa85,Johan-Micoud
Aílton Gonçalves,br BRA,FW,31,26,9,16,"2,362",26.2,5,0,/en/players/692a249e/Ailton-Goncalves,692a249e,Ailton-Goncalv
Krisztián Lisztes,hu HUN,MF,31,26,5,0,"2,145",23.8,5,1,/en/players/73338e07/Krisztian-Lisztes,73338e07,Krisztian-Liszt
Angelos Charisteas,gr GRE,FW,31,25,3,9,"2,260",25.1,2,1,/en/players/676f422b/Angelos-Charisteas,676f422b,Angelos-Charist
Frank Baumann,de GER,"DF,MF",24,24,1,0,"2,078",23.1,6,0,/en/players/3e328a63/Frank-Baumann,3e328a63,Frank-Baum
Viktor Skrypnyk,ua UKR,"DF,MF",25,21,2,1,"1,923",21.4,5,0,/en/players/5afb2790/Viktor-Skrypnyk,5afb2790,Viktor-Skrypnyk
Markus Daun,de GER,FW,27,18,2,3,"1,359",15.1,2,1,/en/players/55180189/Markus-Daun,55180189,Markus-Dau
Ivica Banović,hr CRO,MF,15,11,0,1,991,11.0,5,0,/en/players/0f348db8/Ivica-Banovic,0f348db8,Ivica-Banovic
Ludovic Magnin,ch SUI,DF,12,10,1,1,726,8.1,2,0,/en/players/7841d47b/Ludovic-Magnin,7841d47b,Ludovic-Magni
Tim Borowski,de GER,MF,17,6,0,0,721,8.0,1,0,/en/players/dc595d51/Tim-Borowski,dc595d51,Tim-Borowski
Christian Schulz,de GER,"DF,MF",11,6,0,0,690,7.7,1,0,/en/players/b8699f1e/Christian-Schulz,b8699f1e,Christian-Schulz
Mike Barten,de GER,DF,7,6,0,0,605,6.7,3,0,/en/players/6590e102/Mike-Barten,6590e102,Mike-Bart
Razundara Tjikuzu,na NAM,"DF,MF",8,6,0,0,523,5.8,4,1,/en/players/d2d2d5bc/Razundara-Tjikuzu,d2d2d5bc,Razundara-Tjikuzu
Jakub Wierzchowski,pl POL,GK,3,3,0,0,270,3.0,0,0,/en/players/704a3422/Jakub-Wierzchowski,704a3422,Jakub-Wierzchowski
Marco Reich,de GER,"FW,MF",15,1,1,0,316,3.5,0,0,/en/players/e1706a91/Marco-Reich,1706a91,Marco-Reich
Ivan Klasnić,hr CRO,FW,12,1,0,2,253,2.8,0,0,/en/players/214ed478/Ivan-Klasnic,214ed478,Ivan-Klasnic
Holger Wehlage,de GER,MF,2,1,0,1,97,1.1,0,0,/en/players/9d90997b/Holger-Wehlage,9d90997b,Holger-Wehlag
Nelson Valdez,py PAR,FW,2,0,0,0,27,0.3,0,0,/en/players/040d8500/Nelson-Valdez,040d8500,Nelson-Valdez
