Id,Player,Link,Player_name,Player_id,Nationality,Position,club
16115.0,Pascal Borel,/en/players/79277a0f/Pascal-Borel,Pascal-Bo,79277a0f,de GER,GK,Werder-Bremen
16116.0,Fabian Ernst,/en/players/bc35f9b2/Fabian-Ernst,Fabian-Ernst,bc35f9b2,de GER,MF,Werder-Bremen
16117.0,Mladen Krstajić,/en/players/d19b8686/Mladen-Krstajic,Mladen-Krstajic,d19b8686,rs SRB,DF,Werder-Bremen
16118.0,Frank Verlaat,/en/players/183a6279/Frank-Verlaat,Frank-Verlaat,183a6279,nl NED,DF,Werder-Bremen
16119.0,Krisztián Lisztes,/en/players/73338e07/Krisztian-Lisztes,Krisztian-Liszt,7.33E+11,hu HUN,MF,Werder-Bremen
16120.0,Frank Baumann,/en/players/3e328a63/Frank-Baumann,Frank-Baum,3e328a63,de GER,"DF,MF",Werder-Bremen
16121.0,Viktor Skrypnyk,/en/players/5afb2790/Viktor-Skrypnyk,Viktor-Skrypnyk,5afb2790,ua UKR,"DF,MF",Werder-Bremen
16122.0,Markus Daun,/en/players/55180189/Markus-Daun,Markus-Dau,55180189,de GER,FW,Werder-Bremen
16123.0,Ivica Banović,/en/players/0f348db8/Ivica-Banovic,Ivica-Banovic,0f348db8,hr CRO,MF,Werder-Bremen
16124.0,Christian Schulz,/en/players/b8699f1e/Christian-Schulz,Christian-Schulz,b8699f1e,de GER,"DF,MF",Werder-Bremen
16125.0,Mike Barten,/en/players/6590e102/Mike-Barten,Mike-Bart,6.59E+105,de GER,DF,Werder-Bremen
16126.0,Razundara Tjikuzu,/en/players/d2d2d5bc/Razundara-Tjikuzu,Razundara-Tjikuzu,d2d2d5bc,na NAM,"DF,MF",Werder-Bremen
16127.0,Jakub Wierzchowski,/en/players/704a3422/Jakub-Wierzchowski,Jakub-Wierzchowski,704a3422,pl POL,GK,Werder-Bremen
16128.0,Holger Wehlage,/en/players/9d90997b/Holger-Wehlage,Holger-Wehlag,9d90997b,de GER,MF,Werder-Bremen
16129.0,Ümit Davala,/en/players/cbc67137/Umit-Davala,Umit-Dav,cbc67137,tr TUR,"DF,MF",Werder-Bremen
16130.0,Pekka Lagerblom,/en/players/498f2256/Pekka-Lagerblom,Pekka-Lagerblom,498f2256,fi FIN,"DF,MF",Werder-Bremen
16131.0,Frank Fahrenhorst,/en/players/bd4685bb/Frank-Fahrenhorst,Frank-Fahrenhorst,bd4685bb,de GER,DF,Werder-Bremen
16132.0,Francis Banecki,/en/players/18896675/Francis-Banecki,Francis-Banecki,18896675,de GER,DF,Werder-Bremen
16133.0,Tim Wiese,/en/players/1f676dd8/Tim-Wiese,Tim-Wi,1f676dd8,de GER,GK,Werder-Bremen
16134.0,Christian Vander,/en/players/6e1095f4/Christian-Vander,Christian-Vand,6e1095f4,de GER,GK,Werder-Bremen
16135.0,Jérome Polenz,/en/players/f1e7b64c/Jerome-Polenz,Jerome-Polenz,f1e7b64c,de GER,"DF,MF",Werder-Bremen
16136.0,Clemens Fritz,/en/players/c739b3ad/Clemens-Fritz,Clemens-Fritz,c739b3ad,de GER,"DF,MF",Werder-Bremen
16137.0,Hugo Almeida,/en/players/740acaf8/Hugo-Almeida,Hugo-Almeid,740acaf8,pt POR,FW,Werder-Bremen
16138.0,Kevin Schindler,/en/players/8b82ac87/Kevin-Schindler,Kevin-Schind,8b82ac87,de GER,"FW,MF",Werder-Bremen
16139.0,Sebastian Boenisch,/en/players/e6a25eeb/Sebastian-Boenisch,Sebastian-Boenisch,6a25eeb,pl POL,DF,Werder-Bremen
16140.0,John Mosquera,/en/players/c4ebf909/John-Mosquera,John-Mosqu,c4ebf909,co COL,FW,Werder-Bremen
16141.0,Carlos Alberto,/en/players/ce3b4ddd/Carlos-Alberto,Carlos-Alberto,ce3b4ddd,br BRA,MF,Werder-Bremen
16142.0,Max Kruse,/en/players/f9446dcd/Max-Kruse,Max-Kru,f9446dcd,de GER,"FW,MF",Werder-Bremen
16143.0,Said Husejinović,/en/players/a4420c01/Said-Husejinovic,Said-Husejinovic,4420c01,ba BIH,MF,Werder-Bremen
16144.0,Torsten Oehrl,/en/players/56b50161/Torsten-Oehrl,Torsten-Oeh,56b50161,de GER,FW,Werder-Bremen
16145.0,Timo Perthel,/en/players/5a8fb9fd/Timo-Perthel,Timo-Perth,5a8fb9fd,de GER,"DF,MF",Werder-Bremen
16146.0,Niklas Andersen,/en/players/435c7710/Niklas-Andersen,Niklas-And,435c7710,de GER,DF,Werder-Bremen
16147.0,Philipp Bargfrede,/en/players/3f7cd8f1/Philipp-Bargfrede,Philipp-Bargfred,3f7cd8f1,de GER,MF,Werder-Bremen
16148.0,Sebastian Mielitz,/en/players/51d90d26/Sebastian-Mielitz,Sebastian-Mielitz,51d90d26,de GER,GK,Werder-Bremen
16149.0,Onur Ayık,/en/players/a637251f/Onur-Ayik,Onur-Ayik,637251f,tr TUR,"FW,MF",Werder-Bremen
16150.0,Wesley,/en/players/ea3f3bfd/Wesley,W,3f3bfd,br BRA,MF,Werder-Bremen
16151.0,Dominik Schmidt,/en/players/234b2d3b/Dominik-Schmidt,Dominik-Schmidt,234b2d3b,de GER,DF,Werder-Bremen
16152.0,Florian Trinks,/en/players/bc0b0c06/Florian-Trinks,Florian-Trink,bc0b0c06,de GER,MF,Werder-Bremen
16153.0,Felix Kroos,/en/players/4d7faad1/Felix-Kroos,Felix-Kroo,4d7faad1,de GER,"DF,FW",Werder-Bremen
16154.0,Denni Avdić,/en/players/80c9ad77/Denni-Avdic,Denni-Avdic,80c9ad77,se SWE,"FW,MF",Werder-Bremen
16155.0,Predrag Stevanović,/en/players/88f73cf2/Predrag-Stevanovic,Predrag-Stevanovic,88f73cf2,rs SRB,MF,Werder-Bremen
16156.0,Lennart Thy,/en/players/af31925d/Lennart-Thy,Lennart-Th,f31925d,de GER,FW,Werder-Bremen
16157.0,Aleksandar Ignjovski,/en/players/63b08315/Aleksandar-Ignjovski,Aleksandar-Ignjovski,63b08315,rs SRB,"DF,MF",Werder-Bremen
16158.0,Lukas Schmitz,/en/players/f11a5b76/Lukas-Schmitz,Lukas-Schmitz,f11a5b76,de GER,"DF,MF",Werder-Bremen
16159.0,Zlatko Junuzović,/en/players/dba67bc4/Zlatko-Junuzovic,Zlatko-Junuzovic,dba67bc4,at AUT,"FW,MF",Werder-Bremen
16160.0,François Affolter,/en/players/3bab978e/Francois-Affolter,Francois-Affolt,3bab978e,ch SUI,DF,Werder-Bremen
16161.0,Mehmet Ekici,/en/players/2bdde229/Mehmet-Ekici,Mehmet-Ekici,2bdde229,tr TUR,MF,Werder-Bremen
16162.0,Florian Hartherz,/en/players/2644819e/Florian-Hartherz,Florian-Hartherz,2644819e,de GER,DF,Werder-Bremen
16163.0,Aleksandar Stevanović,/en/players/83b7105e/Aleksandar-Stevanovic,Aleksandar-Stevanovic,83b7105e,de GER,MF,Werder-Bremen
16164.0,Niclas Füllkrug,/en/players/4f16405e/Niclas-Fullkrug,Niclas-Fullkrug,4f16405e,de GER,FW,Werder-Bremen
16165.0,Theodor Gebre Selassie,/en/players/3f65898c/Theodor-Gebre-Selassie,Theodor-Gebre-Selassi,3f65898c,cz CZE,"DF,MF",Werder-Bremen
16166.0,Assani Lukimya-Mulongoti,/en/players/333ec821/Assani-Lukimya-Mulongoti,Assani-Lukimya-Mulongoti,333ec821,cd COD,DF,Werder-Bremen
16167.0,Joseph Akpala,/en/players/a1737fe0/Joseph-Akpala,Joseph-Ak,1737fe0,ng NGA,FW,Werder-Bremen
16168.0,Özkan Yıldırım,/en/players/001a63e0/Ozkan-Yildirim,Ozkan-Yildirim,001a63e0,de GER,MF,Werder-Bremen
16169.0,Johannes Wurtz,/en/players/c756d718/Johannes-Wurtz,Johannes-Wurtz,c756d718,de GER,"FW,MF",Werder-Bremen
16170.0,﻿Luca Caldirola,/en/players/226008f1/Luca-Caldirola,Luca-Caldiro,226008f1,it ITA,DF,Werder-Bremen
16171.0,Cédric Makiadi,/en/players/9abe7f8c/Cedric-Makiadi,Cedric-Makiadi,9abe7f8c,cd COD,MF,Werder-Bremen
16172.0,Raphael Wolf,/en/players/a0d767cd/Raphael-Wolf,Raphael-Wolf,0d767cd,de GER,GK,Werder-Bremen
16173.0,Santiago García,/en/players/0dca0fd9/Santiago-Garcia,Santiago-Garci,0dca0fd9,ar ARG,DF,Werder-Bremen
16174.0,Martin Kobylański,/en/players/43d6f1ad/Martin-Kobylanski,Martin-Kobylanski,43d6f1ad,pl POL,"FW,MF",Werder-Bremen
16175.0,Melvyn Lorenzen,/en/players/41d6be38/Melvyn-Lorenzen,Melvyn-Lorenz,41d6be38,ug UGA,"FW,MF",Werder-Bremen
16176.0,Fin Bartels,/en/players/acc7b7ec/Fin-Bartels,Fin-Bart,cc7b7ec,de GER,MF,Werder-Bremen
16177.0,Janek Sternberg,/en/players/adef6b86/Janek-Sternberg,Janek-Sternberg,def6b86,de GER,DF,Werder-Bremen
16178.0,Levin Öztunalı,/en/players/66385c46/Levin-Oztunali,Levin-Oztunali,66385c46,de GER,MF,Werder-Bremen
16179.0,Koen Casteels,/en/players/db401046/Koen-Casteels,Koen-Cast,db401046,be BEL,GK,Werder-Bremen
16180.0,Levent Ayçiçek,/en/players/bbbfb513/Levent-Aycicek,Levent-Aycicek,bbbfb513,de GER,MF,Werder-Bremen
16181.0,Marnon Busch,/en/players/c38767ab/Marnon-Busch,Marnon-Busch,c38767ab,de GER,MF,Werder-Bremen
16182.0,Oliver Hüsing,/en/players/4d0d4790/Oliver-Husing,Oliver-Husing,4d0d4790,de GER,DF,Werder-Bremen
16183.0,Maximilian Eggestein,/en/players/beb882a8/Maximilian-Eggestein,Maximilian-Eggestei,beb882a8,de GER,MF,Werder-Bremen
16184.0,Lukas Fröde,/en/players/04979b5a/Lukas-Frode,Lukas-Frod,04979b5a,de GER,MF,Werder-Bremen
16185.0,Julian von Haacke,/en/players/30f28669/Julian-von-Haacke,Julian-von-Haack,30f28669,de GER,MF,Werder-Bremen
16186.0,Raif Husić,/en/players/98460d0e/Raif-Husic,Raif-Husic,98460d0e,de GER,GK,Werder-Bremen
16187.0,Luca-Milan Zander,/en/players/a5d1aab2/Luca-Milan-Zander,Luca-Milan-Zand,5d1aab2,de GER,"DF,MF",Werder-Bremen
16188.0,Michael Zetterer,/en/players/9b688ae1/Michael-Zetterer,Michael-Zett,9b688ae1,de GER,GK,Werder-Bremen
16189.0,Anthony Ujah,/en/players/99be8fb5/Anthony-Ujah,Anthony-Ujah,99be8fb5,ng NGA,FW,Werder-Bremen
16190.0,Florian Grillitsch,/en/players/ffbbc83b/Florian-Grillitsch,Florian-Grillitsch,ffbbc83b,at AUT,MF,Werder-Bremen
16191.0,Ulisses Garcia,/en/players/c952f633/Ulisses-Garcia,Ulisses-Garci,c952f633,ch SUI,"MF,DF",Werder-Bremen
16192.0,Aron Jóhannsson,/en/players/c0dc9fc7/Aron-Johannsson,Aron-Johannsso,c0dc9fc7,us USA,FW,Werder-Bremen
16193.0,László Kleinheisler,/en/players/af8e4246/Laszlo-Kleinheisler,Laszlo-Kleinhei,f8e4246,hu HUN,MF,Werder-Bremen
16194.0,Leon Guwara,/en/players/2eed0cbb/Leon-Guwara,Leon-Guw,2eed0cbb,gm GAM,DF,Werder-Bremen
16195.0,Marcel Hilßner,/en/players/26eb9b9e/Marcel-Hilssner,Marcel-Hi,26eb9b9e,de GER,MF,Werder-Bremen
16196.0,﻿Niklas Moisander,/en/players/00844823/Niklas-Moisander,Niklas-Moisand,844823,fi FIN,DF,Werder-Bremen
16197.0,Robert Bauer,/en/players/9b88e120/Robert-Bauer,Robert-Bau,9b88e120,de GER,"DF,MF",Werder-Bremen
16198.0,Ousman Manneh,/en/players/0b03d319/Ousman-Manneh,Ousman-Manneh,0b03d319,gm GAM,FW,Werder-Bremen
16199.0,Florian Kainz,/en/players/94c18565/Florian-Kainz,Florian-Kainz,94c18565,at AUT,MF,Werder-Bremen
16200.0,Niklas Schmidt,/en/players/b9ae8560/Niklas-Schmidt,Niklas-Schmidt,b9ae8560,de GER,"FW,MF",Werder-Bremen
16201.0,Johannes Eggestein,/en/players/d571df78/Johannes-Eggestein,Johannes-Eggestei,d571df78,de GER,FW,Werder-Bremen
16202.0,Justin Eilers,/en/players/1447def3/Justin-Eilers,Justin-Ei,1447def3,de GER,FW,Werder-Bremen
16203.0,﻿Jiří Pavlenka,/en/players/0a1cb833/Jiri-Pavlenka,Jiri-Pavlenk,0a1cb833,cz CZE,GK,Werder-Bremen
16204.0,Jérôme Gondorf,/en/players/49ffe0f2/Jerome-Gondorf,Jerome-Gondorf,49ffe0f2,de GER,"MF,FW",Werder-Bremen
16205.0,Ole Käuper,/en/players/e5d652c1/Ole-Kauper,Ole-Kau,5d652c1,de GER,MF,Werder-Bremen
16206.0,Thore Jacobsen,/en/players/0f163121/Thore-Jacobsen,Thore-Jacob,0f163121,de GER,"DF,MF",Werder-Bremen
16207.0,Jesper Verlaat,/en/players/a27c5ac4/Jesper-Verlaat,Jesper-Verlaat,27c5ac4,nl NED,DF,Werder-Bremen
16208.0,Zhang Yuning,/en/players/9ef04882/Zhang-Yuning,Zhang-Yuning,9ef04882,cn CHN,FW,Werder-Bremen
16209.0,Yuya Osako,/en/players/f69fba57/Yuya-Osako,Yuya-Osako,f69fba57,jp JPN,"FW,MF",Werder-Bremen
16210.0,Kevin Möhwald,/en/players/a5ce09f2/Kevin-Mohwald,Kevin-Mohwald,5ce09f2,de GER,MF,Werder-Bremen
16211.0,Stefanos Kapino,/en/players/62ba5881/Stefanos-Kapino,Stefanos-Kapino,62ba5881,gr GRE,GK,Werder-Bremen
16212.0,Luca Plogmann,/en/players/206c37d3/Luca-Plogmann,Luca-Plogm,206c37d3,de GER,GK,Werder-Bremen
16213.0,Felix Beijmo,/en/players/71115017/Felix-Beijmo,Felix-Beijmo,71115017,se SWE,DF,Werder-Bremen
16214.0,Jean-Manuel Mbom,/en/players/1a5d7cb9/Jean-Manuel-Mbom,Jean-Manuel-Mbom,1a5d7cb9,de GER,MF,Werder-Bremen
