2002-2003,West-Bromwich-Albion
Player,Nationality,Position,Game,Games Starts,Assists,Goals,Minutes,Minutes 90s,Yellow Card,Red Card,Link,Player_id,Player_name
﻿Russell Hoult,eng ENG,GK,37,37,0,0,"3,275",36.4,0,1,/en/players/92f8fb89/Russell-Hoult,92f8fb89,Russell-Hoult
Sean Gregan,eng ENG,DF,36,36,0,1,"3,187",35.4,10,0,/en/players/ea44eeb9/Sean-Gregan,44eeb9,Sean-Greg
Neil Clement,eng ENG,DF,36,34,1,3,"3,149",35.0,4,0,/en/players/d33e645f/Neil-Clement,d33e645f,Neil-Clement
Jason Roberts,gd GRN,FW,32,31,1,3,"2,717",30.2,4,1,/en/players/62487637/Jason-Roberts,62487637,Jason-Robert
Andy Johnson,wls WAL,MF,32,30,1,1,"2,705",30.1,5,1,/en/players/8333a39e/Andy-Johnson,8333a39e,Andy-Johnso
Darren Moore,jm JAM,DF,29,29,1,2,"2,458",27.3,2,0,/en/players/66f7c69b/Darren-Moore,66f7c69b,Darren-Moo
Derek McInnes,sct SCO,MF,29,28,3,2,"2,354",26.2,5,1,/en/players/6e77c866/Derek-McInnes,6e77c866,Derek-McI
Jason Koumas,wls WAL,MF,32,27,5,4,"2,358",26.2,4,0,/en/players/e3c6ba7b/Jason-Koumas,3c6ba7b,Jason-Koum
Igor Bališ,sk SVK,"DF,MF",28,27,0,2,"2,319",25.8,0,0,/en/players/353f4ee4/Igor-Balis,353f4ee4,Igor-Bali
Lárus Sigurðsson,is ISL,DF,29,23,1,0,"2,143",23.8,4,0,/en/players/5901455c/Larus-Sigurdsson,5901455c,Larus-Sigurdsso
Ronnie Wallwork,eng ENG,"DF,MF",27,23,2,0,"2,116",23.5,2,0,/en/players/cb7b25cf/Ronnie-Wallwork,cb7b25cf,Ronnie-Wallwork
Phil Gilchrist,eng ENG,DF,22,22,0,0,"1,948",21.6,1,0,/en/players/dfff734f/Phil-Gilchrist,dfff734f,Phil-Gilchrist
Danny Dichio,eng ENG,FW,28,19,0,5,"1,892",21.0,6,0,/en/players/da431eb0/Danny-Dichio,da431eb0,Danny-Dichio
Lee Hughes,eng ENG,FW,23,14,0,0,"1,140",12.7,2,0,/en/players/fd08b4e6/Lee-Hughes,fd08b4e6,Lee-Hugh
Scott Dobie,sct SCO,FW,31,10,0,5,"1,191",13.2,0,0,/en/players/64640563/Scott-Dobie,64640563,Scott-Dobi
Adam Chambers,eng ENG,"DF,MF",13,10,0,0,894,9.9,3,0,/en/players/c04ec549/Adam-Chambers,c04ec549,Adam-Chamb
Ifeanyi Udeze,ng NGA,DF,11,7,0,0,508,5.6,0,0,/en/players/62067577/Ifeanyi-Udeze,62067577,Ifeanyi-Udez
Lee Marshall,eng ENG,"DF,MF",9,4,0,1,396,4.4,1,0,/en/players/40416d99/Lee-Marshall,40416d99,Lee-Marsh
James Chambers,eng ENG,DF,8,2,0,0,298,3.3,0,0,/en/players/4f2a1eb0/James-Chambers,4f2a1eb0,James-Chamb
Des Lyttle,eng ENG,DF,4,2,0,0,202,2.2,0,0,/en/players/8cc40692/Des-Lyttle,8cc40692,Des-Lytt
Bob Taylor,eng ENG,FW,4,2,0,0,114,1.3,1,0,/en/players/034eeba4/Bob-Taylor,034eeba4,Bob-Taylo
Joe Murphy,ie IRL,GK,2,1,0,0,145,1.6,0,0,/en/players/fd957dfb/Joe-Murphy,fd957dfb,Joe-Murph
Jordão,pt POR,MF,3,0,,0,30,0.3,0,0,/en/players/d132b0ae/Jordao,d132b0ae,Jordao
﻿2003-2004,West-Bromwich-Albion
Player,Nationality,Position,Game,Games Starts,Assists,Goals,Minutes,Minutes 90s,Yellow Card,Red Card,Link,Player_id,Player_name
﻿Thomas Gaardsøe,dk DEN,DF,45,45,3,4,"4,050",45.0,5,1,/en/players/e9a92093/Thomas-Gaardsoe,9a92093,Thomas-Gaardso
Russell Hoult,eng ENG,GK,44,44,0,0,"3,915",43.5,0,0,/en/players/92f8fb89/Russell-Hoult,92f8fb89,Russell-Hoult
Sean Gregan,eng ENG,DF,43,40,1,1,"3,579",39.8,7,0,/en/players/ea44eeb9/Sean-Gregan,44eeb9,Sean-Greg
Jason Koumas,wls WAL,MF,42,37,8,10,"3,258",36.2,4,2,/en/players/e3c6ba7b/Jason-Koumas,3c6ba7b,Jason-Koum
Bernt Haas,ch SUI,DF,36,36,2,1,"3,217",35.7,8,0,/en/players/e64591e2/Bernt-Haas,64591e2,Bernt-H
Andy Johnson,wls WAL,MF,37,33,1,2,"2,933",32.6,2,1,/en/players/8333a39e/Andy-Johnson,8333a39e,Andy-Johnso
Paul Robinson,eng ENG,DF,31,30,2,0,"2,572",28.6,5,0,/en/players/80cdbbe1/Paul-Robinson,80cdbbe1,Paul-Robinso
Rob Hulse,eng ENG,FW,33,29,2,10,"2,331",25.9,4,1,/en/players/edaf9ca0/Rob-Hulse,daf9ca0,Rob-Hu
James O'Connor,ie IRL,MF,30,27,0,0,"2,247",25.0,4,0,/en/players/a7247357/James-OConnor,7247357,James-OConno
Neil Clement,eng ENG,DF,35,25,2,2,"2,390",26.6,1,0,/en/players/d33e645f/Neil-Clement,d33e645f,Neil-Clement
Lee Hughes,eng ENG,FW,32,21,2,11,"1,873",20.8,5,0,/en/players/fd08b4e6/Lee-Hughes,fd08b4e6,Lee-Hugh
Darren Moore,jm JAM,DF,22,20,0,2,"1,752",19.5,1,0,/en/players/66f7c69b/Darren-Moore,66f7c69b,Darren-Moo
Geoff Horsfield,eng ENG,FW,20,20,2,7,"1,619",18.0,2,0,/en/players/eb3a9b6d/Geoff-Horsfield,b3a9b6d,Geoff-Horsfield
Phil Gilchrist,eng ENG,DF,17,16,1,0,"1,394",15.5,1,0,/en/players/dfff734f/Phil-Gilchrist,dfff734f,Phil-Gilchrist
Mark Kinsella,ie IRL,MF,18,15,0,1,"1,078",12.0,2,0,/en/players/3564689a/Mark-Kinsella,3564689a,Mark-Ki
Scott Dobie,sct SCO,FW,31,14,1,5,"1,584",17.6,2,0,/en/players/64640563/Scott-Dobie,64640563,Scott-Dobi
James Chambers,eng ENG,DF,15,12,0,0,"1,087",12.1,1,0,/en/players/4f2a1eb0/James-Chambers,4f2a1eb0,James-Chamb
Joost Volmer,nl NED,DF,15,10,0,0,861,9.6,1,0,/en/players/aa8fc47b/Joost-Volmer,8fc47b,Joost-Volm
Artim Šakiri,mk MKD,MF,25,6,1,1,866,9.6,0,0,/en/players/ed710f3d/Artim-Sakiri,d710f3d,Artim-Sakiri
Lárus Sigurðsson,is ISL,DF,5,5,0,0,340,3.8,2,0,/en/players/5901455c/Larus-Sigurdsson,5901455c,Larus-Sigurdsso
Ronnie Wallwork,eng ENG,"DF,MF",5,4,1,0,327,3.6,1,0,/en/players/cb7b25cf/Ronnie-Wallwork,cb7b25cf,Ronnie-Wallwork
Joe Murphy,ie IRL,GK,4,4,0,0,225,2.5,0,0,/en/players/fd957dfb/Joe-Murphy,fd957dfb,Joe-Murph
Lloyd Dyer,eng ENG,MF,17,2,3,2,535,5.9,0,0,/en/players/4181c53d/Lloyd-Dyer,4181c53d,Lloyd-D
Delroy Facey,gd GRN,FW,9,2,2,0,269,3.0,0,0,/en/players/3966915f/Delroy-Facey,3966915f,Delroy-Fac
Sékou Berthé,ml MLI,DF,3,2,0,0,215,2.4,0,0,/en/players/44d51294/Sekou-Berthe,44d51294,Sekou-Berth
Alassane N'Dour,sn SEN,"DF,MF",2,2,0,0,156,1.7,0,0,/en/players/0a94c55c/Alassane-NDour,0a94c55c,Alassane-NDou
Adam Chambers,eng ENG,"DF,MF",2,2,0,0,135,1.5,0,0,/en/players/c04ec549/Adam-Chambers,c04ec549,Adam-Chamb
Morten Skoubo,dk DEN,FW,2,0,0,0,22,0.2,0,0,/en/players/ab2a3515/Morten-Skoubo,b2a3515,Morten-Skoubo
﻿2004-2005,West-Bromwich-Albion
Player,Nationality,Position,Game,Games Starts,Assists,Goals,Minutes,Minutes 90s,Yellow Card,Red Card,Link,Player_id,Player_name
﻿Russell Hoult,eng ENG,GK,36,36,0,0,"3,172",35.2,1,0,/en/players/92f8fb89/Russell-Hoult,92f8fb89,Russell-Hoult
Neil Clement,eng ENG,DF,35,35,0,3,"3,103",34.5,2,1,/en/players/d33e645f/Neil-Clement,d33e645f,Neil-Clement
Jonathan Greening,eng ENG,MF,34,32,9,0,"2,837",31.5,4,1,/en/players/892c1d7a/Jonathan-Greening,892c1d7a,Jonathan-Greening
Zoltán Gera,hu HUN,MF,37,31,3,6,"2,710",30.1,4,0,/en/players/08bd23a0/Zoltan-Gera,08bd23a0,Zoltan-G
Paul Robinson,eng ENG,DF,30,28,0,1,"2,491",27.7,6,0,/en/players/80cdbbe1/Paul-Robinson,80cdbbe1,Paul-Robinso
Riccardo Scimeca,eng ENG,"DF,MF",33,27,3,0,"2,476",27.5,3,0,/en/players/a0a691c9/Riccardo-Scimeca,0a691c9,Riccardo-Scimec
Thomas Gaardsøe,dk DEN,DF,29,25,0,0,"2,139",23.8,2,1,/en/players/e9a92093/Thomas-Gaardsoe,9a92093,Thomas-Gaardso
Darren Purse,eng ENG,DF,22,22,0,0,"1,953",21.7,3,1,/en/players/70137152/Darren-Purse,70137152,Darren-Pu
Andy Johnson,wls WAL,MF,22,22,1,0,"1,848",20.5,3,0,/en/players/8333a39e/Andy-Johnson,8333a39e,Andy-Johnso
