2019-2020,West-Ham-United
Player,Nationality,Position,Game,Games Starts,Assists,Goals,Minutes,Minutes 90s,Yellow Card,Red Card,Link,Player_id,Player_name
﻿Declan Rice,eng ENG,MF,38,38,3,1,"3,420",38.0,6,0,/en/players/1c7012b8/Declan-Rice,1c7012b8,Declan-Ric
Mark Noble,eng ENG,MF,33,32,3,4,"2,674",29.7,5,0,/en/players/ff527768/Mark-Noble,ff527768,Mark-Nob
Angelo Ogbonna,it ITA,DF,31,31,0,2,"2,786",31.0,4,0,/en/players/74b2cd7e/Angelo-Ogbonna,74b2cd7e,Angelo-Ogbo
Issa Diop,fr FRA,DF,32,31,1,3,"2,766",30.7,8,0,/en/players/a712ca2b/Issa-Diop,712ca2b,Issa-Dio
Aaron Cresswell,eng ENG,DF,31,31,0,3,"2,727",30.3,7,0,/en/players/4f974391/Aaron-Cresswell,4f974391,Aaron-Cressw
Ryan Fredericks,eng ENG,DF,27,25,3,0,"2,237",24.9,7,0,/en/players/c067631c/Ryan-Fredericks,c067631c,Ryan-Frederick
Łukasz Fabiański,pl POL,GK,25,25,0,0,"2,117",23.5,1,0,/en/players/9328b835/Lukasz-Fabianski,9328b835,Lukasz-Fabianski
Sébastien Haller,ci CIV,FW,32,24,1,7,"2,266",25.2,1,0,/en/players/ba115a40/Sebastien-Haller,ba115a40,Sebastien-H
Pablo Fornals,es ESP,MF,36,24,5,2,"2,172",24.1,3,0,/en/players/82927de4/Pablo-Fornals,82927de4,Pablo-Fo
Felipe Anderson,br BRA,"MF,FW",25,20,4,1,"1,497",16.6,1,0,/en/players/9f1893b9/Felipe-Anderson,9f1893b9,Felipe-Anderso
Michail Antonio,jm JAM,"FW,MF",24,19,3,10,"1,768",19.6,3,0,/en/players/ac05f970/Michail-Antonio,c05f970,Michail-Antonio
Robert Snodgrass,sct SCO,"MF,FW",24,17,5,5,"1,509",16.8,4,0,/en/players/9f4647e9/Robert-Snodgrass,9f4647e9,Robert-Snodg
Manuel Lanzini,ar ARG,"MF,FW",24,14,2,0,"1,379",15.3,1,0,/en/players/26f6dca8/Manuel-Lanzini,26f6dca8,Manuel-Lanzini
Fabián Balbuena,py PAR,DF,17,13,0,1,"1,177",13.1,2,0,/en/players/3626f7d9/Fabian-Balbuena,3626f7d9,Fabian-Balbu
Tomáš Souček,cz CZE,MF,13,12,0,3,"1,040",11.6,0,0,/en/players/6613c819/Tomas-Soucek,6613c819,Tomas-Soucek
Jarrod Bowen,eng ENG,MF,13,11,4,1,917,10.2,0,0,/en/players/79c84d1c/Jarrod-Bowen,79c84d1c,Jarrod-Bow
Andriy Yarmolenko,ua UKR,MF,23,10,1,5,991,11.0,2,0,/en/players/849c826a/Andriy-Yarmolenko,849c826a,Andriy-Yarmolenko
Arthur Masuaku,cd COD,DF,17,10,1,0,937,10.4,6,1,/en/players/57df7a11/Arthur-Masuaku,57df7a11,Arthur-Masuaku
Roberto,es ESP,GK,8,7,0,0,687,7.6,0,0,/en/players/ba3ca78f/Roberto,ba3ca78f,Roberto
Pablo Zabaleta,ar ARG,DF,10,6,0,0,592,6.6,2,0,/en/players/6813ac34/Pablo-Zabaleta,6813ac34,Pablo-Zabalet
Jeremy Ngakia,eng ENG,DF,5,5,0,0,440,4.9,0,0,/en/players/3631ad41/Jeremy-Ngakia,3631ad41,Jeremy-Ngaki
David Martin,eng ENG,GK,5,4,0,0,436,4.8,1,0,/en/players/07666c20/David-Martin,07666c20,David-Marti
Ben Johnson,eng ENG,DF,3,3,0,0,270,3.0,0,0,/en/players/9319781b/Ben-Johnson,9319781b,Ben-Johnso
Jack Wilshere,eng ENG,MF,8,2,0,0,215,2.4,0,0,/en/players/9c318325/Jack-Wilshere,9c318325,Jack-Wilsh
Darren Randolph,ie IRL,GK,2,2,0,0,180,2.0,0,0,/en/players/6385ebfb/Darren-Randolph,6385ebfb,Darren-Randolph
Carlos Sánchez,co COL,MF,6,1,0,0,117,1.3,0,0,/en/players/50b51fac/Carlos-Sanchez,50b51fac,Carlos-Sanchez
Javier Hernández,mx MEX,FW,2,1,0,1,107,1.2,0,0,/en/players/189cee7b/Javier-Hernandez,189cee7b,Javier-Hernandez
Albian Ajeti,ch SUI,FW,9,0,0,0,139,1.5,0,0,/en/players/2b1c4abd/Albian-Ajeti,2b1c4abd,Albian-Ajeti
Nathan Holland,eng ENG,MF,2,0,0,0,33,0.4,0,0,/en/players/45ab2170/Nathan-Holland,45ab2170,Nathan-Holland
Joseph Anang,eng ENG,GK,0,0,,,,,,,/en/players/21a866b7/Joseph-Anang,21a866b7,Joseph-Anang
Gonçalo Cardoso,pt POR,DF,0,0,,,,,,,/en/players/47760615/Goncalo-Cardoso,47760615,Goncalo-Cardoso
Conor Coventry,ie IRL,MF,0,0,,,,,,,/en/players/a5ca9127/Conor-Coventry,5ca9127,Conor-Covent
Bernardo Costa Da Rosa,br BRA,DF,0,0,,,,,,,/en/players/cd3112d5/Bernardo-Costa-Da-Rosa,cd3112d5,Bernardo-Costa-Da-Ro
Alfie Lewis,eng ENG,MF,0,0,,,,,,,/en/players/548e5d9f/Alfie-Lewis,548e5d9f,Alfie-Lewi
Winston Reid,nz NZL,DF,0,0,,,,,,,/en/players/562eed5c/Winston-Reid,562eed5c,Winston-Reid
Xande Silva,pt POR,"FW,MF",0,0,,,,,,,/en/players/15d561fa/Xande-Silva,15d561fa,Xande-Silv
