2007-2008,Wigan-Athletic
Player,Nationality,Position,Game,Games Starts,Assists,Goals,Minutes,Minutes 90s,Yellow Card,Red Card,Link,Player_id,Player_name
﻿Chris Kirkland,eng ENG,GK,37,37,0,0,"3,330",37.0,0,0,/en/players/710265d2/Chris-Kirkland,710265d2,Chris-Kirkland
Paul Scharner,at AUT,"DF,MF",37,37,1,4,"3,312",36.8,6,0,/en/players/d8bcce3d/Paul-Scharner,d8bcce3d,Paul-Sch
Kevin Kilbane,ie IRL,"DF,MF",35,33,1,1,"2,963",32.9,3,1,/en/players/56cf4517/Kevin-Kilbane,56cf4517,Kevin-Kilb
Mario Melchiot,nl NED,DF,31,31,1,0,"2,633",29.3,2,1,/en/players/1f5e2ed9/Mario-Melchiot,1f5e2ed9,Mario-Melchiot
Antonio Valencia,ec ECU,"DF,MF",31,30,2,3,"2,711",30.1,5,0,/en/players/08aa17d0/Antonio-Valencia,08aa17d0,Antonio-Valenci
Michael Brown,eng ENG,MF,31,27,0,0,"2,473",27.5,11,0,/en/players/85543572/Michael-Brown,85543572,Michael-Brow
Emile Heskey,eng ENG,FW,28,27,2,4,"2,072",23.0,6,0,/en/players/30184789/Emile-Heskey,30184789,Emile-Hesk
Titus Bramble,eng ENG,DF,26,26,1,2,"2,340",26.0,5,0,/en/players/83ac7c3c/Titus-Bramble,83ac7c3c,Titus-Bramb
Marcus Bent,eng ENG,FW,31,25,2,7,"2,330",25.9,1,0,/en/players/69166246/Marcus-Bent,69166246,Marcus-Bent
Emmerson Boyce,bb BRB,DF,25,24,0,0,"2,203",24.5,1,0,/en/players/84bfbd38/Emmerson-Boyce,84bfbd38,Emmerson-Boyc
Jason Koumas,wls WAL,MF,30,21,4,1,"1,986",22.1,1,1,/en/players/e3c6ba7b/Jason-Koumas,3c6ba7b,Jason-Koum
Denny Landzaat,nl NED,MF,19,19,0,3,"1,579",17.5,2,0,/en/players/93600e39/Denny-Landzaat,93600e39,Denny-Landzaat
Wilson Palacios,hn HON,MF,16,16,0,0,"1,390",15.4,5,1,/en/players/58df81fc/Wilson-Palacios,58df81fc,Wilson-Palacio
Andreas Granqvist,se SWE,"DF,MF",14,13,0,0,"1,171",13.0,1,0,/en/players/501992d4/Andreas-Granqvist,501992d4,Andreas-Granqvist
Ryan Taylor,eng ENG,"DF,MF",17,12,3,3,"1,113",12.4,4,0,/en/players/5c6dd7bc/Ryan-Taylor,5c6dd7bc,Ryan-Taylo
Antoine Sibierski,fr FRA,"FW,MF",30,10,0,4,"1,023",11.4,1,0,/en/players/22936ff2/Antoine-Sibierski,22936ff2,Antoine-Sibierski
Marlon King,jm JAM,FW,15,8,0,1,668,7.4,1,0,/en/players/0fc9488a/Marlon-King,0fc9488a,Marlon-King
Josip Skoko,au AUS,MF,12,7,0,0,668,7.4,4,0,/en/players/f197aa41/Josip-Skoko,f197aa41,Josip-Skoko
Erik Edman,se SWE,DF,5,5,0,0,399,4.4,0,0,/en/players/cf98b935/Erik-Edman,cf98b935,Erik-Edm
Julius Aghahowa,ng NGA,FW,14,2,1,0,432,4.8,2,0,/en/players/ed41a1e7/Julius-Aghahowa,d41a1e7,Julius-Aghahow
Salomon Olembé,cm CMR,MF,8,2,0,0,203,2.3,0,0,/en/players/d7ac4a47/Salomon-Olembe,d7ac4a47,Salomon-Olemb
David Cotterill,wls WAL,"FW,MF",2,2,0,0,97,1.1,0,0,/en/players/7b6f3a36/David-Cotterill,7b6f3a36,David-Cotteri
Maynor Figueroa,hn HON,DF,2,1,0,0,91,1.0,0,0,/en/players/d8524b21/Maynor-Figueroa,d8524b21,Maynor-Figuero
Mike Pollitt,eng ENG,GK,1,1,0,0,90,1.0,0,0,/en/players/a31d9d81/Mike-Pollitt,31d9d81,Mike-Pollitt
Caleb Folan,ie IRL,FW,2,1,0,0,78,0.9,0,0,/en/players/bc0bc597/Caleb-Folan,bc0bc597,Caleb-Fo
Erik Hagen,no NOR,DF,1,1,0,0,72,0.8,0,0,/en/players/899ea685/Erik-Hagen,899ea685,Erik-Hag
Fitz Hall,eng ENG,"DF,FW",1,0,0,0,41,0.5,0,0,/en/players/f799f31c/Fitz-Hall,f799f31c,Fitz-H
