,Player,Link,Player_id,Player_name,Nationality,Position
0,﻿John Filan,/en/players/a4321738/John-Filan,4321738,John-Fi,au AUS,GK
1,Matt Jackson,/en/players/4b8b0f54/Matt-Jackson,4b8b0f54,Matt-Jackso,eng ENG,DF
2,Jason de Vos,/en/players/ff874486/Jason-de-Vos,ff874486,Jason-de-Vo,ca CAN,DF
3,Nathan Ellington,/en/players/5cb19c96/Nathan-Ellington,5cb19c96,Nathan-Ellingto,eng ENG,FW
4,Gary Teale,/en/players/048bfa2e/Gary-Teale,048bfa2e,Gary-T,sct SCO,MF
5,Nicky Eaden,/en/players/6963d1d1/Nicky-Eaden,6963d1d1,Nicky-Ead,eng ENG,DF
6,Tony Dinning,/en/players/3c84d281/Tony-Dinning,3c84d281,Tony-Dinning,eng ENG,MF
7,Neil Roberts,/en/players/5eb04aef/Neil-Roberts,5eb04aef,Neil-Robert,wls WAL,FW
8,Jason Jarrett,/en/players/84067873/Jason-Jarrett,84067873,Jason-Jarrett,eng ENG,MF
9,Lee McCulloch,/en/players/dbfc8648/Lee-McCulloch,dbfc8648,Lee-McCulloch,sct SCO,"DF,FW"
10,Andy Liddell,/en/players/3d58e4b8/Andy-Liddell,3d58e4b8,Andy-Lidd,sct SCO,"FW,MF"
11,Steve McMillan,/en/players/1c7b48f9/Steve-McMillan,1c7b48f9,Steve-McMi,sct SCO,DF
12,Paul Mitchell,/en/players/1d8dcd6e/Paul-Mitchell,1d8dcd6e,Paul-Mitch,sct SCO,DF
13,Peter Kennedy,/en/players/697680e9/Peter-Kennedy,697680e9,Peter-Kenned,nir NIR,"DF,MF"
14,Jimmy Bullard,/en/players/d46ae0c2/Jimmy-Bullard,d46ae0c2,Jimmy-Bullard,eng ENG,MF
15,Scott Green,/en/players/11413f20/Scott-Green,11413f20,Scott-G,eng ENG,DF
16,Michael Flynn,/en/players/cde68d72/Michael-Flynn,cde68d72,Michael-F,wls WAL,MF
17,Ian Breckin,/en/players/a293d229/Ian-Breckin,293d229,Ian-Brecki,eng ENG,DF
18,Leighton Baines,/en/players/b18095b6/Leighton-Baines,b18095b6,Leighton-Bai,eng ENG,DF
19,Ged Brannan,/en/players/4cb453d5/Ged-Brannan,4cb453d5,Ged-B,eng ENG,MF
21,Geoff Horsfield,/en/players/eb3a9b6d/Geoff-Horsfield,b3a9b6d,Geoff-Horsfield,eng ENG,FW
22,Jason Roberts,/en/players/62487637/Jason-Roberts,62487637,Jason-Robert,gd GRN,FW
23,Alan Mahon,/en/players/fbe1f1d0/Alan-Mahon,fbe1f1d0,Alan-Maho,ie IRL,MF
24,Alan Rogers,/en/players/1d6ebd23/Alan-Rogers,1d6ebd23,Alan-Rog,eng ENG,DF
25,Gareth Farrelly,/en/players/8a1a3cf0/Gareth-Farrelly,8a1a3cf0,Gareth-F,ie IRL,MF
26,Gary Walsh,/en/players/82dc3961/Gary-Walsh,82dc3961,Gary-Walsh,eng ENG,GK
27,Mark Burchill,/en/players/376a3b3c/Mark-Burchill,376a3b3c,Mark-Burchi,sct SCO,FW
28,Jamie Lawrence,/en/players/25117d43/Jamie-Lawrence,25117d43,Jamie-Lawrenc,jm JAM,MF
29,Graham Kavanagh,/en/players/dc15f511/Graham-Kavanagh,dc15f511,Graham-Kavanagh,ie IRL,MF
30,David Wright,/en/players/fdc640d2/David-Wright,fdc640d2,David-Wright,eng ENG,DF
31,David Graham,/en/players/b14b0ac2/David-Graham,b14b0ac2,David-Graham,sct SCO,FW
32,Brett Ormerod,/en/players/fde1ce8d/Brett-Ormerod,fde1ce8d,Brett-Ormerod,eng ENG,FW
33,Per Frandsen,/en/players/4df04be7/Per-Frandsen,4df04be7,Per-Frand,dk DEN,MF
34,Gareth Whalley,/en/players/4f2783db/Gareth-Whalley,4f2783db,Gareth-Wh,eng ENG,MF
35,﻿Pascal Chimbonda,/en/players/5cbb464e/Pascal-Chimbonda,5cbb464e,Pascal-Chimbond,fr FRA,DF
36,Arjan de Zeeuw,/en/players/93d6bcd9/Arjan-de-Zeeuw,93d6bcd9,Arjan-de-Zeeuw,nl NED,DF
37,Stéphane Henchoz,/en/players/17476497/Stephane-Henchoz,17476497,Stephane-Henchoz,ch SUI,DF
38,Henri Camara,/en/players/b2b48ae0/Henri-Camara,b2b48ae0,Henri-Cam,sn SEN,FW
