,Player,Link,Player_name(param),Player_id(param)
0,﻿Joleon Lescott,/en/players/62393d3b/Joleon-Lescott,Joleon-Lescott,62393d3b
1,Denis Irwin,/en/players/9d080c30/Denis-Irwin,Denis-Irwin,9d080c30
2,Matt Murray,/en/players/d7122332/Matt-Murray,Matt-Murray,d7122332
3,Paul Ince,/en/players/3ce58c27/Paul-Ince,Paul-Ince,3ce58c27
4,Kenny Miller,/en/players/5e606f92/Kenny-Miller,Kenny-Miller,5e606f92
5,Paul Butler,/en/players/8623b652/Paul-Butler,Paul-Butler,8623b652
6,Lee Naylor,/en/players/eb569ce1/Lee-Naylor,Lee-Naylor,eb569ce1
7,Mark Kennedy,/en/players/9f91768b/Mark-Kennedy,Mark-Kennedy,9f91768b
8,Alex Rae,/en/players/a64175a1/Alex-Rae,Alex-Rae,a64175a1
9,Colin Cameron,/en/players/094c443c/Colin-Cameron,Colin-Cameron,094c443c
10,Shaun Newton,/en/players/75de93be/Shaun-Newton,Shaun-Newton,75de93be
11,Ívar Ingimarsson,/en/players/f7fcdb88/Ivar-Ingimarsson,Ivar-Ingimarsson,f7fcdb88
12,Nathan Blake,/en/players/6c447486/Nathan-Blake,Nathan-Blake,6c447486
13,Marc Edworthy,/en/players/fc761a49/Marc-Edworthy,Marc-Edworthy,fc761a49
14,Dean Sturridge,/en/players/70e13fa1/Dean-Sturridge,Dean-Sturridge,70e13fa1
15,George Ndah,/en/players/8439f41c/George-Ndah,George-Ndah,8439f41c
16,Mark Clyde,/en/players/57b2cc91/Mark-Clyde,Mark-Clyde,57b2cc91
17,Kevin Cooper,/en/players/5e9222c7/Kevin-Cooper,Kevin-Cooper,5e9222c7
18,Ludovic Pollet,/en/players/428bcab8/Ludovic-Pollet,Ludovic-Pollet,428bcab8
19,Michael Oakes,/en/players/af24b12a/Michael-Oakes,Michael-Oakes,af24b12a
20,Adam Proudlock,/en/players/345e1c6e/Adam-Proudlock,Adam-Proudlock,345e1c6e
21,Carlton Cole,/en/players/51b2effb/Carlton-Cole,Carlton-Cole,51b2effb
22,Keith Andrews,/en/players/5bca867f/Keith-Andrews,Keith-Andrews,5bca867f
23,John Melligan,/en/players/b3b47383/John-Melligan,John-Melligan,b3b47383
24,﻿Paul Butler,/en/players/8623b652/Paul-Butler,Paul-Butler,8623b652
25,Jody Craddock,/en/players/573e5dd2/Jody-Craddock,Jody-Craddock,573e5dd2
26,Henri Camara,/en/players/b2b48ae0/Henri-Camara,Henri-Camara,b2b48ae0
27,Paul Jones,/en/players/3bf1ce9d/Paul-Jones,Paul-Jones,3bf1ce9d
28,Carl Cort,/en/players/c07f2109/Carl-Cort,Carl-Cort,c07f2109
29,Steffen Iversen,/en/players/6454b97e/Steffen-Iversen,Steffen-Iversen,6454b97e
