Id,Player,Nationality,Position,Game,Games Starts,Assists,Goals,season,Player_id,Club,Minutes,Minutes 90s,Yellow Card,Red Card,Club_Id,Nationality_Id,Player_Id_DB,club
,﻿Joleon Lescott,eng ENG,DF,44,44,1.0,1.0,2002-2003,62393d3b,Wolverhampton-Wanderers,"3,960",44.0,1.0,0.0,141.0,6.0,,Wolverhampton-Wanderers
,Denis Irwin,ie IRL,DF,43,43,7.0,2.0,2002-2003,9d080c30,Wolverhampton-Wanderers,"3,781",42.0,3.0,0.0,141.0,99.0,9104.0,Wolverhampton-Wanderers
,Matt Murray,eng ENG,GK,40,40,0.0,0.0,2002-2003,d7122332,Wolverhampton-Wanderers,"3,600",40.0,0.0,0.0,141.0,6.0,9105.0,Wolverhampton-Wanderers
,Paul Ince,eng ENG,MF,37,35,4.0,2.0,2002-2003,3ce58c27,Wolverhampton-Wanderers,"3,107",34.5,11.0,0.0,141.0,6.0,9106.0,Wolverhampton-Wanderers
,Kenny Miller,sct SCO,FW,43,35,5.0,19.0,2002-2003,5e606f92,Wolverhampton-Wanderers,"3,039",33.8,5.0,0.0,141.0,67.0,9107.0,Wolverhampton-Wanderers
,Paul Butler,ie IRL,DF,32,31,1.0,1.0,2002-2003,8623b652,Wolverhampton-Wanderers,"2,764",30.7,6.0,0.0,141.0,99.0,,Wolverhampton-Wanderers
,Lee Naylor,eng ENG,DF,32,31,1.0,1.0,2002-2003,b569ce1,Wolverhampton-Wanderers,"2,727",30.3,0.0,0.0,141.0,6.0,9108.0,Wolverhampton-Wanderers
,Mark Kennedy,ie IRL,"DF,MF",31,30,10.0,3.0,2002-2003,9f91768b,Wolverhampton-Wanderers,"2,755",30.6,4.0,0.0,141.0,99.0,9109.0,Wolverhampton-Wanderers
,Alex Rae,sct SCO,MF,38,30,4.0,3.0,2002-2003,64175a1,Wolverhampton-Wanderers,"2,662",29.6,9.0,0.0,141.0,67.0,9110.0,Wolverhampton-Wanderers
,Colin Cameron,sct SCO,MF,33,29,5.0,7.0,2002-2003,094c443c,Wolverhampton-Wanderers,"2,435",27.1,3.0,0.0,141.0,67.0,9111.0,Wolverhampton-Wanderers
,Shaun Newton,eng ENG,MF,33,29,5.0,3.0,2002-2003,75de93be,Wolverhampton-Wanderers,"2,435",27.1,3.0,0.0,141.0,6.0,,Wolverhampton-Wanderers
,Ívar Ingimarsson,is ISL,DF,28,25,0.0,2.0,2002-2003,f7fcdb88,Wolverhampton-Wanderers,"2,234",24.8,3.0,0.0,141.0,40.0,9112.0,Wolverhampton-Wanderers
,Nathan Blake,wls WAL,FW,23,22,1.0,12.0,2002-2003,6c447486,Wolverhampton-Wanderers,"1,801",20.0,3.0,1.0,141.0,18.0,,Wolverhampton-Wanderers
,Marc Edworthy,eng ENG,DF,22,18,1.0,0.0,2002-2003,fc761a49,Wolverhampton-Wanderers,"1,722",19.1,3.0,0.0,141.0,6.0,,Wolverhampton-Wanderers
,Dean Sturridge,eng ENG,FW,39,17,2.0,11.0,2002-2003,70e13fa1,Wolverhampton-Wanderers,"1,757",19.5,5.0,0.0,141.0,6.0,9113.0,Wolverhampton-Wanderers
,George Ndah,eng ENG,FW,25,17,2.0,7.0,2002-2003,8439f41c,Wolverhampton-Wanderers,"1,436",16.0,6.0,0.0,141.0,6.0,9114.0,Wolverhampton-Wanderers
,Mark Clyde,nir NIR,DF,17,15,0.0,0.0,2002-2003,57b2cc91,Wolverhampton-Wanderers,"1,370",15.2,1.0,0.0,141.0,121.0,9115.0,Wolverhampton-Wanderers
,Kevin Cooper,eng ENG,MF,26,13,3.0,3.0,2002-2003,5e9222c7,Wolverhampton-Wanderers,"1,381",15.3,5.0,0.0,141.0,6.0,9116.0,Wolverhampton-Wanderers
,Ludovic Pollet,fr FRA,DF,7,7,0.0,0.0,2002-2003,428bcab8,Wolverhampton-Wanderers,561,6.2,2.0,0.0,141.0,4.0,9117.0,Wolverhampton-Wanderers
,Michael Oakes,eng ENG,GK,6,6,0.0,0.0,2002-2003,f24b12a,Wolverhampton-Wanderers,540,6.0,0.0,0.0,141.0,6.0,9118.0,Wolverhampton-Wanderers
,Adam Proudlock,,FW,22,5,3.0,4.0,2002-2003,345e1c6e,Wolverhampton-Wanderers,763,8.5,1.0,0.0,141.0,,,Wolverhampton-Wanderers
,Carlton Cole,eng ENG,FW,7,5,0.0,1.0,2002-2003,51b2effb,Wolverhampton-Wanderers,418,4.6,0.0,0.0,141.0,6.0,,Wolverhampton-Wanderers
,Keith Andrews,ie IRL,MF,9,2,0.0,0.0,2002-2003,5bca867f,Wolverhampton-Wanderers,272,3.0,1.0,0.0,141.0,99.0,,Wolverhampton-Wanderers
