2011-2012,Xerez
Player,Nationality,Position,Game,Games Starts,Assists,Goals,Minutes,Minutes 90s,Yellow Card,Red Card,Link,Player_id,Player_name
﻿David Lombán,es ESP,DF,37,37,0,2,"3,222",35.8,8,1,/en/players/b43b81f1/David-Lomban,b43b81f1,David-Lomb
Toni Doblas,es ESP,GK,36,34,0,0,"3,101",34.5,5,0,/en/players/d5c35223/Toni-Doblas,d5c35223,Toni-Dob
Jesús Mendoza,es ESP,"DF,MF",35,33,0,3,"2,925",32.5,10,1,/en/players/e9b41cbc/Jesus-Mendoza,9b41cbc,Jesus-Mendoz
Miquel Robusté,es ESP,DF,35,32,0,1,"2,910",32.3,15,2,/en/players/4be9a341/Miquel-Robuste,4be9a341,Miquel-Robust
José Mari,es ESP,FW,36,32,6,8,"2,807",31.2,11,1,/en/players/b56835b1/Jose-Mari,b56835b1,Jose-Mari
Raúl Cámara,es ESP,DF,31,31,0,1,"2,676",29.7,14,0,/en/players/585753d9/Raul-Camara,585753d9,Raul-Cam
Miguel Cordero,es ESP,MF,29,25,2,1,"2,182",24.2,11,1,/en/players/e196c33d/Miguel-Cordero,196c33d,Miguel-Cordero
Capi,es ESP,MF,32,23,3,2,"2,101",23.3,4,1,/en/players/523503fe/Capi,523503fe,Capi
Pablo Redondo,es ESP,MF,31,22,5,4,"2,007",22.3,7,0,/en/players/da98fdb0/Pablo-Redondo,da98fdb0,Pablo-Redondo
Israel,es ESP,MF,29,22,0,2,"1,761",19.6,3,0,/en/players/bf6d20c9/Israel,bf6d20c9,I
Jesús Tato,es ESP,FW,34,19,3,6,"1,864",20.7,5,0,/en/players/50e2af8c/Jesus-Tato,50e2af8c,Jesus-Tato
Alejandro Campano,es ESP,MF,23,19,1,3,"1,778",19.8,3,0,/en/players/42a8f3e1/Alejandro-Campano,42a8f3e1,Alejandro-Campano
José Manuel Rueda,es ESP,MF,26,19,5,2,"1,754",19.5,10,0,/en/players/35d5caee/Jose-Manuel-Rueda,35d5caee,Jose-Manuel-Rued
Rafa García,es ESP,MF,18,18,0,0,"1,490",16.6,7,0,/en/players/bebdff6f/Rafa-Garcia,bebdff6f,Rafa-Garci
Bruno Herrero Arias,es ESP,MF,23,17,1,0,"1,443",16.0,7,0,/en/players/acd429fc/Bruno-Herrero-Arias,cd429fc,Bruno-Herrero-Ari
Iñigo Vélez,es ESP,FW,32,15,2,7,"1,563",17.4,4,0,/en/players/08cc09ee/Inigo-Velez,08cc09ee,Inigo-Velez
Tati Maldonado,es ESP,FW,14,13,0,4,"1,117",12.4,5,0,/en/players/57dc3c00/Tati-Maldonado,57dc3c00,Tati-Maldonado
Rafael Barber,es ESP,MF,11,9,1,0,777,8.6,3,0,/en/players/9af23dc4/Rafael-Barber,9af23dc4,Rafael-Barb
Juanito,es ESP,MF,10,8,1,0,694,7.7,4,0,/en/players/0ec71481/Juanito,0ec71481,Juanito
José Luis Capdevila,es ESP,MF,11,7,0,0,517,5.7,3,1,/en/players/dde616c5/Jose-Luis-Capdevila,dde616c5,Jose-Luis-Capdevi
José Vega Díez,es ESP,MF,14,5,0,1,509,5.7,2,1,/en/players/c9e78e4a/Jose-Vega-Diez,c9e78e4a,Jose-Vega-Diez
Chema,es ESP,GK,5,5,0,0,442,4.9,0,0,/en/players/4b628c9b/Chema,4b628c9b,Chem
Gerard Autet,es ESP,DF,6,5,0,0,412,4.6,1,1,/en/players/1bee98e6/Gerard-Autet,1bee98e6,Gerard-Autet
Raúl Llorente,es ESP,DF,4,4,0,0,318,3.5,1,0,/en/players/f40996ec/Raul-Llorente,f40996ec,Raul-Llorent
Óscar Díaz,es ESP,"FW,MF",12,3,0,0,376,4.2,4,0,/en/players/5a5ed410/Oscar-Diaz,5a5ed410,Oscar-Diaz
Antonio Lechuga,es ESP,GK,3,3,0,0,230,2.6,1,1,/en/players/92efe113/Antonio-Lechuga,92efe113,Antonio-Lechug
Joaqui,es ESP,DF,2,1,0,0,105,1.2,0,0,/en/players/cda7ee96/Joaqui,cda7ee96,Joaqui
Álvaro Silva,ph PHI,DF,1,1,0,0,90,1.0,1,0,/en/players/40817456/Alvaro-Silva,40817456,Alvaro-Silv
Javi Iglesias,,,2,0,0,0,61,0.7,0,0,No detected,,
Alverez Quique,,,1,0,0,0,30,0.3,0,0,No detected,,
Maqui,es ESP,MF,1,0,0,0,24,0.3,0,0,/en/players/2748212d/Maqui,2748212d,Maqui
