2004-2005,Zaragoza
Player,Nationality,Position,Game,Games Starts,Assists,Goals,Minutes,Minutes 90s,Yellow Card,Red Card,Link,Player_id,Player_name
﻿Luis García,es ESP,GK,37,37,0,0,"3,321",36.9,4,1,/en/players/a716e5a4/Luis-Garcia,716e5a4,Luis-Garci
José María Movilla,es ESP,MF,37,37,2,0,"3,187",35.4,5,0,/en/players/1ac170a8/Jose-Maria-Movilla,1ac170a8,Jose-Maria-Movi
Sávio,br BRA,MF,36,36,8,10,"3,020",33.6,5,0,/en/players/4abe5c93/Savio,4abe5c93,Savio
Álvaro,br BRA,DF,35,35,2,3,"3,150",35.0,8,2,/en/players/3bb76c65/Alvaro,3bb76c65,Alvaro
Gabriel Milito,ar ARG,DF,35,35,1,3,"3,150",35.0,8,0,/en/players/095009cc/Gabriel-Milito,095009cc,Gabriel-Milito
David Villa,es ESP,"FW,MF",35,32,2,14,"2,807",31.2,9,0,/en/players/ade08a67/David-Villa,de08a67,David-Vi
Leonardo Ponzio,ar ARG,MF,33,27,1,1,"2,516",28.0,6,0,/en/players/6f3a6343/Leonardo-Ponzio,6f3a6343,Leonardo-Ponzio
Alberto Zapater,es ESP,MF,31,26,2,1,"2,256",25.1,7,1,/en/players/1a7d5ffe/Alberto-Zapater,1a7d5ffe,Alberto-Zapat
Luciano Galletti,ar ARG,MF,37,25,5,2,"2,514",27.9,7,0,/en/players/2760ef74/Luciano-Galletti,2760ef74,Luciano-Galletti
Delio Toledo,py PAR,DF,23,22,1,1,"1,857",20.6,9,0,/en/players/916beb71/Delio-Toledo,916beb71,Delio-Toledo
Cani,es ESP,MF,35,22,2,3,"1,845",20.5,9,0,/en/players/b493db11/Cani,b493db11,Cani
Óscar,es ESP,MF,31,19,2,6,"1,705",18.9,0,1,/en/players/627650df/Oscar,627650df,Osc
Agustín Aranzábal,es ESP,DF,21,17,1,0,"1,741",19.3,3,0,/en/players/ee65d657/Agustin-Aranzabal,65d657,Agustin-Aranzab
David Generelo,es ESP,MF,21,15,0,0,"1,095",12.2,5,0,/en/players/2ae48997/David-Generelo,2ae48997,David-Generelo
Javi Moreno,es ESP,FW,18,11,2,4,"1,054",11.7,5,0,/en/players/64497d05/Javi-Moreno,64497d05,Javi-Moreno
Luis Cuartero,es ESP,DF,19,11,0,0,981,10.9,3,0,/en/players/8180abbf/Luis-Cuartero,8180abbf,Luis-Cuartero
Capi,es ESP,DF,4,4,0,1,337,3.7,2,0,/en/players/7ba110d0/Capi,7ba110d0,Capi
Fernando Soriano,es ESP,MF,19,3,0,0,450,5.0,1,0,/en/players/1aa72854/Fernando-Soriano,1aa72854,Fernando-Soriano
Goran Drulić, SCG,FW,7,2,0,0,192,2.1,0,0,/en/players/aa5e81ad/Goran-Drulic,5e81ad,Goran-Drulic
Rubén Falcón,es ESP,GK,2,1,0,0,99,1.1,0,0,/en/players/bf651b09/Ruben-Falcon,bf651b09,Ruben-Falco
César Jiménez,es ESP,DF,1,1,0,0,21,0.2,0,0,/en/players/efc6342b/Cesar-Jimenez,fc6342b,Cesar-Jimenez
Juan García Granero,es ESP,MF,4,0,0,0,68,0.8,1,0,/en/players/febf4db0/Juan-Garcia-Granero,febf4db0,Juan-Garcia-Granero
Juanjo Camacho,es ESP,MF,5,0,1,0,59,0.7,0,0,/en/players/1a1609ab/Juanjo-Camacho,1a1609ab,Juanjo-Camacho
Piti,es ESP,"FW,MF",3,0,,0,37,0.4,0,0,/en/players/ab530738/Piti,b530738,Piti
David Pirri,es ESP,MF,2,0,0,0,15,0.2,0,0,/en/players/e84f523d/David-Pirri,84f523d,David-Pirri
