Unnamed: 0,Player,Link,Player_name,Player_id,Nationality,Position,club
4883.0,﻿César Láinez,/en/players/c27fe765/Cesar-Lainez,Cesar-Lainez,c27fe765,es ESP,GK,Zaragoza
4884.0,Fernando Soriano,/en/players/1aa72854/Fernando-Soriano,Fernando-Soriano,1aa72854,es ESP,MF,Zaragoza
4885.0,Miguel Rebosio,/en/players/306e0437/Miguel-Rebosio,Miguel-Rebosio,306e0437,pe PER,DF,Zaragoza
4886.0,Paco,/en/players/e52392a7/Paco,Paco,52392a7,es ESP,DF,Zaragoza
4887.0,Jordi Ferrón,/en/players/cd37881d/Jordi-Ferron,Jordi-Ferro,cd37881d,es ESP,DF,Zaragoza
4888.0,Luciano Galletti,/en/players/2760ef74/Luciano-Galletti,Luciano-Galletti,2760ef74,ar ARG,MF,Zaragoza
4889.0,Delio Toledo,/en/players/916beb71/Delio-Toledo,Delio-Toledo,916beb71,py PAR,DF,Zaragoza
4890.0,Martín Vellisca,/en/players/d859d8c2/Martin-Vellisca,Martin-Vellisc,d859d8c2,es ESP,MF,Zaragoza
4891.0,Constantin Gâlcă,/en/players/624ddea0/Constantin-Galca,Constantin-Galc,624ddea0,ro ROU,MF,Zaragoza
4892.0,David Pirri,/en/players/e84f523d/David-Pirri,David-Pirri,84f523d,es ESP,MF,Zaragoza
4893.0,Yordi,/en/players/8cbb78fb/Yordi,Yordi,8cbb78fb,es ESP,FW,Zaragoza
4894.0,Santiago Aragón,/en/players/eca1bef0/Santiago-Aragon,Santiago-Arago,ca1bef0,es ESP,MF,Zaragoza
4895.0,Slobodan Komljenović,/en/players/a8e80766/Slobodan-Komljenovic,Slobodan-Komljenovic,8e80766,rs SRB,DF,Zaragoza
4896.0,Corona,/en/players/4798bc33/Corona,Coro,4798bc33,es ESP,MF,Zaragoza
4897.0,Cani,/en/players/b493db11/Cani,Cani,b493db11,es ESP,MF,Zaragoza
4898.0,Ibán Espadas,/en/players/1e764654/Iban-Espadas,Iban-Espad,1e764654,es ESP,FW,Zaragoza
4899.0,Juanele,/en/players/d0927870/Juanele,Ju,d0927870,es ESP,FW,Zaragoza
4900.0,Luis Cuartero,/en/players/8180abbf/Luis-Cuartero,Luis-Cuartero,8180abbf,es ESP,DF,Zaragoza
4901.0,Jesús Muñoz,/en/players/336a06bd/Jesus-Munoz,Jesus-Munoz,336a06bd,es ESP,MF,Zaragoza
4902.0,Goran Drulić,/en/players/aa5e81ad/Goran-Drulic,Goran-Drulic,5e81ad, SCG,FW,Zaragoza
4903.0,Iñaki Hurtado,/en/players/354a89df/Inaki-Hurtado,Inaki-Hurtado,354a89df,es ESP,"FW,MF",Zaragoza
4904.0,Pablo Díaz Stalla,/en/players/a42419f7/Pablo-Diaz-Stalla,Pablo-Diaz-St,42419f7,es ESP,DF,Zaragoza
4905.0,Miguel Martínez,/en/players/29d6d13c/Miguel-Martinez,Miguel-Martinez,29d6d13c,es ESP,GK,Zaragoza
4906.0,David Generelo,/en/players/2ae48997/David-Generelo,David-Generelo,2ae48997,es ESP,MF,Zaragoza
4907.0,Paulo Jamelli,/en/players/e9cdf4c1/Paulo-Jamelli,Paulo-Jamelli,9cdf4c1,br BRA,FW,Zaragoza
4908.0,Raúl Valbuena,/en/players/d711ab5a/Raul-Valbuena,Raul-Valbu,d711ab5a,es ESP,GK,Zaragoza
4909.0,Alen Peternac,/en/players/c0b4ee52/Alen-Peternac,Alen-Peternac,c0b4ee52,hr CRO,FW,Zaragoza
4910.0,﻿David Villa,/en/players/ade08a67/David-Villa,David-Vi,de08a67,es ESP,"FW,MF",Zaragoza
4911.0,Gabriel Milito,/en/players/095009cc/Gabriel-Milito,Gabriel-Milito,095009cc,ar ARG,DF,Zaragoza
4912.0,Leonardo Ponzio,/en/players/6f3a6343/Leonardo-Ponzio,Leonardo-Ponzio,6f3a6343,ar ARG,MF,Zaragoza
4913.0,Sávio,/en/players/4abe5c93/Savio,Savio,4abe5c93,br BRA,MF,Zaragoza
4914.0,José María Movilla,/en/players/1ac170a8/Jose-Maria-Movilla,Jose-Maria-Movi,1ac170a8,es ESP,MF,Zaragoza
4915.0,Dani García,/en/players/68411ed5/Dani-Garcia,Dani-Garci,68411ed5,es ESP,FW,Zaragoza
